"CHN193604190",39,"$Alex Kampouris rounded 1B too far","FILENAME_TX","LINE_NUMBER_CT"
"CHN193604290",0,"$paid attendance 4059 but thousands of kids in free","1936CHN.EVN.regular.comment.csv",2
"CHN193604300",19,"$Thick fog came down to field.  Outfielders hardly discernible","1936CHN.EVN.regular.comment.csv",3
"CHN193605070",73,"pbp account ends here, rest deduced","1936CHN.EVN.regular.comment.csv",4
"CHN193605070",85,"pbp account ends here, rest deduced","1936CHN.EVN.regular.comment.csv",5
"CHN193605080",47,"$Moore hurt knee chasing triple","1936CHN.EVN.regular.comment.csv",6
"CHN193605080",77,"ej,davis101,P,pineb101,Balls and strikes $Catcher Davis ejected by HP umpire Pinelli for arguing balls and strikes after ball call to Galan","1936CHN.EVN.regular.comment.csv",7
"CHN193605080",80,"ej,deanp101,P,pfird901,Bench jockeying $Cardinal Dean, not in game, ejected from bench by 1B umpire Pfirman","1936CHN.EVN.regular.comment.csv",8
"CHN193605100",44,"play,6,0,ogrob101,??,,NP sub,bryac101,'Clay Bryant',1,9,1 play,6,0,ogrob101,??,,W play,6,0,deanp101,??,,FC2/TH/SH.1-2;B-1 play,6,0,kingl102,??,,1(B)4(2)/BP/DP play,6,0,marts103,??,,E4/G.1-2 $45 minute rain delay after first batter in 6th; play resumed for four batters then heavy rain came and game was called; plays in top 6th were erased","1936CHN.EVN.regular.comment.csv",9
"CHN193605260",18,"ej,myerb101,P,pfirc901,Call at 1B $the Reds argued the call at 1B; Billy Myers ejected by 1B umpire Cy Pfirman","1936CHN.EVN.regular.comment.csv",10
"CHN193605270",5,"$Babe Herman left with an injured leg suffered rounding 2B","1936CHN.EVN.regular.comment.csv",11
"CHN193605280",32,"$Woody English exchanged words with Lee Stine","1936CHN.EVN.regular.comment.csv",12
"CHN193605280",35,"ej,englw101,P,stewb901,Fighting ej,stinl101,P,stewb901,Fighting ej,johns103,P,stewb901,Fighting ej,kellg101,C,stewb901,Fighting $Woody English exchanged words with Lee Stine; HP umpire Bill Stewart got between the players and both benches cleared; punches were thrown; Woody English, Lee Stine, Si Johnson and Reds Coach High Pockets Kelly ejected by Stewart","1936CHN.EVN.regular.comment.csv",13
"CHN193605280",53,"$Frank Demaree walked to HP to argue with HP umpire Bill Stewart and was tagged out","1936CHN.EVN.regular.comment.csv",14
"CHN193605302",38,"$Into overflow crowd","1936CHN.EVN.regular.comment.csv",15
"CHN193605302",54,"$Reverse force DP, runner scores before 3rd out made","1936CHN.EVN.regular.comment.csv",16
"CHN193605302",65,"$Into overflow crowd","1936CHN.EVN.regular.comment.csv",17
"CHN193606050",0,"$Ladies Day so 11,668 unpaid admissions","1936CHN.EVN.regular.comment.csv",18
"CHN193606050",5,"$Bucher missed hit-and-run signal","1936CHN.EVN.regular.comment.csv",19
"CHN193606050",12,"ej,hartg103,P,balll901,Called third strike $Hartnett argued 3rd strike, put on his equipment,returned to plate and continued to argue till ejected by Ballanfant","1936CHN.EVN.regular.comment.csv",20
"CHN193606060",0,"$Hack didn't play after bad bounce in practice hit him between the eyes.","1936CHN.EVN.regular.comment.csv",21
"CHN193606060",68,"$Jeffcoat used full windup and Cavarretta broke for home Jeffcoat stopped = balk.","1936CHN.EVN.regular.comment.csv",22
"CHN193606120",55,"$Demaree left game with pulled leg muscle.","1936CHN.EVN.regular.comment.csv",23
"CHN193607130",9,"$Hartnett hurt by foul ball sometime this inning.","1936CHN.EVN.regular.comment.csv",24
"CHN193607150",45,"$Herman spiked Jordan's R heel, badly cutting it; Jordan had to be carried off the field.","1936CHN.EVN.regular.comment.csv",25
"CHN193607160",0,"$11,000  total attendance.","1936CHN.EVN.regular.comment.csv",26
"CHN193608050",11,"ej,corrr101,C,pfirc901,Call at 1B $Cubs coach Corriden ejected by 1B umpire Pfirman for arguing Hartnett was safe at 1st","1936CHN.EVN.regular.comment.csv",27
"CHN193608070",14,"$Hartnet was struck on foot by foul tip and had to leave game","1936CHN.EVN.regular.comment.csv",28
"CHN193608080",32,"$Vaughan out for leaving third too soon","1936CHN.EVN.regular.comment.csv",29
"CHN193608220",70,"$the throw to HP got away from Ken O'Dea","1936CHN.EVN.regular.comment.csv",30
"CHN193608240",78,"ej,jurgb101,P,quige901,Fighting ej,campg101,P,quige901,Fighting $Billy Jurges did not like how Gilly Campbell slid into 2B with his spikes up; the two players fought and were ejected by HP umpire Ernie Quigley","1936CHN.EVN.regular.comment.csv",31
"CHN193608240",79,"$CF Hub Walker caught because Ernie Lombardi was already out of the game","1936CHN.EVN.regular.comment.csv",32
"CHN193608261",11,"$Norris rounded second too far","1936CHN.EVN.regular.comment.csv",33
"CHN193608290",73,"$Bryant was awared third when the umpires ruled that Jurges obstructed Warstler.","1936CHN.EVN.regular.comment.csv",34
"CHN193609190",30,"$Batter beat out a bounder to 2nd, but runner over ran 3rd and was tagged out","1936CHN.EVN.regular.comment.csv",35
"CHN193609190",36,"$2B dropped pop fly intentionally and got force at 2nd","1936CHN.EVN.regular.comment.csv",36
"CHN193609200",53,"$Dean tagged Galan out a yard from the bag.","1936CHN.EVN.regular.comment.csv",37
"CHN193609210",49,"ej,frisf101,M,pineb101,Called third strike $Manager Frisch complained about the call and kicked dust on the plate and was ejected by umpire Pinelli","1936CHN.EVN.regular.comment.csv",38
