"DET193305020",10,"$the ball struck 1B umpire George Moriarty on the hip"FILENAME_TX","LINE_NUMBER_CT"

"DET193305060",69,"Myers unconscious"1933DET.EVA.regular.comment.csv",2

"DET193305071",4,"Runner held at third base."1933DET.EVA.regular.comment.csv",3

"DET193305302",55,"pbp account ends here, rest deduced"1933DET.EVA.regular.comment.csv",4

"DET193306130",57,"$Harley Boss injured his left leg sliding into 3B"1933DET.EVA.regular.comment.csv",5

"DET193306270",5,"$into the amplifiers on top of the scoreboard"1933DET.EVA.regular.comment.csv",6

"DET193306290",5,"Walker fumbled the ball trying to pick it up."1933DET.EVA.regular.comment.csv",7

"DET193306290",25,"Left fielder Walker fell going after Kuhel's IPHR."1933DET.EVA.regular.comment.csv",8

"DET193306290",42,"Ball hit off screen in left field near foul pole. Manager Cronin of Nats argues for five minutes claming ball was foul."1933DET.EVA.regular.comment.csv",9

"DET193307260",67,"$Frank Doljack called for interference for running into his own batted ball"1933DET.EVA.regular.comment.csv",10

"DET193307270",109,"pbp account ends here, rest deduced"1933DET.EVA.regular.comment.csv",11

"DET193308051",83,"$Hank Greenberg rounded 2B too far"1933DET.EVA.regular.comment.csv",12

"DET193308160",10,"ej,mcmam101,M,summb901,Call at 3B $Boston manager McManus ejected by 3b umpire Summers for arguing call at 3rd"1933DET.EVA.regular.comment.csv",13

"DET193308160",23,"Ball landed in back of centerfield scoreboard."1933DET.EVA.regular.comment.csv",14

"DET193308202",62,"ej,millb110,P,mcgob901,Call at 1B ej,blacl101,C,mcgob901,Call at 1B Bing Miller and Athletics Coach Lena Blackburne ejected by 1B umpire Bill McGowan"1933DET.EVA.regular.comment.csv",15

"DET193308250",49,"ejection"1933DET.EVA.regular.comment.csv",16

"DET193308250",49,"ej,haywr101,P,kolll901,Arguing balls and strikes $Hayworth ejected by HP umpire Kolls for arguing balls and strikes"1933DET.EVA.regular.comment.csv",17

"DET193308260",71,"pbp account ends here, rest deduced"1933DET.EVA.regular.comment.csv",18

"DET193308280",63,"pbp account ends here, rest deduced"1933DET.EVA.regular.comment.csv",19

"DET193308290",60,"pbp account ends here, rest deduced"1933DET.EVA.regular.comment.csv",20

"DET193310010",64,"$Glenn Myatt left with injured thumb"1933DET.EVA.regular.comment.csv",21

