"NYA192704140",6,"$Joe Dugan spiked above right knee by Sammy Hale"FILENAME_TX","LINE_NUMBER_CT"

"NYA192704140",99,"$game called due to darkness"1927NYA.EVA.regular.comment.csv",2

"NYA192704250",10,"$HP umpire Brick Owens cleared the Senators bench with rights to be recalled from the dressing room"1927NYA.EVA.regular.comment.csv",3

"NYA192705271",64,"possible missing assist"1927NYA.EVA.regular.comment.csv",4

"NYA192705281",67,"$Tris Speaker left with a broken left thumb suffered in pregame practice"1927NYA.EVA.regular.comment.csv",5

"NYA192705282",60,"$Lou Gehrig spiked and fell to the ground face forward; Firpo Marberry scored before Moore could get the ball"1927NYA.EVA.regular.comment.csv",6

"NYA192705290",0,"Constructed from 7 newspaper accounts and it is equivalent to a game entered from a scoresheet with generic outs"1927NYA.EVA.regular.comment.csv",7

"NYA192705290",23,"$the throw struck Ira Flagstead on the back"1927NYA.EVA.regular.comment.csv",8

"NYA192706030",75,"end of pbp; rest derived"1927NYA.EVA.regular.comment.csv",9

"NYA192706050",15,"80 minute rain delay"1927NYA.EVA.regular.comment.csv",10

"NYA192706080",42,"$Dutch Reuther called out on appeal for leaving 3B too soon on an apparent sacrifice fly"1927NYA.EVA.regular.comment.csv",11

"NYA192706090",55,"ej,blacl101,C,ormsr901,Call at 1B White Sox Coach Lena Blackburne ejected by 1B umpire Red Ormsby"1927NYA.EVA.regular.comment.csv",12

"NYA192706100",15,"$on the squeeze play, Joe Dugan rounded 2B too far"1927NYA.EVA.regular.comment.csv",13

"NYA192706100",46,"$off Urban Shocker's left foot into RF"1927NYA.EVA.regular.comment.csv",14

"NYA192706100",62,"$bounce home run"1927NYA.EVA.regular.comment.csv",15

"NYA192706110",17,"$Homer Summa left with injured leg"1927NYA.EVA.regular.comment.csv",16

"NYA192706110",71,"$the Indians challanged Babe Ruth's bat, which was examined by HP umpire George Hildebrand"1927NYA.EVA.regular.comment.csv",17

"NYA192706130",44,"bounce home run"1927NYA.EVA.regular.comment.csv",18

"NYA192706170",7,"$Babe Ruth left with injured leg, which was hurt yesterday"1927NYA.EVA.regular.comment.csv",19

"NYA192706180",4,"ej,dugaj101,P,mcgob901,Call at 3B Joe Dugan ejected by 3B umpire Bill McGowan"1927NYA.EVA.regular.comment.csv",20

"NYA192706251",27,"$Mark Koenig left with sore leg"1927NYA.EVA.regular.comment.csv",21

"NYA192706251",82,"$Babe Ruth turned his ankle swinging at a pitch"1927NYA.EVA.regular.comment.csv",22

"NYA192706261",76,"$Bob Meusel out at 2B before Lou Gehrig scored"1927NYA.EVA.regular.comment.csv",23

"NYA192706280",42,"rain started"1927NYA.EVA.regular.comment.csv",24

"NYA192706280",81,"ej,cobbt101,P,vangr901,Bench jockeying Ty Cobb ejected by HP umpire Roy Van Graflan"1927NYA.EVA.regular.comment.csv",25

"NYA192706290",65,"$Cleo Carlyle left with Charley horse"1927NYA.EVA.regular.comment.csv",26

"NYA192707261",15,"$Wally Gerber batted out of turn but Steve O'Neill is charged with the time at bat in the official records"1927NYA.EVA.regular.comment.csv",27

"NYA192707261",19,"$Wally Gerber batted again in his proper spot"1927NYA.EVA.regular.comment.csv",28

"NYA192707262",12,"$Harry Rice injured his left leg sliding into HP"1927NYA.EVA.regular.comment.csv",29

"NYA192707270",17,"14 minute rain delay"1927NYA.EVA.regular.comment.csv",30

"NYA192707301",5,"$struck on the right thigh"1927NYA.EVA.regular.comment.csv",31

"NYA192707301",78,"bounce home run"1927NYA.EVA.regular.comment.csv",32

"NYA192707302",21,"$Ben Paschal rounded 3B too far"1927NYA.EVA.regular.comment.csv",33

"NYA192708010",9,"rain started"1927NYA.EVA.regular.comment.csv",34

"NYA192708010",50,"play,7,0,sewel101,??,,43 play,7,0,eichi101,??,,K play,7,0,hodaj101,??,,K game called due to rain after 6 1/2 innings; the top of the seventh was negated and the second game of double-header was postponed"1927NYA.EVA.regular.comment.csv",35

"NYA192708040",5,"$Harry Heilmann started for 2B on the throw to HP but turned back; Tony Lazzeri threw wildly in the rundown"1927NYA.EVA.regular.comment.csv",36

"NYA192708050",35,"rain started"1927NYA.EVA.regular.comment.csv",37

"NYA192708050",42,"7 minute rain delay"1927NYA.EVA.regular.comment.csv",38

"NYA192708050",46,"$Harry Heilmann left with sore back"1927NYA.EVA.regular.comment.csv",39

"NYA192708060",40,"$Babe Ruth relayed the ball from Earle Combs and hurled it over Benny Bengough's head to the screen; Lou Gehrig backed up the play and threw to the catcher in time to tag the runner who had failed to touch HP as he sprawled over Bengough's back"1927NYA.EVA.regular.comment.csv",40

"NYA192708070",29,"$bounce home run"1927NYA.EVA.regular.comment.csv",41

"NYA192709132",20,"$bounce home run"1927NYA.EVA.regular.comment.csv",42

"NYA192709172",24,"bounce home run"1927NYA.EVA.regular.comment.csv",43

"NYA192709240",33,"ej,bluel101,P,ormsr901,Call at 1B Lu Blue ejected by 1B umpire Red Ormsby arguing an attempted pick off on Earle Combs"1927NYA.EVA.regular.comment.csv",44

"NYA192709290",57,"$Babe Ruth tied his own record of 59 in 1921"1927NYA.EVA.regular.comment.csv",45

"NYA192709300",69,"$Babe Ruth's 60th home run to break his own record; he hit a low, inside fastball"1927NYA.EVA.regular.comment.csv",46

"NYA192709300",74,"$Walter Johnson's last appearance as a player"1927NYA.EVA.regular.comment.csv",47

