"PHI196104200",35,"$Dallas Green left after fouling off a pitch off his left knee","FILENAME_TX","LINE_NUMBER_CT"
"PHI196104200",90,"$Clay Dayrymple dropped the third strike to Wes Covington, who did not run; Dalrymple tossed the ball back to the mound; Bobby Malkmus picked up the ball and threw to 1B","1961PHI.EVN.regular.comment.csv",2
"PHI196104210",73,"$Ruben Amaro fouled off 2 bunts then was replaced","1961PHI.EVN.regular.comment.csv",3
"PHI196104220",1,"Debut game for Jack Curtis","1961PHI.EVN.regular.comment.csv",4
"PHI196105090",53,"Game called for rain at 9:59","1961PHI.EVN.regular.comment.csv",5
"PHI196105140",19,"ej,hemus101,M,secof101,Call at 3B Cardinals Manager Solly Hemus ejected by 3B umpire Frank Secory","1961PHI.EVN.regular.comment.csv",6
"PHI196105170",0,"$Umpire Jocko Conlan missed the game with a virus","1961PHI.EVN.regular.comment.csv",7
"PHI196105170",61,"$Tony Taylor pulled a muscle swinging at pitch in 8th","1961PHI.EVN.regular.comment.csv",8
"PHI196106182",26,"umpchange,3,umphome,craws901 umpchange,3,ump1b,barla901 umpchange,3,ump2b,(None) $HP umpire Al Forman struck by a foul ball on the jaw when the ball broke a metal bar on his mask; he suffered a cut requiring four stitches; Shag Crawford moved from 1B to HP and Al Barlick moived from 2B to 1B","1961PHI.EVN.regular.comment.csv",9
"PHI196106220",43,"ej,maucg101,M,pelec901,Warning to pitcher $Smoky Burgess ducked three pitches; John Buzhardt warned by HP umpire Chris Pelekoudas; Phillies Manager Gene Mauch ejected by Pelekoudas arguing the warning","1961PHI.EVN.regular.comment.csv",10
"PHI196106220",55,"Smoky Burgess left with a dislocated right ring finger after being struck by a foul ball","1961PHI.EVN.regular.comment.csv",11
"PHI196106270",26,"Clay Dalrymple called for obstruction","1961PHI.EVN.regular.comment.csv",12
"PHI196106280",138,"$Hobie Landrith made a wild throw back to the mound","1961PHI.EVN.regular.comment.csv",13
"PHI196106280",139,"$Game called due to 12:50 am curfew","1961PHI.EVN.regular.comment.csv",14
"PHI196106291",0,"$Phillies manager Gene Mauch listed three pitchers in his starting lineup because he did not know who the Giants pitcher was going to be; when left-hander Billy O'Dell was listed on the lineup card, Mauch substituted three fielders for his pitchers","1961PHI.EVN.regular.comment.csv",15
"PHI196106291",6,"$When Giants manager Al Dark replaced left-hander Billy O'Dell after one batter with right-hander Sam Jones, Phillies manager Gene Mauch replaced two right-handed batters by pinch-hitting with left-handed batters","1961PHI.EVN.regular.comment.csv",16
"PHI196106292",43,"ej,cokej101,P,venzt901,Balls and strikes Jimmie Coker ejected by HP umpire Tony Venzon; fans threw beer cans onto the field, causing a 10-minute delay","1961PHI.EVN.regular.comment.csv",17
"PHI196106300",64,"$Tony Taylor caught Willie Davis with the hidden ball trick","1961PHI.EVN.regular.comment.csv",18
"PHI196107010",27,"$beaned","1961PHI.EVN.regular.comment.csv",19
"PHI196107230",51,"Debut game for Paul Brown","1961PHI.EVN.regular.comment.csv",20
"PHI196107260",26,"Jim Owens left with muscle spasm","1961PHI.EVN.regular.comment.csv",21
"PHI196107260",44,"$Wally Moon called for interference for running into his own bunt","1961PHI.EVN.regular.comment.csv",22
"PHI196107270",24,"$the ball deflected off the pitcher","1961PHI.EVN.regular.comment.csv",23
"PHI196107270",85,"$John Roseboro called for interference for running into Dallas Green","1961PHI.EVN.regular.comment.csv",24
"PHI196107281",33,"ej,davej101,P,steim901,Balls and strikes Jim Davenport ejected by HP umpire Mel Steiner","1961PHI.EVN.regular.comment.csv",25
"PHI196108240",35,"$Lee walls hurt crashing into fence","1961PHI.EVN.regular.comment.csv",26
"PHI196108251",49,"ej,dalrc101,P,forma901,Call at 1B Clay Dalrymple ejected by 1B umpire Al Forman","1961PHI.EVN.regular.comment.csv",27
"PHI196108292",28,"ej,keanj801,M,craws901,Balls and strikes ej,sader101,P,craws901,Balls and strikes $St. Louis manager Keane and pitcher Sadecki (not in game) ejected by HP umpire Crawford after Callison's home run for arguing ball call during Callison's at bat","1961PHI.EVN.regular.comment.csv",28
"PHI196109220",0,"Debut for umpire Paul Pryor","1961PHI.EVN.regular.comment.csv",29
"PHI196109220",3,"Debut game for Donn Clendenon","1961PHI.EVN.regular.comment.csv",30
"PHI196109280",17,"$Clay Dalrymple out on appeal for missing 1B on apparent double","1961PHI.EVN.regular.comment.csv",31
