"NYN197104060",0,"Debut for umpire Bruce Froemming","FILENAME_TX","LINE_NUMBER_CT"
"NYN197104060",47,"game called for rain/snow","1971NYN.EVN.regular.comment.csv",2
"NYN197105250",0,"ej,shorc102,P,davis901,Bench Jockeying $Phillies pitcher Chris Short (not in game) ejected by HP umpire Davidson for bench jockeying; timing of ejection unknown","1971NYN.EVN.regular.comment.csv",3
"NYN197106110",78,"ej,hodgg101,M,weyel901,Fan interference non-call $catcher Jerry Grote could not find the ball; Mets Manager Gil Hodges ejected by HP umpire Lee Weyer when Hodges argued that a fan touched the ball and Hal Lanier should have been stopped at 3B on the wild pitch","1971NYN.EVN.regular.comment.csv",4
"NYN197106130",23,"$1B umpire Ken Burkhart and Chris Speier collided during play","1971NYN.EVN.regular.comment.csv",5
"NYN197106190",50,"$Tom Seaver let the bunt drop and then started the DP","1971NYN.EVN.regular.comment.csv",6
"NYN197106190",123,"$Larry Bowa ran to 3B and Oscar Gamble was caught in rundown; Bowa scored during the rundown, drawing a throw as Gamble made it to 2B; NL President Chub Feeney ruled that Bowa should be given two SB on the play and Gamble one; previous two plays really one play","1971NYN.EVN.regular.comment.csv",7
"NYN197106202",21,"$Jim Bunning rounded 3B too far","1971NYN.EVN.regular.comment.csv",8
"NYN197107070",86,"$Tommy Agee tagged out trying to score after ball skipped by catcher","1971NYN.EVN.regular.comment.csv",9
"NYN197107240",56,"$Debut game for Ray Busse","1971NYN.EVN.regular.comment.csv",10
"NYN197107260",0,"22 minute rain delay before start of game","1971NYN.EVN.regular.comment.csv",11
"NYN197107290",53,"$Jerry Reuss popped up a bunt which dropped and he was tagged at HP with no advance by the runner","1971NYN.EVN.regular.comment.csv",12
"NYN197107290",76,"$After three rain delays for total of 1:58, game was called","1971NYN.EVN.regular.comment.csv",13
"NYN197107300",66,"ej,durol101,M,burkk101,Search of pitcher by umpire $Phil Regan warned by HP umpire Ken Burkhart after Burkhart searched Regan for illegal substances; Cubs Manager Leo Durocher ejected by Burkhart","1971NYN.EVN.regular.comment.csv",14
"NYN197109120",63,"rain started","1971NYN.EVN.regular.comment.csv",15
"NYN197109130",51,"$Game called for rain after 1:22 delay","1971NYN.EVN.regular.comment.csv",16
"NYN197109141",7,"$John Strohmayer hurt warming up","1971NYN.EVN.regular.comment.csv",17
"NYN197109141",52,"$Debut game for Frank Estrada","1971NYN.EVN.regular.comment.csv",18
"NYN197109151",39,"$Debut game for Buzz Capra","1971NYN.EVN.regular.comment.csv",19
"NYN197109151",66,"$Debut game for John Milner","1971NYN.EVN.regular.comment.csv",20
"NYN197109152",45,"$Debut game for Don Rose","1971NYN.EVN.regular.comment.csv",21
"NYN197109250",116,"$Debut game for Frank Taveras","1971NYN.EVN.regular.comment.csv",22
"NYN197109260",63,"$Tom Seaver: 110 pitches","1971NYN.EVN.regular.comment.csv",23
