"LAN200304160",45,"Padres Gary Bennett left the game due to an injured knee","FILENAME_TX","LINE_NUMBER_CT"
"LAN200304190",25,"Giants J.T. Snow left the game due to an injured knee","2003LAN.EVN.regular.comment.csv",2
"LAN200305020",0,"16 minute delay during game","2003LAN.EVN.regular.comment.csv",3
"LAN200305020",48,"$Jolbert Cabrera called for interference","2003LAN.EVN.regular.comment.csv",4
"LAN200306170",5,"Giants J. T. Snow left the game due to an injured groin","2003LAN.EVN.regular.comment.csv",5
"LAN200306170",56,"Dodgers Kevin Brown left the game due to an injured groin. Injury came when running out grounder in 6th","2003LAN.EVN.regular.comment.csv",6
"LAN200306180",57,"Debut game for Francisco Santos","2003LAN.EVN.regular.comment.csv",7
"LAN200307010",67,"ej,tracj101,M,barrt901,Call at HP Dodgers manager Jim Tracy ejected by HP umpire Ted Barrett for arguing the call at HP","2003LAN.EVN.regular.comment.csv",8
"LAN200307220",7,"Debut game for Rene Reyes","2003LAN.EVN.regular.comment.csv",9
"LAN200307230",28,"ej,tracj101,M,drakr901,Claimed batter let himself be hit Dodgers Manager Jim Tracy ejected by HP umpire Rob Drake for arguing that the batter did not get out of the way","2003LAN.EVN.regular.comment.csv",10
"LAN200307240",43,"$Uribe intentionally let the ball drop trying to start a double play but Froemming rule the batter out","2003LAN.EVN.regular.comment.csv",11
"LAN200308060",57,"Reds Barry Larkin left the game due to an injured groin","2003LAN.EVN.regular.comment.csv",12
"LAN200308190",68,"ej,guerv001,P,ripps901,Home run call Expos Vladimir Guerrero ejected by 1B umpire Steve Rippley; Guerrero argued very strongly that Green's homer was fan interference","2003LAN.EVN.regular.comment.csv",13
"LAN200308240",62,"Debut game for Prentice Redman","2003LAN.EVN.regular.comment.csv",14
"LAN200308290",51,"ej,tracj101,M,wegnm901,Fair/foul call Dodgers Manager Jim Tracy ejected by 1B umpire Mark Wegner for arguing a foul ball call","2003LAN.EVN.regular.comment.csv",15
"LAN200308300",46,"Roberts hit head on Belliard's knee, game delayed several minutes, left next inning","2003LAN.EVN.regular.comment.csv",16
"LAN200309010",27,"$LoDuca had been hit on the jaw by a foul tip in the 3rd inning after being hit in the same spot the previous day","2003LAN.EVN.regular.comment.csv",17
"LAN200309160",58,"ej,tracj101,M,carlm901,Call at 1B Dodgers Manager Jim Tracy ejected by 1B umpire Mark Carlson","2003LAN.EVN.regular.comment.csv",18
