"SDN201903280",41,"$Giants challenged call that Longoria was out at second; call was upheld - single and out stretching"FILENAME_TX","LINE_NUMBER_CT"

"SDN201903280",47,"Mound Visit"2019SDN.EVN.regular.comment.csv",2

"SDN201903280",48,"Mound Visit"2019SDN.EVN.regular.comment.csv",3

"SDN201903290",14,"Mound Visit"2019SDN.EVN.regular.comment.csv",4

"SDN201903290",27,"Mound Visit"2019SDN.EVN.regular.comment.csv",5

"SDN201903290",40,"$Padres challenged call that Kinsler was out at home; call was uphled - out trying to score"2019SDN.EVN.regular.comment.csv",6

"SDN201903290",45,"Mound Visit"2019SDN.EVN.regular.comment.csv",7

"SDN201903290",51,"Mound Visit"2019SDN.EVN.regular.comment.csv",8

"SDN201903290",61,"Mound Visit"2019SDN.EVN.regular.comment.csv",9

"SDN201903290",66,"Mound Visit"2019SDN.EVN.regular.comment.csv",10

"SDN201903300",1,"Injury Delay"2019SDN.EVN.regular.comment.csv",11

"SDN201903300",26,"Injury Delay"2019SDN.EVN.regular.comment.csv",12

"SDN201903300",39,"Mound Visit"2019SDN.EVN.regular.comment.csv",13

"SDN201903300",40,"Mound Visit"2019SDN.EVN.regular.comment.csv",14

"SDN201903300",43,"Mound Visit"2019SDN.EVN.regular.comment.csv",15

"SDN201903300",48,"Mound Visit"2019SDN.EVN.regular.comment.csv",16

"SDN201903300",49,"Mound Visit"2019SDN.EVN.regular.comment.csv",17

"SDN201903300",50,"Mound Visit"2019SDN.EVN.regular.comment.csv",18

"SDN201903300",51,"On-field Delay"2019SDN.EVN.regular.comment.csv",19

"SDN201903300",59,"Mound Visit"2019SDN.EVN.regular.comment.csv",20

"SDN201903300",65,"On-field Delay"2019SDN.EVN.regular.comment.csv",21

"SDN201903310",36,"Mound Visit"2019SDN.EVN.regular.comment.csv",22

"SDN201903310",53,"Mound Visit"2019SDN.EVN.regular.comment.csv",23

"SDN201903310",54,"Mound Visit"2019SDN.EVN.regular.comment.csv",24

"SDN201903310",63,"Mound Visit"2019SDN.EVN.regular.comment.csv",25

"SDN201904010",5,"Mound Visit"2019SDN.EVN.regular.comment.csv",26

"SDN201904010",26,"Mound Visit"2019SDN.EVN.regular.comment.csv",27

"SDN201904010",49,"Injury Delay"2019SDN.EVN.regular.comment.csv",28

"SDN201904020",14,"D-backs challenged call that Ahmed was out at first to complete double play; call was overturned - force out, no DP"2019SDN.EVN.regular.comment.csv",29

"SDN201904020",31,"Mound Visit"2019SDN.EVN.regular.comment.csv",30

"SDN201904020",35,"Mound Visit"2019SDN.EVN.regular.comment.csv",31

"SDN201904020",54,"On-field Delay ej,greea001,M,welkb901,Arguing interference on dropped popup $San Diego manager Green eject by plate umpire Welke arguing interference call on dropped popup"2019SDN.EVN.regular.comment.csv",32

"SDN201904020",67,"Mound Visit"2019SDN.EVN.regular.comment.csv",33

"SDN201904020",72,"Mound Visit"2019SDN.EVN.regular.comment.csv",34

"SDN201904030",32,"Mound Visit"2019SDN.EVN.regular.comment.csv",35

"SDN201904030",37,"Mound Visit"2019SDN.EVN.regular.comment.csv",36

"SDN201904030",44,"Mound Visit"2019SDN.EVN.regular.comment.csv",37

"SDN201904030",46,"Mound Visit"2019SDN.EVN.regular.comment.csv",38

"SDN201904030",66,"Mound Visit"2019SDN.EVN.regular.comment.csv",39

"SDN201904030",68,"Injury Delay"2019SDN.EVN.regular.comment.csv",40

"SDN201904150",12,"Injury Delay"2019SDN.EVN.regular.comment.csv",41

"SDN201904150",26,"Injury Delay"2019SDN.EVN.regular.comment.csv",42

"SDN201904150",32,"Mound Visit"2019SDN.EVN.regular.comment.csv",43

"SDN201904150",46,"Mound Visit"2019SDN.EVN.regular.comment.csv",44

"SDN201904150",56,"Mound Visit"2019SDN.EVN.regular.comment.csv",45

"SDN201904150",71,"Mound Visit"2019SDN.EVN.regular.comment.csv",46

"SDN201904150",72,"Mound Visit Mound Visit"2019SDN.EVN.regular.comment.csv",47

"SDN201904160",40,"Mound Visit"2019SDN.EVN.regular.comment.csv",48

"SDN201904160",68,"Injury Delay"2019SDN.EVN.regular.comment.csv",49

"SDN201904160",73,"Mound Visit"2019SDN.EVN.regular.comment.csv",50

"SDN201904160",78,"Mound Visit"2019SDN.EVN.regular.comment.csv",51

"SDN201904180",29,"$Reds challenged call that Schebler was out at 1st to complete double play; call was overturned - safely return to 1st"2019SDN.EVN.regular.comment.csv",52

"SDN201904180",31,"$Umpire review of Barnhart's fly; call was upheld - homer"2019SDN.EVN.regular.comment.csv",53

"SDN201904180",41,"Mound Visit"2019SDN.EVN.regular.comment.csv",54

"SDN201904180",42,"Mound Visit"2019SDN.EVN.regular.comment.csv",55

"SDN201904190",40,"Mound Visit"2019SDN.EVN.regular.comment.csv",56

"SDN201904190",50,"Mound Visit"2019SDN.EVN.regular.comment.csv",57

"SDN201904190",81,"Mound Visit"2019SDN.EVN.regular.comment.csv",58

"SDN201904190",82,"Mound Visit"2019SDN.EVN.regular.comment.csv",59

"SDN201904200",17,"Mound Visit"2019SDN.EVN.regular.comment.csv",60

"SDN201904200",18,"On-field Delay"2019SDN.EVN.regular.comment.csv",61

"SDN201904200",22,"Mound Visit"2019SDN.EVN.regular.comment.csv",62

"SDN201904200",29,"On-field Delay"2019SDN.EVN.regular.comment.csv",63

"SDN201904200",43,"On-field Delay"2019SDN.EVN.regular.comment.csv",64

"SDN201904200",63,"$Reds challenged call that Schebler was out at 2nd; call was upheld - caught stealing"2019SDN.EVN.regular.comment.csv",65

"SDN201904200",66,"Mound Visit"2019SDN.EVN.regular.comment.csv",66

"SDN201904200",67,"Mound Visit"2019SDN.EVN.regular.comment.csv",67

"SDN201904200",68,"Mound Visit"2019SDN.EVN.regular.comment.csv",68

"SDN201904200",71,"Mound Visit"2019SDN.EVN.regular.comment.csv",69

"SDN201904210",23,"$Padres challenged call that Tatis was out at 2nd; call was upheld - caught stealing"2019SDN.EVN.regular.comment.csv",70

"SDN201904210",26,"Injury Delay $Umpire review of ball hit by Myers; call was upheld - double"2019SDN.EVN.regular.comment.csv",71

"SDN201904210",27,"Mound Visit"2019SDN.EVN.regular.comment.csv",72

"SDN201904210",29,"On-field Delay"2019SDN.EVN.regular.comment.csv",73

"SDN201904210",31,"$Reds challenged call that Iglesias was out at 1st; call was overturned - single"2019SDN.EVN.regular.comment.csv",74

"SDN201904210",46,"Mound Visit"2019SDN.EVN.regular.comment.csv",75

"SDN201904230",17,"Mound Visit"2019SDN.EVN.regular.comment.csv",76

"SDN201904230",37,"Mound Visit"2019SDN.EVN.regular.comment.csv",77

"SDN201904230",39,"Mound Visit"2019SDN.EVN.regular.comment.csv",78

"SDN201904230",52,"Mound Visit"2019SDN.EVN.regular.comment.csv",79

"SDN201904230",53,"$Ball would have hit wall, but when center fielder jumped for the ball, it hit his glove and went over the wall for a home run"2019SDN.EVN.regular.comment.csv",80

"SDN201904240",4,"Mound Visit"2019SDN.EVN.regular.comment.csv",81

"SDN201905030",27,"Injury Delay"2019SDN.EVN.regular.comment.csv",82

"SDN201905030",40,"Mound Visit"2019SDN.EVN.regular.comment.csv",83

"SDN201905030",41,"Mound Visit"2019SDN.EVN.regular.comment.csv",84

"SDN201905030",49,"$Umpire review of ball hit by Barnes; call upheld - home run"2019SDN.EVN.regular.comment.csv",85

"SDN201905030",51,"On-field Delay"2019SDN.EVN.regular.comment.csv",86

"SDN201905030",55,"Mound Visit"2019SDN.EVN.regular.comment.csv",87

"SDN201905030",60,"Mound Visit"2019SDN.EVN.regular.comment.csv",88

"SDN201905030",63,"Mound Visit"2019SDN.EVN.regular.comment.csv",89

"SDN201905030",65,"Mound Visit"2019SDN.EVN.regular.comment.csv",90

"SDN201905040",36,"Mound Visit"2019SDN.EVN.regular.comment.csv",91

"SDN201905040",42,"Mound Visit"2019SDN.EVN.regular.comment.csv",92

"SDN201905040",45,"Mound Visit"2019SDN.EVN.regular.comment.csv",93

"SDN201905040",46,"Mound Visit"2019SDN.EVN.regular.comment.csv",94

"SDN201905040",51,"Mound Visit"2019SDN.EVN.regular.comment.csv",95

"SDN201905040",56,"Mound Visit"2019SDN.EVN.regular.comment.csv",96

"SDN201905040",58,"Mound Visit"2019SDN.EVN.regular.comment.csv",97

"SDN201905040",59,"Mound Visit"2019SDN.EVN.regular.comment.csv",98

"SDN201905040",59,"$Padres challenged call that ball hit by Kinsler was foul; call upheld - foul ball"2019SDN.EVN.regular.comment.csv",99

"SDN201905040",60,"Injury Delay"2019SDN.EVN.regular.comment.csv",100

"SDN201905040",82,"Mound Visit"2019SDN.EVN.regular.comment.csv",101

"SDN201905040",83,"Mound Visit"2019SDN.EVN.regular.comment.csv",102

"SDN201905040",87,"Mound Visit"2019SDN.EVN.regular.comment.csv",103

"SDN201905050",21,"Injury Delay"2019SDN.EVN.regular.comment.csv",104

"SDN201905050",22,"Mound Visit"2019SDN.EVN.regular.comment.csv",105

"SDN201905050",48,"Mound Visit"2019SDN.EVN.regular.comment.csv",106

"SDN201905050",50,"$Dodgers challenged call that Hosmer was safe at 1st; call was overturned - ground out"2019SDN.EVN.regular.comment.csv",107

"SDN201905050",72,"Mound Visit"2019SDN.EVN.regular.comment.csv",108

"SDN201905050",74,"Mound Visit"2019SDN.EVN.regular.comment.csv",109

"SDN201905060",50,"Mound Visit"2019SDN.EVN.regular.comment.csv",110

"SDN201905060",60,"Mound Visit"2019SDN.EVN.regular.comment.csv",111

"SDN201905070",3,"Mound Visit"2019SDN.EVN.regular.comment.csv",112

"SDN201905070",15,"Mound Visit"2019SDN.EVN.regular.comment.csv",113

"SDN201905070",25,"Mound Visit"2019SDN.EVN.regular.comment.csv",114

"SDN201905070",27,"$Padres challenged call that Quantrill was out at 1st; call was upheld - ground out"2019SDN.EVN.regular.comment.csv",115

"SDN201905070",41,"Mound Visit"2019SDN.EVN.regular.comment.csv",116

"SDN201905070",53,"Injury Delay"2019SDN.EVN.regular.comment.csv",117

"SDN201905070",54,"Mound Visit"2019SDN.EVN.regular.comment.csv",118

"SDN201905070",66,"Injury Delay"2019SDN.EVN.regular.comment.csv",119

"SDN201905070",83,"Mound Visit"2019SDN.EVN.regular.comment.csv",120

"SDN201905070",85,"Mound Visit"2019SDN.EVN.regular.comment.csv",121

"SDN201905080",32,"Mound Visit"2019SDN.EVN.regular.comment.csv",122

"SDN201905080",47,"Mound Visit"2019SDN.EVN.regular.comment.csv",123

"SDN201905080",48,"Mound Visit"2019SDN.EVN.regular.comment.csv",124

"SDN201905080",53,"Mound Visit"2019SDN.EVN.regular.comment.csv",125

"SDN201905160",32,"Injury Delay"2019SDN.EVN.regular.comment.csv",126

"SDN201905160",36,"$Padres challenged call that Frazier was safe at 1st; call was upheld - safe on fielder's choice"2019SDN.EVN.regular.comment.csv",127

"SDN201905160",38,"Mound Visit"2019SDN.EVN.regular.comment.csv",128

"SDN201905160",54,"Mound Visit"2019SDN.EVN.regular.comment.csv",129

"SDN201905160",67,"$Umpire review; call was overturned - hit by pitch"2019SDN.EVN.regular.comment.csv",130

"SDN201905170",44,"Mound Visit"2019SDN.EVN.regular.comment.csv",131

"SDN201905170",48,"On-field Delay"2019SDN.EVN.regular.comment.csv",132

"SDN201905170",53,"Mound Visit"2019SDN.EVN.regular.comment.csv",133

"SDN201905170",54,"Mound Visit"2019SDN.EVN.regular.comment.csv",134

"SDN201905170",58,"Mound Visit"2019SDN.EVN.regular.comment.csv",135

"SDN201905170",68,"Mound Visit"2019SDN.EVN.regular.comment.csv",136

"SDN201905170",68,"On-field Delay"2019SDN.EVN.regular.comment.csv",137

"SDN201905170",73,"Mound Visit"2019SDN.EVN.regular.comment.csv",138

"SDN201905180",22,"Mound Visit"2019SDN.EVN.regular.comment.csv",139

"SDN201905180",28,"Mound Visit"2019SDN.EVN.regular.comment.csv",140

"SDN201905180",38,"Mound Visit"2019SDN.EVN.regular.comment.csv",141

"SDN201905180",54,"Mound Visit"2019SDN.EVN.regular.comment.csv",142

"SDN201905180",61,"Mound Visit"2019SDN.EVN.regular.comment.csv",143

"SDN201905180",64,"Mound Visit"2019SDN.EVN.regular.comment.csv",144

"SDN201905180",78,"Mound Visit"2019SDN.EVN.regular.comment.csv",145

