"OAK201903200",0,"Game played in Tokyo","FILENAME_TX","LINE_NUMBER_CT"
"OAK201903200",15,"Injury Delay Mound Visit","2019OAK.EVA.regular.comment.csv",2
"OAK201903200",25,"Mound Visit","2019OAK.EVA.regular.comment.csv",3
"OAK201903200",39,"On-field Delay","2019OAK.EVA.regular.comment.csv",4
"OAK201903200",41,"Mound Visit","2019OAK.EVA.regular.comment.csv",5
"OAK201903200",48,"Mound Visit","2019OAK.EVA.regular.comment.csv",6
"OAK201903200",49,"Injury Delay","2019OAK.EVA.regular.comment.csv",7
"OAK201903200",67,"Mound Visit","2019OAK.EVA.regular.comment.csv",8
"OAK201903200",76,"Mound Visit","2019OAK.EVA.regular.comment.csv",9
"OAK201903210",0,"Game played in Tokyo","2019OAK.EVA.regular.comment.csv",10
"OAK201903210",21,"Mound Visit","2019OAK.EVA.regular.comment.csv",11
"OAK201903210",38,"Mound Visit","2019OAK.EVA.regular.comment.csv",12
"OAK201903210",41,"Mound Visit","2019OAK.EVA.regular.comment.csv",13
"OAK201903210",58,"Mound Visit","2019OAK.EVA.regular.comment.csv",14
"OAK201903210",62,"Mound Visit","2019OAK.EVA.regular.comment.csv",15
"OAK201903210",63,"Mound Visit","2019OAK.EVA.regular.comment.csv",16
"OAK201903210",65,"Mound Visit","2019OAK.EVA.regular.comment.csv",17
"OAK201903210",66,"Mound Visit","2019OAK.EVA.regular.comment.csv",18
"OAK201903210",71,"On-field Delay","2019OAK.EVA.regular.comment.csv",19
"OAK201903210",96,"Mound Visit","2019OAK.EVA.regular.comment.csv",20
"OAK201903210",98,"Mound Visit","2019OAK.EVA.regular.comment.csv",21
"OAK201903210",100,"Mound Visit","2019OAK.EVA.regular.comment.csv",22
"OAK201903210",107,"$Athletics challenged call that Profar's fly was caught, claiming a trap; call was upheld - catch","2019OAK.EVA.regular.comment.csv",23
"OAK201903280",9,"Injury Delay","2019OAK.EVA.regular.comment.csv",24
"OAK201903280",27,"Mound Visit","2019OAK.EVA.regular.comment.csv",25
"OAK201903280",37,"Mound Visit","2019OAK.EVA.regular.comment.csv",26
"OAK201903280",59,"Injury Delay","2019OAK.EVA.regular.comment.csv",27
"OAK201903290",24,"Mound Visit","2019OAK.EVA.regular.comment.csv",28
"OAK201903290",33,"Mound Visit","2019OAK.EVA.regular.comment.csv",29
"OAK201903290",39,"Mound Visit","2019OAK.EVA.regular.comment.csv",30
"OAK201903290",45,"Mound Visit","2019OAK.EVA.regular.comment.csv",31
"OAK201903290",57,"Mound Visit","2019OAK.EVA.regular.comment.csv",32
"OAK201903290",58,"Mound Visit","2019OAK.EVA.regular.comment.csv",33
"OAK201903300",24,"Mound Visit","2019OAK.EVA.regular.comment.csv",34
"OAK201903300",33,"Mound Visit","2019OAK.EVA.regular.comment.csv",35
"OAK201903300",49,"Mound Visit","2019OAK.EVA.regular.comment.csv",36
"OAK201903300",61,"Mound Visit","2019OAK.EVA.regular.comment.csv",37
"OAK201903310",20,"Mound Visit","2019OAK.EVA.regular.comment.csv",38
"OAK201903310",21,"Mound Visit","2019OAK.EVA.regular.comment.csv",39
"OAK201903310",35,"Mound Visit","2019OAK.EVA.regular.comment.csv",40
"OAK201903310",45,"Mound Visit","2019OAK.EVA.regular.comment.csv",41
"OAK201903310",62,"Mound Visit","2019OAK.EVA.regular.comment.csv",42
"OAK201904010",9,"$Red Sox challenged call that Bogaerts was out at home; call was upheld - out trying to score","2019OAK.EVA.regular.comment.csv",43
"OAK201904010",29,"Mound Visit","2019OAK.EVA.regular.comment.csv",44
"OAK201904010",46,"Mound Visit","2019OAK.EVA.regular.comment.csv",45
"OAK201904010",48,"Mound Visit","2019OAK.EVA.regular.comment.csv",46
"OAK201904020",23,"On-field Delay","2019OAK.EVA.regular.comment.csv",47
"OAK201904020",40,"Injury Delay","2019OAK.EVA.regular.comment.csv",48
"OAK201904020",47,"Mound Visit","2019OAK.EVA.regular.comment.csv",49
"OAK201904020",63,"Injury Delay","2019OAK.EVA.regular.comment.csv",50
"OAK201904020",64,"$Red Sox challened call that Bogaerts was out at 3rd; call was upheld - double and out stretching","2019OAK.EVA.regular.comment.csv",51
"OAK201904020",66,"Mound Visit","2019OAK.EVA.regular.comment.csv",52
"OAK201904030",5,"Injury Delay","2019OAK.EVA.regular.comment.csv",53
"OAK201904030",15,"Mound Visit","2019OAK.EVA.regular.comment.csv",54
"OAK201904030",31,"Mound Visit","2019OAK.EVA.regular.comment.csv",55
"OAK201904030",44,"Mound Visit","2019OAK.EVA.regular.comment.csv",56
"OAK201904030",45,"Mound Visit","2019OAK.EVA.regular.comment.csv",57
"OAK201904030",46,"Mound Visit","2019OAK.EVA.regular.comment.csv",58
"OAK201904030",59,"Mound Visit","2019OAK.EVA.regular.comment.csv",59
"OAK201904030",68,"Red Sox challenged call that Laureano was safe at 1st; call was overturned - ground out","2019OAK.EVA.regular.comment.csv",60
"OAK201904030",73,"Mound Visit","2019OAK.EVA.regular.comment.csv",61
"OAK201904030",75,"Mound Visit","2019OAK.EVA.regular.comment.csv",62
"OAK201904040",2,"$Athletics challenged call that Betts was safe at 2nd; call was upheld - fielder's choice sacrifice, all safe","2019OAK.EVA.regular.comment.csv",63
"OAK201904040",5,"Mound Visit","2019OAK.EVA.regular.comment.csv",64
"OAK201904040",28,"Mound Visit","2019OAK.EVA.regular.comment.csv",65
"OAK201904040",40,"Mound Visit","2019OAK.EVA.regular.comment.csv",66
"OAK201904040",43,"Mound Visit","2019OAK.EVA.regular.comment.csv",67
"OAK201904040",53,"Mound Visit","2019OAK.EVA.regular.comment.csv",68
"OAK201904040",59,"Mound Visit","2019OAK.EVA.regular.comment.csv",69
"OAK201904040",66,"Injury Delay","2019OAK.EVA.regular.comment.csv",70
"OAK201904040",76,"Injury Delay","2019OAK.EVA.regular.comment.csv",71
"OAK201904040",79,"$Red Sox challenged call that Betts was out at 3rd; call was upheld - out advancing","2019OAK.EVA.regular.comment.csv",72
"OAK201904040",80,"Mound Visit","2019OAK.EVA.regular.comment.csv",73
"OAK201904160",28,"Mound Visit","2019OAK.EVA.regular.comment.csv",74
"OAK201904160",29,"Mound Visit","2019OAK.EVA.regular.comment.csv",75
"OAK201904160",57,"Mound Visit","2019OAK.EVA.regular.comment.csv",76
"OAK201904160",78,"Mound Visit","2019OAK.EVA.regular.comment.csv",77
"OAK201904160",79,"Mound Visit","2019OAK.EVA.regular.comment.csv",78
"OAK201904170",9,"Injury Delay","2019OAK.EVA.regular.comment.csv",79
"OAK201904170",40,"Mound Visit","2019OAK.EVA.regular.comment.csv",80
"OAK201904170",42,"Mound Visit","2019OAK.EVA.regular.comment.csv",81
"OAK201904170",50,"Mound Visit","2019OAK.EVA.regular.comment.csv",82
"OAK201904170",66,"Mound Visit","2019OAK.EVA.regular.comment.csv",83
"OAK201904170",67,"Mound Visit","2019OAK.EVA.regular.comment.csv",84
"OAK201904190",14,"Mound Visit","2019OAK.EVA.regular.comment.csv",85
"OAK201904190",54,"Mound Visit","2019OAK.EVA.regular.comment.csv",86
"OAK201904190",68,"Mound Visit","2019OAK.EVA.regular.comment.csv",87
"OAK201904200",32,"Mound Visit","2019OAK.EVA.regular.comment.csv",88
"OAK201904200",35,"$Shoemaker left with injured knee","2019OAK.EVA.regular.comment.csv",89
"OAK201904200",37,"Injury Delay","2019OAK.EVA.regular.comment.csv",90
"OAK201904200",58,"On-field Delay","2019OAK.EVA.regular.comment.csv",91
"OAK201904200",66,"Mound Visit","2019OAK.EVA.regular.comment.csv",92
"OAK201904200",81,"On-field Delay","2019OAK.EVA.regular.comment.csv",93
"OAK201904210",10,"$Ball was caught at the wall and the throw trying for the runner at 1st was wild, backed up by catcher who threw runner out trying for second; no DP because of intervening misplay","2019OAK.EVA.regular.comment.csv",94
"OAK201904210",21,"Injury Delay","2019OAK.EVA.regular.comment.csv",95
"OAK201904210",35,"$Brett Anderson left with injured ankle","2019OAK.EVA.regular.comment.csv",96
"OAK201904210",40,"$Aaron Sanchez left with injured hand","2019OAK.EVA.regular.comment.csv",97
"OAK201904210",49,"Mound Visit","2019OAK.EVA.regular.comment.csv",98
"OAK201904210",52,"Mound Visit","2019OAK.EVA.regular.comment.csv",99
"OAK201904210",69,"Mound Visit","2019OAK.EVA.regular.comment.csv",100
"OAK201904210",71,"Mound Visit","2019OAK.EVA.regular.comment.csv",101
"OAK201904210",81,"Injury Delay","2019OAK.EVA.regular.comment.csv",102
"OAK201904220",3,"Injury Delay","2019OAK.EVA.regular.comment.csv",103
"OAK201904220",48,"Mound Visit","2019OAK.EVA.regular.comment.csv",104
"OAK201904220",54,"Mound Visit","2019OAK.EVA.regular.comment.csv",105
"OAK201904220",55,"$Andrus left with injured hand","2019OAK.EVA.regular.comment.csv",106
"OAK201904220",67,"Mound Visit","2019OAK.EVA.regular.comment.csv",107
"OAK201904220",68,"Mound Visit","2019OAK.EVA.regular.comment.csv",108
"OAK201904230",9,"$Umpire review of ball hit by Chapman; call upheld - home run","2019OAK.EVA.regular.comment.csv",109
"OAK201904230",13,"Mound Visit","2019OAK.EVA.regular.comment.csv",110
"OAK201904230",40,"Mound Visit","2019OAK.EVA.regular.comment.csv",111
"OAK201904230",43,"Mound Visit","2019OAK.EVA.regular.comment.csv",112
"OAK201904230",44,"Mound Visit","2019OAK.EVA.regular.comment.csv",113
"OAK201904230",57,"Mound Visit","2019OAK.EVA.regular.comment.csv",114
"OAK201904230",63,"Mound Visit","2019OAK.EVA.regular.comment.csv",115
"OAK201904230",68,"Mound Visit","2019OAK.EVA.regular.comment.csv",116
"OAK201904230",86,"Mound Visit","2019OAK.EVA.regular.comment.csv",117
"OAK201904230",91,"Mound Visit","2019OAK.EVA.regular.comment.csv",118
"OAK201904240",24,"On-field Delay","2019OAK.EVA.regular.comment.csv",119
"OAK201904240",29,"Mound Visit","2019OAK.EVA.regular.comment.csv",120
"OAK201904240",43,"Mound Visit","2019OAK.EVA.regular.comment.csv",121
"OAK201904240",47,"Mound Visit","2019OAK.EVA.regular.comment.csv",122
"OAK201904240",60,"On-field Delay","2019OAK.EVA.regular.comment.csv",123
"OAK201904240",65,"Mound Visit","2019OAK.EVA.regular.comment.csv",124
"OAK201904240",68,"Mound Visit","2019OAK.EVA.regular.comment.csv",125
"OAK201904240",69,"Mound Visit","2019OAK.EVA.regular.comment.csv",126
"OAK201904240",74,"On-field Delay","2019OAK.EVA.regular.comment.csv",127
"OAK201905070",46,"Mound Visit","2019OAK.EVA.regular.comment.csv",128
"OAK201905080",4,"Mound Visit","2019OAK.EVA.regular.comment.csv",129
"OAK201905080",7,"Mound Visit","2019OAK.EVA.regular.comment.csv",130
"OAK201905080",14,"Mound Visit","2019OAK.EVA.regular.comment.csv",131
"OAK201905080",18,"Injury Delay","2019OAK.EVA.regular.comment.csv",132
"OAK201905080",46,"Mound Visit $Davis left with an injured hip","2019OAK.EVA.regular.comment.csv",133
"OAK201905080",47,"Mound Visit","2019OAK.EVA.regular.comment.csv",134
"OAK201905080",60,"Mound Visit","2019OAK.EVA.regular.comment.csv",135
"OAK201905080",68,"Mound Visit","2019OAK.EVA.regular.comment.csv",136
"OAK201905080",91,"Mound Visit","2019OAK.EVA.regular.comment.csv",137
"OAK201905080",106,"$Umpire review of ball hit by Piscotty; call was upheld - home run","2019OAK.EVA.regular.comment.csv",138
"OAK201905090",5,"$Reds challenged call that Semien was hit by pitch; call was overturne - foul ball","2019OAK.EVA.regular.comment.csv",139
