"BAL199804250",19,"$Rafael Palmeiro caught Rickey Henderson with the hidden ball trick"FILENAME_TX","LINE_NUMBER_CT"

"BAL199806070",68,"Debut game for Radhames Dykhoff"1998BAL.EVA.regular.comment.csv",2

"BAL199806150",63,"ej,stanm003,P,hirsj901,Intentional HBP Mike Stanton ejected by HP umpire John Hirschbeck"1998BAL.EVA.regular.comment.csv",3

"BAL199806220",11,"ej,valeb102,M,coope901,Called third strike $Mets manager Valentine ejected by HP umpire Cooper for arguing called third strike on Olerud"1998BAL.EVA.regular.comment.csv",4

"BAL199807010",47,"ej,millr801,M,cedeg901,Balls and strikes $Orioles manager Miller ejected by HP umpire Cederstrom for arguing balls and strikes; he argued call at 3rd, then commented to Cederstrom as he left field and was ejected"1998BAL.EVA.regular.comment.csv",5

"BAL199807210",68,"Debut game for P.J. Forbes"1998BAL.EVA.regular.comment.csv",6

"BAL199808040",35,"ej,bellb001,M,hirsj901,Balls and strikes ej,higgb001,P,garcr901,Throwing water cup after manager ejection $Tigers manager Bell ejected by HP umpire Hirschbeck for Arguing balls and strikes while Alvarez was at bat; Tigers Higginson ejected by 3B umpire Garcia for throwing water cup towards field after Bell ejected"1998BAL.EVA.regular.comment.csv",7

"BAL199808040",54,"ej,gonzl001,P,hirsj901,Balls and strikes $Gonzalez ejected by HP umpire Hirschbeck for arguing balls and strikes after fourth pitch of at bat"1998BAL.EVA.regular.comment.csv",8

"BAL199808050",73,"ej,higgb001,P,garcr901,Call at 1B Bobby Higginson ejected by 1B umpire Richie Garcia"1998BAL.EVA.regular.comment.csv",9

"BAL199809010",82,"ej,surhb001,P,coope901,Balls and strikes $Surhoff ejected by HP umpire Cooper for arguing balls and strkes when 3-1 pitchh called strike"1998BAL.EVA.regular.comment.csv",10

"BAL199809110",14,"Debut game for Jerry Hairston"1998BAL.EVA.regular.comment.csv",11

"BAL199809120",7,"ej,bowal001,C,reedr901,Balls and strikes $Angels coach Bowa ejected by HP umpire Reed for arguing balls and strikes with Anderson at bat"1998BAL.EVA.regular.comment.csv",12

"BAL199809120",10,"Debut game for Calvin Pickering"1998BAL.EVA.regular.comment.csv",13

"BAL199809130",82,"Debut game for Ryan Minor"1998BAL.EVA.regular.comment.csv",14

"BAL199809150",1,"Debut game for Chris Fussell"1998BAL.EVA.regular.comment.csv",15

"BAL199809150",66,"ej,murre001,C,cedeg901,Balls and strikes $Orioles coach Murray ejected by HP umpire Cederstrom for arguing balls and strikes"1998BAL.EVA.regular.comment.csv",16

