"SDN201504090",16,"Padres pitcher Ian Kennedy left the game due to an injured leg","FILENAME_TX","LINE_NUMBER_CT"
"SDN201504090",21,"replay,3,despo001,SDN,gormb901,SAN02,,N,M,SDN,C $when Odrisamer Despaigne was called out at 1B, Padres manager Bud Black challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",2
"SDN201504090",55,"replay,8,aokin001,SFN,gormb901,SAN02,,N,U,,A $when Matt Duffy was called safe at 2B, crew chief Brian Gorman requested a review; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",3
"SDN201504090",59,"$after the first pitch to Angel Pagan, he and catcher Derek Norris exchanged words; HP Umpire Tripp Gibson warned both teams; the second pitch was under Pagan's chin","2015SDN.EVN.regular.comment.csv",4
"SDN201504090",90,"ej,venaw001,P,gibsh902,Checked swing ej,blacb001,P,gibsh902,Checked swing Will Venable and Padres manager Bud Black ejected by HP Umpire Tripp Gibson arguing the checked swing third strike","2015SDN.EVN.regular.comment.csv",5
"SDN201504100",39,"replay,6,panij002,SFN,vanol901,SAN02,,Y,M,SDN,A $when Nori Aoki was called safe at 1B on the pickoff attempt, Padres manager Bud Black challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",6
"SDN201504100",42,"$out at second originally scored as 26, but by rule it is 2 unassisted","2015SDN.EVN.regular.comment.csv",7
"SDN201504110",5,"Giants third baseman Casey McGehee left the game due to an injured knee","2015SDN.EVN.regular.comment.csv",8
"SDN201504240",22,"replay,3,gonza003,LAN,wintm901,SAN02,,Y,M,SDN,C $when Adrian Gonzalez was called safe at 1B, Padres manager Bud Black challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",9
"SDN201504240",44,"Dodgers right fielder Yasiel Puig left the game due to an injured leg","2015SDN.EVN.regular.comment.csv",10
"SDN201504240",65,"$originally scored as double, changed to single plus E7 on 04-25-2015","2015SDN.EVN.regular.comment.csv",11
"SDN201504250",6,"replay,1,crawc002,LAN,wintm901,SAN02,,N,M,LAN,A $when Yasmani Grandal was called out at HP, Dodgers manager Don Mattingly challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",12
"SDN201504250",64,"ej,kempm001,P,fostm901,Called third strike Padres right fielder Matt Kemp ejected by HP umpire Marty Foster","2015SDN.EVN.regular.comment.csv",13
"SDN201504270",7,"replay,1,solay001,SDN,reynj901,SAN02,,Y,M,SDN,C $when Yangervis Solarte was called out at 1B, Padres manager Bud Black challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",14
"SDN201504270",71,"Astros shortstop Jed Lowrie left the game due to an injured hand","2015SDN.EVN.regular.comment.csv",15
"SDN201504280",40,"replay,5,valbl001,HOU,reynj901,SAN02,,N,M,SDN,I $when Luis Valbuena was ruled to have been hit by a pitch, Padres manager Bud Black challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",16
"SDN201505030",39,"replay,5,dickc002,COL,barrt901,SAN02,,Y,M,COL,C $when Corey Dickerson was called out at 1B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015SDN.EVN.regular.comment.csv",17
"SDN201505140",1,"1:56 rain delay, the sixth rain delay at Petco Park since 2004","2015SDN.EVN.regular.comment.csv",18
"SDN201505140",15,"$Tyson Ross called for interference for running in fair territory and being hit by the throw","2015SDN.EVN.regular.comment.csv",19
"SDN201505160",14,"replay,2,desmi001,WAS,davig901,SAN02,,N,M,WAS,A $when Michael Taylor was called out at 3B, Nationals manager Matt Williams challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",20
"SDN201505160",20,"$the first pitch to Bryce Harper bounced away from catcher Austin Hedges; Yunel Escobar moved further off 2B and Hedges attempted to throw to 2B; HP umpire Gerry Davis interfered with Hedges, the throw struck Escobar and caromed into CF; Escobar ran to 3B but Davis called time and Escobar was sent back to 2B on the interference","2015SDN.EVN.regular.comment.csv",21
"SDN201505290",20,"replay,3,marts002,PIT,nelsj901,SAN02,,N,M,PIT,A $when Gregory Polanco was called out at HP, Pirates manager Clint Hurdle challenged the ruling; the call was upheld by replay; originally scored as wild pitch, but the runner was out before advancing so it was removed on 06-02-2015","2015SDN.EVN.regular.comment.csv",22
"SDN201506010",58,"ej,kempm001,P,iassd901,Balls and strikes ej,blacb001,M,iassd901,Balls and strikes Padres right fielder Matt Kemp and Manager Bud Black ejected by HP umpire Dan Iassogna","2015SDN.EVN.regular.comment.csv",23
"SDN201506020",30,"replay,3,spanc001,SDN,scotd901,SAN02,,Y,M,SDN,A $when Cory Spangenberg was called out at 3B, Padres manager Bud Black challenged the ruling; the call was overturned by replay, putting a run on the board","2015SDN.EVN.regular.comment.csv",24
"SDN201506020",46,"replay,5,spanc001,SDN,scotd901,SAN02,,N,M,SDN,A $when Yonder Alonzo was called out at 2B, Padres manager Bud Black challenged the ruling; the call was upheld by replay","2015SDN.EVN.regular.comment.csv",25
"SDN201506120",21,"$originally scored as error, change to single on 06-18-2015, making run earned","2015SDN.EVN.regular.comment.csv",26
