"LAN196804100",10,"Debut game for Larry Hisle","FILENAME_TX","LINE_NUMBER_CT"
"LAN196804100",11,"Debut game for Don Money","1968LAN.EVN.regular.comment.csv",2
"LAN196804110",57,"Al Ferrara injured left ankle on play","1968LAN.EVN.regular.comment.csv",3
"LAN196804110",60,"Debut game for Jack Billingham","1968LAN.EVN.regular.comment.csv",4
"LAN196804110",66,"Debut game for Vicente Romo","1968LAN.EVN.regular.comment.csv",5
"LAN196804140",15,"Debut game for Jim Fairey","1968LAN.EVN.regular.comment.csv",6
"LAN196804150",60,"Debut game for Cleo James","1968LAN.EVN.regular.comment.csv",7
"LAN196805020",28,"ej,colar101,P,venzt901,Call at 2B $Colavito ejected by 2B umpire Venzon for arguing he was safe at 2nd","1968LAN.EVN.regular.comment.csv",8
"LAN196805140",0,"$Fergie Jenkins 107 pitches; Don Drysdale 109 pitches","1968LAN.EVN.regular.comment.csv",9
"LAN196805150",0,"$Bill Hands 89 pitches; Jim Grant 81 pitches","1968LAN.EVN.regular.comment.csv",10
"LAN196805160",0,"$Don Sutton 110 pitches; Rich Nye 98 pitches","1968LAN.EVN.regular.comment.csv",11
"LAN196805310",70,"ej,franh101,M,wendh901,HBP non-call $Dick Dietz hit by 2-2 pitch but called back because he did not try to evade pitch; Giants Manager Herman Franks ejected by HP umpire Harry Wendelstedt; this run would have broken Don Drysdale's scoreless inning streak","1968LAN.EVN.regular.comment.csv",12
"LAN196806030",1,"Debut game for Freddie Patek","1968LAN.EVN.regular.comment.csv",13
"LAN196806040",8,"$Manny Mota beaned","1968LAN.EVN.regular.comment.csv",14
"LAN196806090",56,"ej,colar101,P,venzt901,Call strike 3 $Colavito ejected by HP umpire Venzon for arguing strike 3","1968LAN.EVN.regular.comment.csv",15
"LAN196806110",42,"$Ron Swoboda thought he was out at 2B, left bag and was tagged","1968LAN.EVN.regular.comment.csv",16
"LAN196806300",60,"Debut game for Mike Page","1968LAN.EVN.regular.comment.csv",17
"LAN196807050",87,"ej,bensv101,C,pryop901,Call at 3B Reds Coach Vern Benson ejected by 3B umpire Paul Pryor","1968LAN.EVN.regular.comment.csv",18
"LAN196807210",0,"$Bill Singer 84 pitches; Bill Hands 102 pitches","1968LAN.EVN.regular.comment.csv",19
"LAN196808090",58,"Chris Short struck on left forearm","1968LAN.EVN.regular.comment.csv",20
"LAN196808281",0,"$Bill Singer 121 pitches; Rich Nye 85 pitches","1968LAN.EVN.regular.comment.csv",21
"LAN196808281",3,"ej,versz101,P,wendh901,Call at 2B $Shortstop Versalles ejected by 2B umpire Wendelstedt for arguing that Beckert was out at 2nd","1968LAN.EVN.regular.comment.csv",22
"LAN196808282",0,"$John Purdin 59 pitches; Darcy Fast 71 pitches","1968LAN.EVN.regular.comment.csv",23
"LAN196809140",26,"ej,pappm101,P,secof101,Fair/foul call Milt Pappas ejected by 1B umpire Frank Secory","1968LAN.EVN.regular.comment.csv",24
"LAN196809210",13,"Debut game for Ted Simmons","1968LAN.EVN.regular.comment.csv",25
