"KCA200504110",14,"Royals third baseman Mark Teahen left the game due to an injured back"FILENAME_TX","LINE_NUMBER_CT"

"KCA200504140",38,"Mariners third baseman Adrian Beltre left the game due to an injured back"2005KCA.EVA.regular.comment.csv",2

"KCA200504150",10,"ej,penat001,M,buckc901,Balls and strikes Royals Manager Tony Pena ejected by HP umpire CB Bucknor"2005KCA.EVA.regular.comment.csv",3

"KCA200504230",33,"White Sox pitcher Jose Contreras left the game due to an injured leg"2005KCA.EVA.regular.comment.csv",4

"KCA200504230",59,"Royals center fielder David DeJesus left the game due to an injured foot/ankle"2005KCA.EVA.regular.comment.csv",5

"KCA200504230",70,"Debut game for Ambiorix Burgos"2005KCA.EVA.regular.comment.csv",6

"KCA200505120",63,"Game called for rain"2005KCA.EVA.regular.comment.csv",7

"KCA200505130",16,"Royals 1B Ken Harvey left the game due to an injured back"2005KCA.EVA.regular.comment.csv",8

"KCA200505170",23,"Orioles pitcher Sidney Ponson left the game due to an injured leg"2005KCA.EVA.regular.comment.csv",9

"KCA200505170",68,"ej,surhb001,P,darlg901,Called third strike B. J. Surhoff ejected by HP umpire Gary Darling"2005KCA.EVA.regular.comment.csv",10

"KCA200505310",67,"DWS: these two plays really belong together"2005KCA.EVA.regular.comment.csv",11

"KCA200506020",19,"Debut game for Shane Costa"2005KCA.EVA.regular.comment.csv",12

"KCA200506150",25,"Royals 1B Mike Sweeney left the game due to an injured hand/wrist"2005KCA.EVA.regular.comment.csv",13

"KCA200506160",79,"originally scored E5, changed next day to 5E4, changed two runs to UR as well"2005KCA.EVA.regular.comment.csv",14

"KCA200507010",5,"$DeJesus led off with a single and then Scioscia talked with the umpires; the lineup card had Berroa leading off; the lineup listed in the dugout did not match; Berroa was called out because of the batting out of order; DeJesus batted again"2005KCA.EVA.regular.comment.csv",15

"KCA200507030",48,"game called for rain"2005KCA.EVA.regular.comment.csv",16

"KCA200507060",24,"Royals DH Mike Sweeney left the game due to an injured hand/wrist from HP in first. No break"2005KCA.EVA.regular.comment.csv",17

"KCA200507090",64,"ej,bellb001,M,barkl901,Call at 1B $Royals manager Bell ejected by 1B umpire Barksdale for arguing Brown was safe at 1st on double play"2005KCA.EVA.regular.comment.csv",18

"KCA200507090",67,"ej,romej001,P,gibsg901,Balls and strikes $Pitcher Romero ejected by HP umpire Gibson for arguing balls and strikes after being removed from game"2005KCA.EVA.regular.comment.csv",19

"KCA200507220",24,"Mike Sweeney left the game due to an injured hand/wrist"2005KCA.EVA.regular.comment.csv",20

"KCA200507240",40,"Blue Jays center fielder Vernon Wells left the game due to an injured foot/ankle"2005KCA.EVA.regular.comment.csv",21

"KCA200507270",0,"Protest=V"2005KCA.EVA.regular.comment.csv",22

"KCA200507270",7,"ej,everc001,P,timmt901,Called third strike White Sox designated hitter Carl Everett ejected by HP umpire Tim Timmons"2005KCA.EVA.regular.comment.csv",23

"KCA200507270",105,"$White Sox complain that Shawn Camp was not listed as an extra player on the lineup card at start of game, although he was on roster; White Sox protest game"2005KCA.EVA.regular.comment.csv",24

"KCA200507270",111,"$Dye moves in from RF to play just in front of 2nd base"2005KCA.EVA.regular.comment.csv",25

"KCA200507270",112,"$Dye returns to RF"2005KCA.EVA.regular.comment.csv",26

"KCA200508090",21,"Royals designated hitter Matt Stairs left the game due to an injured leg"2005KCA.EVA.regular.comment.csv",27

"KCA200508100",74,"ej,bellb001,M,tscht901,Arguing from dugout Royals Manager Buddy Bell ejected by HP umpire Tim Tschida"2005KCA.EVA.regular.comment.csv",28

"KCA200508141",26,"Tigers Rondell White left the game due to an injured neck/shoulder, hurt diving for IPHR"2005KCA.EVA.regular.comment.csv",29

"KCA200508240",20,"Murphy injured right ring finger on hard ground ball"2005KCA.EVA.regular.comment.csv",30

"KCA200508240",66,"18 minute rain delay"2005KCA.EVA.regular.comment.csv",31

"KCA200508250",32,"Royals right fielder Matt Stairs left the game due to an injured leg"2005KCA.EVA.regular.comment.csv",32

"KCA200508310",29,"Royals left fielder Terrence Long left the game due to an injured leg"2005KCA.EVA.regular.comment.csv",33

"KCA200509202",16,"ej,trama001,M,barkl901,Call at HP Tigers Manager Alan Trammell ejected by HP umpire Lance Barksdale"2005KCA.EVA.regular.comment.csv",34

"KCA200509250",44,"Royals left fielder Terrence Long left the game due to an injured knee"2005KCA.EVA.regular.comment.csv",35

