"TBA200810220",2,"$infield shifted for Chase Utley and Ryan Howard"FILENAME_TX","LINE_NUMBER_CT"

"TBA200810220",3,"$Chase Utley homers in his first World Series at bat"2008WS.EVE.post.comment.csv",2

"TBA200810220",7,"$infield shifted for Carlos Pena"2008WS.EVE.post.comment.csv",3

"PHI200810250",0,"$the latest start in World Series history after a 1:31 rain delay before game"2008WS.EVE.post.comment.csv",4

"PHI200810250",52,"$pitcher Jamie Moyer scooped the ball with his glove and flipped it to 1B, where Ryan Howard caught it with his bare hand"2008WS.EVE.post.comment.csv",5

"PHI200810250",77,"$the Rays use a five-man infield by bringing Ben Zobrist in from RF to stand at second base"2008WS.EVE.post.comment.csv",6

"PHI200810250",79,"$the grounder rolled about 60 feet down the 3B line; Evan Longoria's throw was too high to catch and too late to get Eric Bruntlett"2008WS.EVE.post.comment.csv",7

"PHI200810260",46,"$Joe Blanton is the 15th pitcher to hit a homer in the World Series, the last being Ken Holtzman in 1974"2008WS.EVE.post.comment.csv",8

"PHI200810270",0,"Suspend=20081029,,2,2,33"2008WS.EVE.post.comment.csv",9

"PHI200810270",37,"$Jimmy Rollins fought with the rain and gusting wind trying to catch the ball"2008WS.EVE.post.comment.csv",10

"PHI200810270",51,"$game suspended due to heavy rain and winds at 10:39 PM; resumed at 8:40 on 10/29; the first suspension in World Series history; temperature at the time of the resumption was 44 but it was dry"2008WS.EVE.post.comment.csv",11

"PHI200810270",53,"$infield in for Jayson Werth"2008WS.EVE.post.comment.csv",12

"PHI200810270",62,"$Chase Utley pump-faked to 1B and then threw to HP"2008WS.EVE.post.comment.csv",13

"PHI200810270",80,"$the game, which started on 10/27 at 8:30, ended on 10/29 at 9:59"2008WS.EVE.post.comment.csv",14

