"CLE194810090",3,"$Earl Torgeson stumbled rounding 2B","FILENAME_TX","LINE_NUMBER_CT"
"BSN194810110",64,"$pick off attempted at 1B; Thurman Tucker tried to score","1948WS.EVE.post.comment.csv",2
"BSN194810110",76,"$attempted sacrifice popped up and Gordon covered first for the DP","1948WS.EVE.post.comment.csv",3
