"SLN198904210",60,"$Otis Nixon injured by catcher during SB","FILENAME_TX","LINE_NUMBER_CT"
"SLN198904220",62,"$catcher missed tag on throw home on suicide squeeze","1989SLN.EVN.regular.comment.csv",2
"SLN198904230",58,"$delayed double steal before pitch; pitcher threw to 2B","1989SLN.EVN.regular.comment.csv",3
"SLN198904250",44,"$Ernie Riles called for interference","1989SLN.EVN.regular.comment.csv",4
"SLN198904290",72,"ej,perrr101,C,davib902,Bench jockeying $Dodgers coach Perranoski ejected by HP umpire Davidson who thought Perranoski was yelling at him wen he was actually trying to get catcher Dempsey's attention; he and Davidson got into unpleasant exchange and Perranoski was ejected; Perranoski ran onto the field. Dodgers manager Lasorda followed and walked pitcher Pena back to mound; this consituted two visits and Dodgers were forced to change pitchers after McGee flied out","1989SLN.EVN.regular.comment.csv",5
"SLN198904300",13,"$Tim Belcher called for interference","1989SLN.EVN.regular.comment.csv",6
"SLN198905120",48,"$Vince Coleman called for interference at 2B","1989SLN.EVN.regular.comment.csv",7
"SLN198905130",40,"$Ken Dayley balked on ball 4 but Reds chose the walk","1989SLN.EVN.regular.comment.csv",8
"SLN198905130",73,"$Todd Worrell hurt groin","1989SLN.EVN.regular.comment.csv",9
"SLN198905140",2,"$Lenny Harris called for interference","1989SLN.EVN.regular.comment.csv",10
"SLN198905280",89,"rain delay of 1:54; game called","1989SLN.EVN.regular.comment.csv",11
"SLN198906040",38,"ej,gracm001,P,crawj901,Fighting $Grace ejected by HP umpire Crawford for charging mound after brushback; benches cleared and Cardinals Pendleton injured elbow, leaving in next inning","1989SLN.EVN.regular.comment.csv",12
"SLN198906170",7,"ej,colev001,P,hallt901,Balls and strikes ej,herzw101,M,hallt901,Balls and strikes Vince Coleman and Cardinals manager Whitey Herzog ejected by HP umpire Tom Hallion","1989SLN.EVN.regular.comment.csv",13
"SLN198906280",62,"ej,dyksl001,P,engeb901,Call at 1B Lenny Dykstra ejected by 1B umpire Bob Engel","1989SLN.EVN.regular.comment.csv",14
"SLN198907070",57,"Debut game for Mike Benjamin","1989SLN.EVN.regular.comment.csv",15
"SLN198907250",63,"$Vince Coleman failed to retouch 3B on way back to 2B and was called out on appeal","1989SLN.EVN.regular.comment.csv",16
"SLN198907310",71,"$missed squeeze bunt","1989SLN.EVN.regular.comment.csv",17
"SLN198908040",18,"$Milt Thompson chased back to 3B but Tony Pena already there","1989SLN.EVN.regular.comment.csv",18
"SLN198909030",68,"Willie $McGee pulled left hamstring running to 2B","1989SLN.EVN.regular.comment.csv",19
"SLN198909130",33,"$Tony Pena's ground ball hit 2B umpire Charlie Williams","1989SLN.EVN.regular.comment.csv",20
"SLN198909130",39,"game called after rain delay; it was replayed entirely on 9/14","1989SLN.EVN.regular.comment.csv",21
"SLN198909210",54,"$Willie McGee injured on Kevin McReynolds' triple","1989SLN.EVN.regular.comment.csv",22
"SLN198909240",40,"$Ozzie Smith rounded 2B too far","1989SLN.EVN.regular.comment.csv",23
