"SFN198204130",0,"Debut for umpire O'Connor (unknown first name)"FILENAME_TX","LINE_NUMBER_CT"

"SFN198204230",40,"Debut game for Bill Laskey"1982SFN.EVN.regular.comment.csv",2

"SFN198204230",72,"Debut game for Jose Barrios"1982SFN.EVN.regular.comment.csv",3

"SFN198204290",1,"$Jeff Leonard left game injured on Raines double"1982SFN.EVN.regular.comment.csv",4

"SFN198204300",26,"ej,bambg101,M,kiblj901,Interference call $Mets manager Bamberger ejected by 1B umpire Kibler when Stearns ran inside baseline after hitting a little tap; wild throw by catcher appeared to put him on 2nd before he was called out"1982SFN.EVN.regular.comment.csv",5

"SFN198205021",63,"$the ball bounced off the plate and apparently hit Ellis Valentine's arm; it then trickled into fair territory near the 3B line; both runners froze thinking it was a foul ball but it was ruled fair; Valentine, Mets manager George Bamberger and coach Frank Howard all argued to no avail"1982SFN.EVN.regular.comment.csv",6

"SFN198205021",64,"discrepancy with official totals: Kingman's run should be charged to Minton not Holland"1982SFN.EVN.regular.comment.csv",7

"SFN198205021",72,"Discrepancy with official totals they have Holland 2R 0ER and Minton 1R 1ER see top 8"1982SFN.EVN.regular.comment.csv",8

"SFN198205022",48,"ej,galer001,P,froeb901,Bench jockeying Rich Gale ejected by HP umpire Bruce Froemming; he was not in game"1982SFN.EVN.regular.comment.csv",9

"SFN198205040",26,"$failed DP try, no one covered home"1982SFN.EVN.regular.comment.csv",10

"SFN198206110",37,"$Tom O'Malley rounded 2B too far"1982SFN.EVN.regular.comment.csv",11

"SFN198207200",55,"ej,harrb101,C,monte901,Call at 2B $Mets coach Harrelson ejected by 2B umpire Montague for arguing that 2bman was pulled off bag by throw and that Backman was therefore safe"1982SFN.EVN.regular.comment.csv",12

"SFN198207280",11,"Debut game for Ricky Wright"1982SFN.EVN.regular.comment.csv",13

"SFN198207280",44,"missing play in SFN198207280 DWS: invented fielding credit"1982SFN.EVN.regular.comment.csv",14

"SFN198208060",46,"ej,robif103,M,palld901,HBP non-call Giants manager Frank Robinson ejected by HP umpire Dave Pallone"1982SFN.EVN.regular.comment.csv",15

"SFN198208060",51,"ej,knigr001,P,palld901,Interference call $Ray Knight called for interference by HP Umpire Dave Pallone and was ejected by Pallone"1982SFN.EVN.regular.comment.csv",16

"SFN198208270",64,"$Bill Madlock left with sore shoulder"1982SFN.EVN.regular.comment.csv",17

"SFN198208290",0,"$Willie Stargell Day at Candlestick"1982SFN.EVN.regular.comment.csv",18

"SFN198209040",1,"Debut game for Mark Dempsey"1982SFN.EVN.regular.comment.csv",19

"SFN198209040",47,"Debut game for Brad Wellman"1982SFN.EVN.regular.comment.csv",20

"SFN198209040",65,"Debut game for John Rabb"1982SFN.EVN.regular.comment.csv",21

"SFN198209130",68,"$missed suicide squeeze"1982SFN.EVN.regular.comment.csv",22

"SFN198209190",11,"Debut game for George Hinshaw"1982SFN.EVN.regular.comment.csv",23

"SFN198209190",49,"$Terry Kennedy hurt right index finger on foul ball"1982SFN.EVN.regular.comment.csv",24

"SFN198210020",13,"$Bob Welch called for interference"1982SFN.EVN.regular.comment.csv",25

"SFN198210020",70,"Debut game for Scott Garrelts"1982SFN.EVN.regular.comment.csv",26

