"PIT192004230",5,"$Shotton ran up the line and dased toward home as soon as the ball left Carlson's hand.","FILENAME_TX","LINE_NUMBER_CT"
"PIT192004230",10,"$Hamilton replaced Carlson with a 2-2 count on McHenry.","1920PIT.EVN.regular.comment.csv",2
"PIT192004290",43,"Diving catch.","1920PIT.EVN.regular.comment.csv",3
"PIT192004290",72,"Ring eluded Caton's tag.","1920PIT.EVN.regular.comment.csv",4
"PIT192005070",22,"Nicholson lost the ball in the sun.","1920PIT.EVN.regular.comment.csv",5
"PIT192005080",49,"Hollocher threw the ball to first but according to Umpire Emslie's ruling, Barber was pulled off the bag.  Killefer was ejected.","1920PIT.EVN.regular.comment.csv",6
"PIT192005100",5,"$Meusel lost the ball in the sun.","1920PIT.EVN.regular.comment.csv",7
"PIT192005100",44,"$Southworth was called out when Cutshaw interfered with Wheat","1920PIT.EVN.regular.comment.csv",8
"PIT192005120",39,"Attempted double steal.","1920PIT.EVN.regular.comment.csv",9
"PIT192005150",66,"attempted double steal","1920PIT.EVN.regular.comment.csv",10
"PIT192005170",56,"Doyle ejected by Klem for arguing 3rd strike call","1920PIT.EVN.regular.comment.csv",11
"PIT192005170",94,"$Yes, out 54; aborted double SB Schmidt trapped Burns off 3B and ran him back and tagged him and tossed ball to mound; as Pirates left field Klem managed to convey safe call. Burns tried to score but alert Whitted recovered ball and fired to Cutshaw covering home to get Burns","1920PIT.EVN.regular.comment.csv",12
"PIT192005170",126,"$In scramble for ball Barnes and Snyder collided heavily,both dazed but continue","1920PIT.EVN.regular.comment.csv",13
"PIT192005190",49,"Caton was hit by his own batted ball.","1920PIT.EVN.regular.comment.csv",14
"PIT192005200",48,"Infield hit.","1920PIT.EVN.regular.comment.csv",15
"PIT192005220",8,"$Terrific foul by Whitted hit little boy who was carried out","1920PIT.EVN.regular.comment.csv",16
"PIT192005250",36,"Schmidt thought ball went into LF, so ran into Kilduff's tag","1920PIT.EVN.regular.comment.csv",17
"PIT192005250",40,"Ward and Wheat got signals crossed","1920PIT.EVN.regular.comment.csv",18
"PIT192005311",0,"Morning game","1920PIT.EVN.regular.comment.csv",19
"PIT192005311",22,"Shoestring catch.","1920PIT.EVN.regular.comment.csv",20
"PIT192005311",27,"Carey tried for a diving catch.","1920PIT.EVN.regular.comment.csv",21
"PIT192005312",79,"Attempted double steal.","1920PIT.EVN.regular.comment.csv",22
"PIT192006010",75,"Grimm was caught off first.","1920PIT.EVN.regular.comment.csv",23
"PIT192006010",83,"Off Lavan's foot.","1920PIT.EVN.regular.comment.csv",24
"PIT192006020",4,"Infield in.","1920PIT.EVN.regular.comment.csv",25
