"ARI200110100",65,"$come backer trapping Jim Edmonds off 3B; Miguel Batista looked at Edmonds then wheeled around and made a bad throw to 1B","FILENAME_TX","LINE_NUMBER_CT"
"SLN200110120",41,"$off the RF pole screen","2001NLD2.EVE.post.comment.csv",2
"SLN200110130",0,"3:36 rain delay before start of game","2001NLD2.EVE.post.comment.csv",3
