"LAN198804040",23,"$first 13 Giant batters took 1st pitch (10 balls, 3 strikes)","FILENAME_TX","LINE_NUMBER_CT"
"LAN198804050",13,"$Mike Marshall buzzed by 3rd pitch","1988LAN.EVN.regular.comment.csv",2
"LAN198804050",18,"$Orel Hershiser warned by HP umpire Jim Quick","1988LAN.EVN.regular.comment.csv",3
"LAN198804050",40,"$Orel Hershiser flied out but a balk had been called","1988LAN.EVN.regular.comment.csv",4
"LAN198804050",63,"$Kirk Gibson took out Robby Thompson","1988LAN.EVN.regular.comment.csv",5
"LAN198804180",14,"$John Kruk left due to sore shoulder","1988LAN.EVN.regular.comment.csv",6
"LAN198804180",20,"$Steve Sax sprained finger sliding into 3B","1988LAN.EVN.regular.comment.csv",7
"LAN198804180",42,"$John Shelby strained muscle on check swing","1988LAN.EVN.regular.comment.csv",8
"LAN198804260",30,"$botched squeeze play","1988LAN.EVN.regular.comment.csv",9
"LAN198805010",24,"$Luis Alicea had trouble with the sun","1988LAN.EVN.regular.comment.csv",10
"LAN198805010",34,"$Steve Sax shifted behind 2B for Bob Horner","1988LAN.EVN.regular.comment.csv",11
"LAN198805010",60,"$Kirk Gibson broke up the DP","1988LAN.EVN.regular.comment.csv",12
"LAN198805020",35,"$R.J. Reynolds tried for the shoestring catch","1988LAN.EVN.regular.comment.csv",13
"LAN198805040",5,"$Andy Van Slyke broke up the DP","1988LAN.EVN.regular.comment.csv",14
"LAN198805040",84,"$Darnell Coles missed a diving catch","1988LAN.EVN.regular.comment.csv",15
"LAN198805170",17,"$Mike Marshall fell down and flipped the ball to Mike Scioscia","1988LAN.EVN.regular.comment.csv",16
"LAN198805180",70,"ej,lasot101,M,willc901,Balls and strikes Dodgers manager Tommy Lasorda ejected by HP umpire Charlie Williams for yelling about balls and strikes from the bench","1988LAN.EVN.regular.comment.csv",17
"LAN198805190",7,"$fake to 1B and throw to 3B for pickoff","1988LAN.EVN.regular.comment.csv",18
"LAN198805190",12,"$Jeff Reed's fake bunt drew Pedro Guerrero out of position","1988LAN.EVN.regular.comment.csv",19
"LAN198805190",18,"$Mike Marshall called for interference at 2B","1988LAN.EVN.regular.comment.csv",20
"LAN198805190",48,"$Steve Sax saved Pedro Guerrero's wild throw","1988LAN.EVN.regular.comment.csv",21
"LAN198805190",67,"Infield using exaggerated shift","1988LAN.EVN.regular.comment.csv",22
