"CIN195404130",79,"$Andy Pafko struck on the head and was carried off on a stretcher"FILENAME_TX","LINE_NUMBER_CT"

"CIN195404210",0,"Protest=H"1954CIN.EVN.regular.comment.csv",2

"CIN195404210",19,"ej,stane101,M,jackb901,Refusing to stay in coach's box Cardinals Manager Eddie Stanky ejected by HP umpire Bill Jackowski for refusing to stay in the coach's box; Reds manager Birdie Tebbetts had complained about Stanky's antics and eventually protested the game"1954CIN.EVN.regular.comment.csv",3

"CIN195404240",16,"to match daily/TSN, arbitrary 7 to 8"1954CIN.EVN.regular.comment.csv",4

"CIN195404240",50,"ej,garaj101,P,gorea901,Call at HP $Catcher Garagiola ejected by HP umpire Gore for arguing safe call on steal of home"1954CIN.EVN.regular.comment.csv",5

"CIN195404240",73,"ej,bartd101,C,gorea901,Called strike 3 $Reds coach Bartell ejected by HP umpire Gore for arguing called strike 3 to Adams"1954CIN.EVN.regular.comment.csv",6

"CIN195404251",18,"to match daily/TSN, arbitrary 43 to 41"1954CIN.EVN.regular.comment.csv",7

"CIN195404252",56,"to match daily/TSN, arbitrary 7 to 8"1954CIN.EVN.regular.comment.csv",8

"CIN195404270",16,"to match daily/TSN, arbitrary 4 to 5"1954CIN.EVN.regular.comment.csv",9

"CIN195405010",47,"17 minute rain delay"1954CIN.EVN.regular.comment.csv",10

"CIN195405020",57,"1:32 rain delay"1954CIN.EVN.regular.comment.csv",11

"CIN195405020",76,"Scheduled 2nd game rained out"1954CIN.EVN.regular.comment.csv",12

"CIN195405060",31,"to match daily/TSN, arbitrary 5 to 4"1954CIN.EVN.regular.comment.csv",13

"CIN195405070",7,"$Overthrow at home and runner out trying to advance; no DP"1954CIN.EVN.regular.comment.csv",14

"CIN195405070",66,"$Solly Hemus called for obstruction"1954CIN.EVN.regular.comment.csv",15

"CIN195406050",57,"ej,borkb101,P,dixoh901,Called third strike Bob Borkowski ejected by HP umpire Hal Dixon"1954CIN.EVN.regular.comment.csv",16

"CIN195406061",30,"Only fourth ball intentional."1954CIN.EVN.regular.comment.csv",17

"CIN195406080",0,"Corky Valentine: 139 pitches; George O'Donnell 81 pitches"1954CIN.EVN.regular.comment.csv",18

"CIN195406100",41,"to match daily/TSN, arbitrary 43 to 63"1954CIN.EVN.regular.comment.csv",19

"CIN195406131",33,"$allowed to roll"1954CIN.EVN.regular.comment.csv",20

"CIN195406290",14,"$Johnny Temple left with injured head"1954CIN.EVN.regular.comment.csv",21

"CIN195406290",64,"Tom Alston hurt"1954CIN.EVN.regular.comment.csv",22

"CIN195407090",36,"to match daily/TSN, arbitrary 6 to 4"1954CIN.EVN.regular.comment.csv",23

"CIN195407161",81,"to match daily/TSN, arbitrary 5 to 4"1954CIN.EVN.regular.comment.csv",24

"CIN195407190",61,"ej,durol101,M,goetl901,Catch/trap call Giants Manager Leo Durocher ejected by HP umpire Larry Goetz claiming that the ball glanced off the backstop"1954CIN.EVN.regular.comment.csv",25

"CIN195407200",108,"It appears that these two swapped positions at some point."1954CIN.EVN.regular.comment.csv",26

"CIN195407230",59,"to match daily/TSN, arbitrary 13 to 3"1954CIN.EVN.regular.comment.csv",27

"CIN195407240",18,"to match daily/TSN, arbitrary 13 to 3"1954CIN.EVN.regular.comment.csv",28

