"CLE198604230",15,"$Tony Bernazard called for interference"FILENAME_TX","LINE_NUMBER_CT"

"CLE198605060",43,"rain out"1986CLE.EVA.regular.comment.csv",2

"CLE198605120",0,"Protest=V"1986CLE.EVA.regular.comment.csv",3

"CLE198605120",21,"$Texas protested game because of safe call at 2B"1986CLE.EVA.regular.comment.csv",4

"CLE198605240",11,"ej,hallm001,P,hirsj901,Charging mound after HBP $Mel Hall charged the mound and was ejected by HP umpire John Hirschbeck"1986CLE.EVA.regular.comment.csv",5

"CLE198605270",44,"$15 minute delay for fog"1986CLE.EVA.regular.comment.csv",6

"CLE198605270",47,"$Game called for fog"1986CLE.EVA.regular.comment.csv",7

"CLE198606080",61,"$Fan interference"1986CLE.EVA.regular.comment.csv",8

"CLE198606130",11,"Debut game for Cory Snyder"1986CLE.EVA.regular.comment.csv",9

"CLE198606190",49,"$run scored before third out"1986CLE.EVA.regular.comment.csv",10

"CLE198607220",13,"ej,fiskc001,P,kaisk901,Balls and strikes (while catching) ej,fregj101,M,kaisk901,Balls and strikes Carlton Fisk and White Sox manager Jim Fregosi ejected by HP umpire Ken Kaiser when a ball was called on Pat Tabler"1986CLE.EVA.regular.comment.csv",11

"CLE198607290",24,"ej,andes101,M,hendt901,Call at HP ej,gibsk001,P,hendt901,Call at HP (Bumped umpire) Kirk Gibson and Tigers manager Sparky Anderson ejected by HP umpire Ted Hendry after Gibson bumped Hendry during argument"1986CLE.EVA.regular.comment.csv",12

"CLE198607300",82,"ej,slatj001,P,cousd901,Throwing at Andre Thornton Jim Slaton ejected by HP umpire Derryl Cousins for throwing at Andre Thornton"1986CLE.EVA.regular.comment.csv",13

"CLE198608020",64,"ej,pinil001,M,roe-r901,Balls and strikes (Kicked dirt and threw cap) $Yankees manager Piniella ejected by HP umpire Roe for for arguing called strike to Tolleson; Piniella kicked dirt on HP and Roe's shoes and threw his cap"1986CLE.EVA.regular.comment.csv",14

"CLE198608170",31,"ej,weave801,M,younl901,Balls and strikes $Orioles manager Weaver ejected by HP umpire Young for arguing balls and strikes as he made pitching change"1986CLE.EVA.regular.comment.csv",15

"CLE198608210",1,"Debut game for Greg Swindell"1986CLE.EVA.regular.comment.csv",16

"CLE198608260",81,"rain out"1986CLE.EVA.regular.comment.csv",17

"CLE198608280",5,"ej,willj107,M,cobld901,Balls and strikes Blue Jays manager Jimy Williams ejected by HP umpire Drew Coble arguing balls and strikes sometime in the first inning"1986CLE.EVA.regular.comment.csv",18

"CLE198609100",1,"Debut game for Willie Fraser"1986CLE.EVA.regular.comment.csv",19

"CLE198609120",58,"Debut game for Terry Steinbach"1986CLE.EVA.regular.comment.csv",20

