"NY1191704210",50,"pbp account ends here, rest deduced","FILENAME_TX","LINE_NUMBER_CT"
"NY1191704210",52,"$Smith hit an apparent double, but base umpire Quigley ruled it foul; braves protested angrily","1917NY1.EVN.regular.comment.csv",2
"NY1191704210",54,"ej,fitze102,P,quige901,Fair/foul call $Braves Fitzpatrick, not in game, ejected by base umpire Quigley at start of 8th as he went to cocah 3rd for continuing argument about Smith's foul in 7th","1917NY1.EVN.regular.comment.csv",3
"NY1191705120",0,"$Ceremonies for Reds manager Mathewson before game; he received a silver tea service","1917NY1.EVN.regular.comment.csv",4
"NY1191705120",50,"pbp account ends here, rest deduced","1917NY1.EVN.regular.comment.csv",5
"NY1191705180",60,"McCarthy didn't touch second, Bigbee covered first and  dropped throw.","1917NY1.EVN.regular.comment.csv",6
"NY1191705190",31,"Fischer missed tag on rundown of Fletcher, threw wildly,  then dropped ball tagging Holke.","1917NY1.EVN.regular.comment.csv",7
"NY1191705190",85,"Double steal attempt; Herzog beat throw to third.","1917NY1.EVN.regular.comment.csv",8
"NY1191705220",49,"Bigbee hurt leg in first inning rundown.","1917NY1.EVN.regular.comment.csv",9
"NY1191705230",50,"pbp account ends here, rest deduced","1917NY1.EVN.regular.comment.csv",10
"NY1191705240",1,"$Hit on the back","1917NY1.EVN.regular.comment.csv",11
"NY1191705240",68,"ej,robed103,P,byrol901,Called third strike $Robertson ejected by HP umpire Byron for arguing strike 3","1917NY1.EVN.regular.comment.csv",12
"NY1191705240",79,"$Zeider tagged Kauff as he ran by","1917NY1.EVN.regular.comment.csv",13
"NY1191705250",76,"ej,fleta101,P,quige901,Call at 1B $Shortstop Fletcher ejected by base umpire Quigley for arguing call at 1st","1917NY1.EVN.regular.comment.csv",14
"NY1191705250",77,"$HP umpire Quigley fined Doyle 5 dollars for shouting at him unnecessarily","1917NY1.EVN.regular.comment.csv",15
"NY1191705260",33,"Wilson sent from coach's box to bench by Byron.","1917NY1.EVN.regular.comment.csv",16
"NY1191705260",59,"Into the stands.","1917NY1.EVN.regular.comment.csv",17
"NY1191705260",66,"ej,doyll101,P,byrol901,Called third strike (Threw bat) $Doyle ejected by HP umpire Byron for arguing called strike 3 and throwing bat","1917NY1.EVN.regular.comment.csv",18
"NY1191705302",50,"pbp account ends here, rest deduced","1917NY1.EVN.regular.comment.csv",19
"NY1191706291",27,"Brief rain delay.","1917NY1.EVN.regular.comment.csv",20
"NY1191706291",33,"Hit by own batted ball.","1917NY1.EVN.regular.comment.csv",21
"NY1191707141",6,"Into the seats.","1917NY1.EVN.regular.comment.csv",22
"NY1191707160",50,"$Hit on arm","1917NY1.EVN.regular.comment.csv",23
"NY1191707170",35,"$Dillhoefer spiked by Kauff and left game","1917NY1.EVN.regular.comment.csv",24
"NY1191707170",55,"pbp account ends here, rest deduced","1917NY1.EVN.regular.comment.csv",25
"NY1191707180",68,"ej,zimmh101,P,byrol901,Call at HP $Zimmerman ejected by HP umpire Byron for arguing he was safe at home on steal attempt","1917NY1.EVN.regular.comment.csv",26
"NY1191707240",23,"$Burns out for passing Perritt","1917NY1.EVN.regular.comment.csv",27
"NY1191707240",53,"Stelle relieved with 2-0 count on Steele-hurt back.","1917NY1.EVN.regular.comment.csv",28
"NY1191708141",5,"Into the seats.","1917NY1.EVN.regular.comment.csv",29
"NY1191708141",17,"Into the seats.","1917NY1.EVN.regular.comment.csv",30
"NY1191708181",2,"Gibson's right thumb injured by foul ball.","1917NY1.EVN.regular.comment.csv",31
"NY1191708181",33,"Zimmerman purposely dropped bunt pop.","1917NY1.EVN.regular.comment.csv",32
"NY1191708230",0,"$Drizzle from start of game","1917NY1.EVN.regular.comment.csv",33
"NY1191708230",34,"$Game called for rain","1917NY1.EVN.regular.comment.csv",34
"NY1191708252",11,"Kauff: sensational running catch","1917NY1.EVN.regular.comment.csv",35
"NY1191708252",19,"Tried to score on short passed ball","1917NY1.EVN.regular.comment.csv",36
"NY1191708252",29,"Robertson's throw was short and bounced through Rariden","1917NY1.EVN.regular.comment.csv",37
"NY1191708252",47,"Close play","1917NY1.EVN.regular.comment.csv",38
"NY1191708252",48,"Cubs argued loudly that Herzog intentionally got in the way","1917NY1.EVN.regular.comment.csv",39
"NY1191708252",51,"277: (26), but changed per EBN","1917NY1.EVN.regular.comment.csv",40
"NY1191708252",54,"Fletcher: sensational catch","1917NY1.EVN.regular.comment.csv",41
"NY1191708252",64,"Kilduff: great stop","1917NY1.EVN.regular.comment.csv",42
"NY1191708252",71,"$Hit in the back","1917NY1.EVN.regular.comment.csv",43
"NY1191708252",73,"Instead of making a play on the ball, Deal raced back to 3B","1917NY1.EVN.regular.comment.csv",44
"NY1191708270",28,"Double steal attempt","1917NY1.EVN.regular.comment.csv",45
"NY1191708290",17,"Double steal.","1917NY1.EVN.regular.comment.csv",46
"NY1191708290",74,"ej,wardc102,P,byrol901,Call at 2B $SS Ward ejected by base umpire Byron for arguing runner was out on steal","1917NY1.EVN.regular.comment.csv",47
"NY1191709031",57,"Into the seats.","1917NY1.EVN.regular.comment.csv",48
"NY1191709051",67,"Over the fence.","1917NY1.EVN.regular.comment.csv",49
"NY1191709052",31,"Into the stands.","1917NY1.EVN.regular.comment.csv",50
"NY1191709052",59,"Balance of game derived from Retrosheet box score.","1917NY1.EVN.regular.comment.csv",51
"NY1191709061",44,"Into the seats.","1917NY1.EVN.regular.comment.csv",52
"NY1191709071",40,"Burns trapped fly ball.","1917NY1.EVN.regular.comment.csv",53
"NY1191709071",66,"Into the seats.","1917NY1.EVN.regular.comment.csv",54
