"NLS199207140",0,"$Managers: Tom Kelly (AL Minnesota), Bobby Cox (Atlanta NL); MVP: Ken Griffey Jr. (Seattle AL); first father-son pair each named All-Star MVP (Griffey Sr. in 1980)","FILENAME_TX","LINE_NUMBER_CT"
"NLS199207140",8,"$seven consecutive singles by AL","1992AS.EVE.asg.comment.csv",2
"NLS199207140",42,"$Cal Ripken called for interference for running into his own batted ball","1992AS.EVE.asg.comment.csv",3
"NLS199207140",53,"$Travis Fryman rounded 2B too far","1992AS.EVE.asg.comment.csv",4
