"PIT192204220",37,"ej,clemv101,P,sentp901,Balls and strikes Vern Clemons ejected by HP umpire Paul Sentelle, who also ordered mulitple players off the bench","FILENAME_TX","LINE_NUMBER_CT"
"PIT192204220",70,"$Jack Fournier pulled the hidden ball trick on Max Carey","1922PIT.EVN.regular.comment.csv",2
"PIT192204270",55,"$Hp Umpire Cy Pfirman cleared the Red bench","1922PIT.EVN.regular.comment.csv",3
"PIT192204290",45,"$Bounce HR","1922PIT.EVN.regular.comment.csv",4
"PIT192205130",70,"Hank Gowdy struck on the hand by a foul ball","1922PIT.EVN.regular.comment.csv",5
"PIT192205160",75,"$Rabbit Maranville spiked on the play and carried from the field","1922PIT.EVN.regular.comment.csv",6
"PIT192205240",88,"$Game called to allow Pirates to catch train to St. Louis","1922PIT.EVN.regular.comment.csv",7
"PIT192205301",51,"Jimmy Zinn left with injured hand","1922PIT.EVN.regular.comment.csv",8
"PIT192205302",12,"$Walter Mueller rounded 3B too far","1922PIT.EVN.regular.comment.csv",9
"PIT192205302",41,"ej,gibsg101,M,odayh101,Bench jockeying Pirates Manager George Gibson ejected by HP Umpire Hank O'Day","1922PIT.EVN.regular.comment.csv",10
"PIT192205302",68,"$George Harper rounded 3B too far","1922PIT.EVN.regular.comment.csv",11
"PIT192206220",50,"$Zeb Terry left after being spiked last inning","1922PIT.EVN.regular.comment.csv",12
"PIT192206230",36,"umpchange,4,umphome,klemb901 umpchange,4,ump1b,wilsf901 $HP umpire Wilson injured by catcher's mask in bottom of 4th inning and traded places with base umpire Klem","1922PIT.EVN.regular.comment.csv",13
"PIT192206240",55,"$Dolph Luque left with a sore arm","1922PIT.EVN.regular.comment.csv",14
"PIT192207101",36,"$Bounce HR","1922PIT.EVN.regular.comment.csv",15
"PIT192207120",45,"$Al Nixon called for interference for running into his own batted ball","1922PIT.EVN.regular.comment.csv",16
"PIT192207220",75,"ej,smitj107,P,klemb901,Bench jockeying Jimmy Smith ejected by HP umpire Bill Klem","1922PIT.EVN.regular.comment.csv",17
"PIT192208140",21,"ej,fleta101,P,odayh101,Call at 2B $the Phillies tried to pick off Max Carey at 2B; Art Fletcher ejected by 1B umpire Hank O'Day","1922PIT.EVN.regular.comment.csv",18
"PIT192208150",61,"$Pie Traynor called for interference for bumping into Frank Frisch","1922PIT.EVN.regular.comment.csv",19
"PIT192208160",4,"$Johnny Gooch injured trying to stop the wild pitch","1922PIT.EVN.regular.comment.csv",20
"PIT192208160",49,"$Charlie Grimm thought Irish Meusel caught the ball","1922PIT.EVN.regular.comment.csv",21
"PIT192208170",49,"$Earl Smith called for interference for colliding with Cotton Tierney","1922PIT.EVN.regular.comment.csv",22
"PIT192208170",67,"ej,carlh101,P,odayh101,Balls and strikes Hal Carlson ejected by HP umpire Hank O'Day","1922PIT.EVN.regular.comment.csv",23
"PIT192208191",48,"ej,gowdh101,P,sentp101,Balls and strikes Hank Gowdy ejected by HP umpire Paul Sentelle","1922PIT.EVN.regular.comment.csv",24
"PIT192208210",74,"$Johnny Gooch left with injured hand","1922PIT.EVN.regular.comment.csv",25
"PIT192208291",4,"$Bounce HR","1922PIT.EVN.regular.comment.csv",26
"PIT192208291",36,"$Bounce HR","1922PIT.EVN.regular.comment.csv",27
"PIT192209042",15,"$Walter Schmidt thought the ball was foul","1922PIT.EVN.regular.comment.csv",28
"PIT192209080",79,"ej,ofarb101,P,hartb901,Balls and strikes Bob O'Farrell ejected by HP umpire Bob Hart","1922PIT.EVN.regular.comment.csv",29
"PIT192209091",34,"$into the crowd","1922PIT.EVN.regular.comment.csv",30
"PIT192209091",51,"$ground rule triple","1922PIT.EVN.regular.comment.csv",31
"PIT192209091",66,"$ground rule triple","1922PIT.EVN.regular.comment.csv",32
"PIT192209091",68,"$ground rule triple","1922PIT.EVN.regular.comment.csv",33
"PIT192209092",22,"$Ray Grimes was spiked on the play and left","1922PIT.EVN.regular.comment.csv",34
