"PHI193605180",43,"$SS fumbled ball and runner on 2nd overran 3rd","FILENAME_TX","LINE_NUMBER_CT"
"PHI193606202",70,"$Lavagetto out on interference.","1936PHI.EVN.regular.comment.csv",2
"PHI193606210",0,"ej,weavj101,P,rearb901,Bench jockeying $Pirates pitcher Weaver, not in game, ejected by HP umpire Goetz for bench jockying sometime in game","1936PHI.EVN.regular.comment.csv",3
"PHI193606220",74,"ej,walkb101,P,searz901,Balls and strikes Bill Walker ejected by HP umpire Ziggy Sears","1936PHI.EVN.regular.comment.csv",4
"PHI193606230",66,"$While Camilli was batting, Phillies' manager Wilson ran onto the field protesting that Dean was not hesitating long enough before delivering the pitch","1936PHI.EVN.regular.comment.csv",5
"PHI193606251",4,"$During the at bat, umpire Bellanfant called hit down the LF line as foul, then quickly called it fair, then foul again after conferring with umpire Klem","1936PHI.EVN.regular.comment.csv",6
"PHI193606251",23,"SS dropped pop fly but got runner out at home","1936PHI.EVN.regular.comment.csv",7
"PHI193606252",4,"$Frisch stole second base but was order back to first because Medwick interferred with the catcher when he walked out of batter's box when he struck out","1936PHI.EVN.regular.comment.csv",8
"PHI193607050",67,"$Johnson twisted ankle","1936PHI.EVN.regular.comment.csv",9
"PHI193607210",15,"$Atwood was trapped between 2nd and 3rd but returned to second on 2bman's error","1936PHI.EVN.regular.comment.csv",10
"PHI193608100",37,"$Jorgens was thrown out when he overran second.","1936PHI.EVN.regular.comment.csv",11
"PHI193608100",72,"$Passeau threw wildly to first.  Chiozza retrieved the ball and tagged Weir out when he took too big a turn at first.","1936PHI.EVN.regular.comment.csv",12
"PHI193608110",77,"ej,jordb101,P,mageg901,Called third strike ej,thomt105,P,mageg901,Called third strike Buck Jordan and Tommy Thompson ejected by HP umpire George Magerkurth","1936PHI.EVN.regular.comment.csv",13
"PHI193608120",29,"$Jordan threw to Lopez trapping Klein between third and home. Klein got back to third safely when Lopez' throw hit him in the back.","1936PHI.EVN.regular.comment.csv",14
"PHI193608120",37,"$Sulik hit a short fly to center that fell in front of Berger but Sivess had held up thinking the ball would be caught and was forced at second.","1936PHI.EVN.regular.comment.csv",15
"PHI193609071",69,"$Leslie fielded Moore's grounder and fired ball home but Whitney had held 3B; Goetz ruled Leslie stepped on 1B as he threw so Moore out; Phillies argued long and loud and ump Stewart reversed the call.","1936PHI.EVN.regular.comment.csv",16
"PHI193609100",5,"$Jurges hurt his hand and game was briefly delayed.","1936PHI.EVN.regular.comment.csv",17
"PHI193609100",75,"$Sperry tried to steal on first pitch which was fouled off. Sperry apparently broke his leg at 2B and had to be carried off.","1936PHI.EVN.regular.comment.csv",18
"PHI193609100",76,"Atwood picked off after second pitch to Norris $Herman came around 1Bman Cavarretta to take pick-off throw.","1936PHI.EVN.regular.comment.csv",19
"PHI193609161",18,"ej,frisf101,M,klemb901,Called third strike $Cardinals manager Frisch ejected by HP umpire Klem for arguing called third strike","1936PHI.EVN.regular.comment.csv",20
"PHI193609161",31,"ej,durol101,P,stewb901,Interference non-call $Durocher ejected by 1BP umpire Stewart for arguing Camilli had interfered with Mize rounding base so that he could try dfor 2nd","1936PHI.EVN.regular.comment.csv",21
"PHI193609162",21,"ej,medwj101,P,stewb901,Balls and strikes (Threw bat) $Medwick ejected from the game by umpire Stewart for aguing the 3rd strike; Medwick tossed his bat toward the umpire while the umpire's back was turned; Medwick thumbed his nose at the umpire as he left the game","1936PHI.EVN.regular.comment.csv",22
"PHI193609230",26,"ej,chiol101,P,pfirc901,Arguing call at 1b $Chiozza ejected by 1b umpire Pfirman for arguing call at 1st when he was tagged out after rounding base too far","1936PHI.EVN.regular.comment.csv",23
