"TEX201504100",8,"Rangers pitcher Derek Holland left the game due to an injured shoulder","FILENAME_TX","LINE_NUMBER_CT"
"TEX201504100",14,"Rangers left fielder Shin-Soo Choo left the game due to an injured back","2015TEX.EVA.regular.comment.csv",2
"TEX201504100",41,"Rangers left fielder Ryan Rua left the game due to an injured ankle","2015TEX.EVA.regular.comment.csv",3
"TEX201504100",69,"replay,9,marij002,HOU,nelsj901,ARL02,,N,M,TEX,C $when Jake Marisnick was called safe at 1B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay","2015TEX.EVA.regular.comment.csv",4
"TEX201504120",86,"$George Springer caught the ball over the top of the fence to bring back a potential game-ending grand slam","2015TEX.EVA.regular.comment.csv",5
"TEX201504120",117,"replay,14,morem001,TEX,nelsj901,ARL02,,Y,M,TEX,I $when the umpires ruled that Mitch Moreland was not hit by a pitch, Rangers manager Jeff Banister challenged the ruling; the call was overturned by replay","2015TEX.EVA.regular.comment.csv",6
"TEX201504130",29,"replay,4,joycm001,ANA,scotd901,ARL02,,N,M,ANA,A $when Matt Joyce was called out at 3B, Angels manager Mike Scioscia challenged the ruling; the call was upheld by replay","2015TEX.EVA.regular.comment.csv",7
"TEX201504140",75,"replay,8,cronc002,ANA,iassd901,ARL02,,Y,M,ANA,C $when C.J. Cron was called out at 1B, Angels manager Mike Scioscia challenged the ruling; the call was overturned by replay","2015TEX.EVA.regular.comment.csv",8
"TEX201504150",37,"replay,4,freed001,ANA,iassd901,ARL02,,N,M,ANA,I $when a pitch to David Freese was ruled a foul ball and not hit by pitch, Angels manager Mike Scioscia challenged the ruling; the call was upheld by replay","2015TEX.EVA.regular.comment.csv",9
"TEX201504270",30,"$the ball struck Adrian Beltre","2015TEX.EVA.regular.comment.csv",10
"TEX201504290",48,"replay,5,odorr001,TEX,kellj901,ARL02,,N,M,TEX,C $when Rougned Odor was called out at 1B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay","2015TEX.EVA.regular.comment.csv",11
"TEX201505010",68,"replay,8,sogae001,OAK,mealj901,ARL02,,N,U,,Q $when Mark Canha was called out at 2B, the Athletics argued that Elvis Andrus lifted Canha's foot off the bag; crew chief Jerry Meals requested a rules check; a runner being pushed off the bag was not reviewable","2015TEX.EVA.regular.comment.csv",12
"TEX201505020",82,"replay,9,belta001,TEX,mealj901,OAK01,,N,M,OAK,B $when Delino DeShields was called safe at 2B, Athletics manager Bob Melvin challenged the ruling after appealing the call at 2B; the call was upheld by replay saying DeShields retouched 2B on his way back to 1B","2015TEX.EVA.regular.comment.csv",13
"TEX201505030",31,"ej,gentc001,P,fleta901,Balls and strikes Athletics left fielder Craig Gentry ejected by HP umpire Andy Fletcher","2015TEX.EVA.regular.comment.csv",14
"TEX201505030",54,"replay,6,peguc001,TEX,mealj901,ARL02,,N,M,OAK,D $when Sam Fuld was ruled to have dropped the ball, Athletics manager Bob Melvin challenged the ruling; the call was upheld by replay","2015TEX.EVA.regular.comment.csv",15
"TEX201505120",20,"$Lorenzo Cain called for interference for running in fair territory and was struck by the throw","2015TEX.EVA.regular.comment.csv",16
"TEX201505120",75,"replay,8,choos001,TEX,barrt901,ARL02,,N,M,TEX,A $when Delino DeShields was called out at 2B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay","2015TEX.EVA.regular.comment.csv",17
"TEX201505120",86,"replay,9,corpc001,TEX,barrt901,ARL02,,Y,M,KCA,A $when Adrian Beltre was called safe at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay","2015TEX.EVA.regular.comment.csv",18
"TEX201505150",47,"Indians Ryan Raburn left the game due to an injured knee","2015TEX.EVA.regular.comment.csv",19
"TEX201505160",3,"replay,1,branm003,CLE,westj901,ARL02,,N,M,CLE,O $when Michael Brantley's fly to LF was called foul, Indians manager Terry Francona challenged the ruling; the call was overturned by replay to a fair ball and a double; Brantley ran the bases after the ruling, touching 1B on the way to 2B","2015TEX.EVA.regular.comment.csv",20
"TEX201505170",15,"replay,2,morem001,TEX,westj901,ARL02,O,N,U,,H $Mitch Moreland's fly to RF struck at the top of the padded wall and caromed back onto the field; it was ruled in play but crew chief Joe West requested a review; the call was upheld by replay","2015TEX.EVA.regular.comment.csv",21
"TEX201505170",22,"$Nick Martinez threw to an uncovered base","2015TEX.EVA.regular.comment.csv",22
"TEX201505170",69,"replay,8,belta001,TEX,westj901,ARL02,,N,M,TEX,D $when David Murphy caught the fly against the LF wall, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay; the ball did not hit the wall","2015TEX.EVA.regular.comment.csv",23
"TEX201505280",26,"Red Sox shortstop Xander Bogaerts left the game due to an injured arm","2015TEX.EVA.regular.comment.csv",24
"TEX201505280",69,"replay,9,bettm001,BOS,welkt901,ARL02,,N,M,TEX,A $when Mookie Betts was called safe at 3B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay","2015TEX.EVA.regular.comment.csv",25
