"CHA196904202",63,"Debut game for Freddie Velazquez","FILENAME_TX","LINE_NUMBER_CT"
"CHA196904230",0,"$Game played in Milwaukee","1969CHA.EVA.regular.comment.csv",2
"CHA196904260",31,"Bill Melton left injured","1969CHA.EVA.regular.comment.csv",3
"CHA196904270",74,"game called after 1:06 rain delay","1969CHA.EVA.regular.comment.csv",4
"CHA196905181",24,"52 minute rain delay","1969CHA.EVA.regular.comment.csv",5
"CHA196905220",0,"$Game played in Milwaukee","1969CHA.EVA.regular.comment.csv",6
"CHA196905230",0,"$Joe Horlen: 113 pitches; Ray Culp: 130 pitches","1969CHA.EVA.regular.comment.csv",7
"CHA196905240",0,"$Lee Stange: 53 pitches","1969CHA.EVA.regular.comment.csv",8
"CHA196905250",0,"$Tommy John: 93 pitches","1969CHA.EVA.regular.comment.csv",9
"CHA196905270",17,"$Duane Josephson struck by foul ball on first two fingers","1969CHA.EVA.regular.comment.csv",10
"CHA196905280",0,"$Game played in Milwaukee","1969CHA.EVA.regular.comment.csv",11
"CHA196906110",0,"$Game played in Milwaukee","1969CHA.EVA.regular.comment.csv",12
"CHA196906160",0,"$Game played in Milwaukee","1969CHA.EVA.regular.comment.csv",13
"CHA196906182",1,"Debut game for Gary Timberlake","1969CHA.EVA.regular.comment.csv",14
"CHA196906190",38,"missing play in CHA196906190","1969CHA.EVA.regular.comment.csv",15
"CHA196907020",0,"$Game played in Milwaukee","1969CHA.EVA.regular.comment.csv",16
"CHA196907020",71,"$game called for rain","1969CHA.EVA.regular.comment.csv",17
"CHA196907070",0,"$Game played in Milwaukee","1969CHA.EVA.regular.comment.csv",18
"CHA196907090",13,"Debut game for Bill McNulty","1969CHA.EVA.regular.comment.csv",19
"CHA196907100",61,"Debut game for Chuck Brinkman","1969CHA.EVA.regular.comment.csv",20
"CHA196908060",0,"$Game played in Milwaukee","1969CHA.EVA.regular.comment.csv",21
"CHA196908130",0,"$Game played in Milwaukee","1969CHA.EVA.regular.comment.csv",22
"CHA196908170",58,"$Ron Hansen's right eyelid cut by glasses on slide by Gene Michael","1969CHA.EVA.regular.comment.csv",23
"CHA196908290",50,"ej,knoob101,P,lucir901,Called third strike Bobby Knoop ejected by HP umpire Ron Luciano","1969CHA.EVA.regular.comment.csv",24
"CHA196909010",0,"$Game played in Milwaukee","1969CHA.EVA.regular.comment.csv",25
"CHA196909172",16,"$missing play in CHA196909172","1969CHA.EVA.regular.comment.csv",26
"CHA196909250",74,"370 feet","1969CHA.EVA.regular.comment.csv",27
"CHA196909260",0,"$Game played in Milwaukee","1969CHA.EVA.regular.comment.csv",28
"CHA196909260",49,"370 ft","1969CHA.EVA.regular.comment.csv",29
"CHA196909260",63,"340 ft","1969CHA.EVA.regular.comment.csv",30
"CHA196909260",76,"400 ft","1969CHA.EVA.regular.comment.csv",31
"CHA196909280",5,"$Angel Bravo struck fence and fell down","1969CHA.EVA.regular.comment.csv",32
"CHA196909280",32,"$Scott Northey overslid bag","1969CHA.EVA.regular.comment.csv",33
"CHA196909280",40,"360 ft","1969CHA.EVA.regular.comment.csv",34
"CHA196909280",55,"365 ft","1969CHA.EVA.regular.comment.csv",35
