"LAN201004140",75,"$Rusty Ryal called for interference"FILENAME_TX","LINE_NUMBER_CT"

"LAN201004160",27,"Dodgers left fielder Manny Ramirez left the game due to a tight calf muscle"2010LAN.EVN.regular.comment.csv",2

"LAN201004160",40,"$Giants center fielder Aaron Rowand was stuck on the ear flap of his helmet by an 88 MPH fast ball; he suffered a couple of small fractures near his left cheek and a concussion"2010LAN.EVN.regular.comment.csv",3

"LAN201004170",3,"$Ball 4 went past catcher, but runner from 2nd out trying to score"2010LAN.EVN.regular.comment.csv",4

"LAN201004170",37,"Giants left fielder Mark DeRosa left the game due to an injured leg"2010LAN.EVN.regular.comment.csv",5

"LAN201005090",39,"Rockies shortstop Troy Tulowitzki left the game due to an injured leg"2010LAN.EVN.regular.comment.csv",6

"LAN201006010",54,"$Martin slid hard into shortstop Drew who objected. Benches cleared and players milled around, but no fights or ejections"2010LAN.EVN.regular.comment.csv",7

"LAN201006030",49,"$Jeff Weaver hurt while warming up (blister) and did not throw any pitches in the game"2010LAN.EVN.regular.comment.csv",8

"LAN201006250",40,"$both teams were warned by HP umpire Phil Cuzzi"2010LAN.EVN.regular.comment.csv",9

"LAN201006250",72,"ej,lonej001,P,cuzzp901,Called third strike; game was over $James Loney threw his bat towards the dugout after the third strike and then slammed his helmet down; HP umpire Phil Cuzzi talked to Loney as they both walked towards the 3B dugout; Loney said something to Cuzzi and then was ejected by Cuzzi even though the game was over"2010LAN.EVN.regular.comment.csv",10

"LAN201006270",81,"$Garret Anderson thought strike two was not a strike and started to 1B with what he thought was a walk"2010LAN.EVN.regular.comment.csv",11

"LAN201006270",82,"ej,andeg001,P,guccc901,Balls and strikes $as Garret Anderson ran across the infield to the dugout, he was talking to HP umpire Chris Guccione, who ejected Anderson"2010LAN.EVN.regular.comment.csv",12

"LAN201006270",90,"ej,martr004,P,guccc901,Called third strike; slammed bat down $Russell Martin thought he had walked and slammed his bat on the ground, shattering it; he was ejected by HP umpire Chris Guccione"2010LAN.EVN.regular.comment.csv",13

"LAN201007080",54,"$a line drive just inside the pole"2010LAN.EVN.regular.comment.csv",14

"LAN201007080",62,"ej,byrdm001,P,wendh902,Balls and strikes $the third pitch was a check swing called by 1B umpire Hunter Wendelstedt; Marlon Byrd walked back towards the 1B dugout muttering and making hand gestures; Wendelstedt said something to Byrd who turned and took a step towards the umpire; he was ejected by Wendelstedt"2010LAN.EVN.regular.comment.csv",15

"LAN201007100",42,"$Gorzelanny took the throw from Lee and appeared to step on bag before Paul but Paul was called safe by 1B umpire Layne; Cubs manager Piniella went out and argued the call with Layne"2010LAN.EVN.regular.comment.csv",16

"LAN201007100",47,"ej,pinil001,M,laynj901,Call at 1B $Cubs manager Piniella ejected by 1B umpire Layne between innings to continue call on Paul"2010LAN.EVN.regular.comment.csv",17

"LAN201007110",19,"ej,silvc001,P,rungb901,Call at 1B $on the grounder down the line, pitcher Carlos Silva was late getting to 1B, so Xavier Nady had to run to the bag; it appeared that he beat batter James Loney but Loney was called safe by 1B umpire Brian Runge; Silva threw up his hands and argued with Runge, who ejected Silva"2010LAN.EVN.regular.comment.csv",18

"LAN201007190",74,"$Ron Belliard swung at a ball that bounced in the batter's box and then hit him on the lower leg; the ball caromed into the stands on the first base side and both runners advanced; however, the play was ruled strike three and a dead ball according to the rules and Matt Kemp was put back at first base"2010LAN.EVN.regular.comment.csv",19

"LAN201007200",42,"$First pitch to Kemp was up and in; HP umpire Johnson walked Kemp part way down the line and warned both teams"2010LAN.EVN.regular.comment.csv",20

"LAN201007200",51,"ej,schab801,C,johna901,Throwing at batter $Dodgers bench coach Schaefer ejected by HP umpire Johnson for yelling from dugout that pitcher should be ejected in light of earlier warning"2010LAN.EVN.regular.comment.csv",21

"LAN201007200",55,"ej,kersc001,P,johna901,Automatic ejection for HBP after warning ej,torrj101,M,johna901,Automatic ejection for HBP after warning $Pitcher Kershaw and manager Torre ejected automatically by HP umpire Johnson for HBP after earlier warning"2010LAN.EVN.regular.comment.csv",22

"LAN201007200",72,"$Dodgers acting manager Don Mattingly went to the mound to discuss how to pitch and play Andres Torres; as Mattingly left the mound, first baseman James Loney asked a question so Mattingly turned to go back and give an answer; since Mattingly had left the dirt cirle, he was considered to have made a second trip to the mound; Giants manager Bruce Bochy talked to the umpires, who huddled and then removed pitcher Jonathan Broxton from the game (rule 8.06); crew chief Tim McClelland told Sherrill he could have all the warm up pitches he needed but HP umpire Adrian Johnson stopped him at 8 the umpires applied an incorrect penalty in this case because the rule specifies that the manager is ejected and the pitcher must pitch to the current batter; the pitcher is then removed from the game; in this case, the pitcher was removed during the plate appearance and the manager remained in the game"2010LAN.EVN.regular.comment.csv",23

"LAN201007230",16,"ej,manuj101,M,eddid901,Call at 1B Mets Manager Jerry Manuel ejected by 1B umpire Doug Eddings"2010LAN.EVN.regular.comment.csv",24

"LAN201007240",52,"Mets catcher Rod Barajas left the game due to an injured side"2010LAN.EVN.regular.comment.csv",25

"LAN201007240",59,"Debut game for Kenley Jansen"2010LAN.EVN.regular.comment.csv",26

"LAN201008020",8,"$Kemp did not run hard from second and tag was made at third before he reached the plate"2010LAN.EVN.regular.comment.csv",27

"LAN201008020",22,"$third baseman Blake on right side of second base"2010LAN.EVN.regular.comment.csv",28

"LAN201008060",73,"$Zimmermann tagged out at plate, no WP"2010LAN.EVN.regular.comment.csv",29

"LAN201008180",55,"Rockies center fielder Carlos Gonzalez left the game due to an injured knee"2010LAN.EVN.regular.comment.csv",30

"LAN201008190",53,"ej,olivm001,P,diazl901,Called third strike $Rockies catcher Miguel Olivo slammed his bat to the ground and was ejected by HP umpire Laz Diaz"2010LAN.EVN.regular.comment.csv",31

"LAN201008190",58,"Debut game for Matt Reynolds"2010LAN.EVN.regular.comment.csv",32

"LAN201009220",21,"$Miguel Tejada's 300th career homer"2010LAN.EVN.regular.comment.csv",33

"LAN201010020",35,"$Ryan Theriot called for interference for running into his own bunt"2010LAN.EVN.regular.comment.csv",34

