"SEA201803290",63,"$Indians challenged call that Chisenhall was not hit by pitch; call was overturned - hit by pitch","FILENAME_TX","LINE_NUMBER_CT"
"SEA201803310",64,"$Nelson Cruz left with injured ankle","2018SEA.EVA.regular.comment.csv",2
"SEA201804130",72,"$Mariners challenged call that Heredia was out at 2nd; call was upheld - out on caught stealing","2018SEA.EVA.regular.comment.csv",3
"SEA201804140",23,"$Mariners challenged call that Lucroy scored on Semien's double and that Semien was then out at home trying to score on overthrow; call was overturned - ground rule double, Lucroy sent back to third","2018SEA.EVA.regular.comment.csv",4
"SEA201804140",38,"$Mariners challenged call that Joyce was safe at 1st; call was overturned - out at first to complete DP","2018SEA.EVA.regular.comment.csv",5
"SEA201804150",63,"$Mariners challenged call that Gordon was out at 1st; call was upheld - out on sacrifice","2018SEA.EVA.regular.comment.csv",6
"SEA201804160",34,"$Astros challenged call that Bregman was out at first; call was upheld - ground out","2018SEA.EVA.regular.comment.csv",7
"SEA201804170",59,"$Mariners challenged call that Gattis was safe at 1st on pickoff attempt; call was upheld - safe on pickoff attempt","2018SEA.EVA.regular.comment.csv",8
"SEA201804190",25,"$Gattis grounded into double play, with the outs at 3rd and 2nd; he then walked off first base and was tagged out to complete triple play","2018SEA.EVA.regular.comment.csv",9
"SEA201804190",29,"$originally scored as 2-base error on 3bman; changed on 04-25-2018 to double, making all runs in inning earned","2018SEA.EVA.regular.comment.csv",10
"SEA201805020",61,"$Mariners challenged call that Segura was out at 2nd; call was overturned - double","2018SEA.EVA.regular.comment.csv",11
"SEA201805020",73,"$Mariners challenged call that Gordon was out at first; call was overturned - single","2018SEA.EVA.regular.comment.csv",12
"SEA201805050",74,"$Angels challenged call that Heredia was safe at home on wild pitch; call was upheld - safe on wild pitch","2018SEA.EVA.regular.comment.csv",13
"SEA201805050",79,"$fan interference","2018SEA.EVA.regular.comment.csv",14
"SEA201805050",98,"$Mariners challenged call that Segura was out at second; call was upheld - out on caught stealing","2018SEA.EVA.regular.comment.csv",15
"SEA201805050",108,"Originally scored as single, changed to double on 05-07-2018","2018SEA.EVA.regular.comment.csv",16
"SEA201805060",43,"$Angels challenged call that Gamel was safe at 3rd; call was overturned - out at third","2018SEA.EVA.regular.comment.csv",17
"SEA201805150",42,"$Nelson Cruz left with an injured foot","2018SEA.EVA.regular.comment.csv",18
"SEA201805150",89,"ej,servs001,M,nelsj901,Arguing Interference non-call $Seattle manager Scott Servais ejected by first base umpire Nelson for arguing that Gallo interfer-ed with pitcher, preventing throw home","2018SEA.EVA.regular.comment.csv",19
"SEA201805160",68,"$Mariners challenged call that Choo was safe at first; call was upheld - single","2018SEA.EVA.regular.comment.csv",20
"SEA201805170",3,"$Mariners challenged call that Kozma's ball was not caught; call was upheld - double","2018SEA.EVA.regular.comment.csv",21
"SEA201805260",60,"$Nick Vincent left with an injured groin with count of 3-0; walk charged to Vincent","2018SEA.EVA.regular.comment.csv",22
"SEA201805270",58,"$Mariners challenged call that Gamel was out at 2nd; call was upheld - out on caught stealing","2018SEA.EVA.regular.comment.csv",23
"SEA201805290",54,"$Mariners challenged call that DeShields was hit by first pitch, claiming foul; call was overturned - foul ball","2018SEA.EVA.regular.comment.csv",24
"SEA201806010",56,"$Matiners challenged call that Field was hit by pitch; call was upheld - hit by pitch","2018SEA.EVA.regular.comment.csv",25
"SEA201806020",47,"$Umpire review; call was upheld - double, not home run","2018SEA.EVA.regular.comment.csv",26
"SEA201806020",53,"$Mariners challenged call that Gordon was out at first to complete double play; call was overturned - force out, no DP","2018SEA.EVA.regular.comment.csv",27
"SEA201806020",71,"$Rays challenged call that Smith was out at first; call was upheld - ground out","2018SEA.EVA.regular.comment.csv",28
"SEA201806030",27,"$Rays challenged call that Gordon was safe on pickoff attempt after third pitch; call was upheld - safe on pickoff attempt","2018SEA.EVA.regular.comment.csv",29
"SEA201806030",51,"C. J. Cron left with an injured arm","2018SEA.EVA.regular.comment.csv",30
"SEA201806120",17,"$Mariners challenged call that Heredia was out at first; call was overturned - single","2018SEA.EVA.regular.comment.csv",31
"SEA201806130",23,"$Garrett Richards left with an injured leg","2018SEA.EVA.regular.comment.csv",32
"SEA201806130",28,"$Zack Cozart left with an injured shoulder","2018SEA.EVA.regular.comment.csv",33
"SEA201806130",67,"$Angels challenged call that Segura was out at home; call was upheld - out; throw to plate was wide, but 3bman covered plate in time to take throw from catcher and tag runner; ruling apparently was that the initial wide throw was an intervening misplay, so it was not a double play","2018SEA.EVA.regular.comment.csv",34
"SEA201806140",10,"$Originally scored a single, changed to E9 on 06-20-2018, also making run this inning unearned","2018SEA.EVA.regular.comment.csv",35
"SEA201806150",23,"$Originally scored as E5, changed to single on 06-24-2018, making all runs in innings now earned","2018SEA.EVA.regular.comment.csv",36
"SEA201806160",31,"$Red Sox challenged call that Bogaerts was out at first; call was upheld - ground out","2018SEA.EVA.regular.comment.csv",37
"SEA201807030",10,"Injury Delay","2018SEA.EVA.regular.comment.csv",38
"SEA201807030",10,"$Chris Young left with an injured hamstring, hurt when was fielding ball hit by Seager","2018SEA.EVA.regular.comment.csv",39
"SEA201807030",11,"$originally scored as strikeout plus wild pitch, changed to passed ball on 07-09-2018; run now unearned","2018SEA.EVA.regular.comment.csv",40
"SEA201807030",47,"Mound Visit","2018SEA.EVA.regular.comment.csv",41
"SEA201807030",66,"$Mariners challenged call that Span was out at first; call was upheld - ground out","2018SEA.EVA.regular.comment.csv",42
"SEA201807030",66,"Mound Visit","2018SEA.EVA.regular.comment.csv",43
"SEA201807040",31,"Mound Visit","2018SEA.EVA.regular.comment.csv",44
"SEA201807040",37,"Mound Visit","2018SEA.EVA.regular.comment.csv",45
"SEA201807040",38,"Mound Visit","2018SEA.EVA.regular.comment.csv",46
"SEA201807040",52,"Mound Visit","2018SEA.EVA.regular.comment.csv",47
"SEA201807040",53,"Mound Visit","2018SEA.EVA.regular.comment.csv",48
"SEA201807040",62,"Mound Visit","2018SEA.EVA.regular.comment.csv",49
"SEA201807040",63,"Mound Visit","2018SEA.EVA.regular.comment.csv",50
"SEA201807040",70,"Mound Visit","2018SEA.EVA.regular.comment.csv",51
"SEA201807040",83,"Mound Visit","2018SEA.EVA.regular.comment.csv",52
"SEA201807050",4,"Mound Visit","2018SEA.EVA.regular.comment.csv",53
"SEA201807050",45,"Mound Visit","2018SEA.EVA.regular.comment.csv",54
"SEA201807050",46,"Mound Visit","2018SEA.EVA.regular.comment.csv",55
"SEA201807050",47,"Mound Visit","2018SEA.EVA.regular.comment.csv",56
"SEA201807050",48,"Mound Visit","2018SEA.EVA.regular.comment.csv",57
"SEA201807050",50,"Mound Visit","2018SEA.EVA.regular.comment.csv",58
"SEA201807050",57,"Mound Visit","2018SEA.EVA.regular.comment.csv",59
"SEA201807050",60,"Mound Visit","2018SEA.EVA.regular.comment.csv",60
"SEA201807060",8,"$Rockies challenged call that Gordon was safe at second; call was overturned - out on caught stealing","2018SEA.EVA.regular.comment.csv",61
"SEA201807060",22,"Mound Visit","2018SEA.EVA.regular.comment.csv",62
"SEA201807060",32,"Mound Visit","2018SEA.EVA.regular.comment.csv",63
"SEA201807060",37,"Mound Visit","2018SEA.EVA.regular.comment.csv",64
"SEA201807060",45,"Injury Delay","2018SEA.EVA.regular.comment.csv",65
"SEA201807060",48,"Mound Visit","2018SEA.EVA.regular.comment.csv",66
"SEA201807060",71,"Mound Visit","2018SEA.EVA.regular.comment.csv",67
"SEA201807060",80,"Mound Visit","2018SEA.EVA.regular.comment.csv",68
"SEA201807070",22,"Mound Visit","2018SEA.EVA.regular.comment.csv",69
"SEA201807070",41,"Mound Visit","2018SEA.EVA.regular.comment.csv",70
"SEA201807070",53,"Mound Visit","2018SEA.EVA.regular.comment.csv",71
"SEA201807070",68,"Mound Visit","2018SEA.EVA.regular.comment.csv",72
"SEA201807070",70,"Mound Visit","2018SEA.EVA.regular.comment.csv",73
"SEA201807080",8,"Mound Visit","2018SEA.EVA.regular.comment.csv",74
"SEA201807080",62,"Mound Visit","2018SEA.EVA.regular.comment.csv",75
"SEA201807200",19,"$White Sox challegned call that Sanchez was out at second; call was upheld - force out","2018SEA.EVA.regular.comment.csv",76
"SEA201807200",24,"Mound Visit","2018SEA.EVA.regular.comment.csv",77
"SEA201807200",56,"Mound Visit","2018SEA.EVA.regular.comment.csv",78
"SEA201807200",60,"Mound Visit","2018SEA.EVA.regular.comment.csv",79
"SEA201807200",64,"Mound Visit","2018SEA.EVA.regular.comment.csv",80
"SEA201807210",24,"Mound Visit","2018SEA.EVA.regular.comment.csv",81
"SEA201807210",25,"Mound Visit","2018SEA.EVA.regular.comment.csv",82
"SEA201807210",63,"Mound Visit","2018SEA.EVA.regular.comment.csv",83
"SEA201807210",67,"Mound Visit","2018SEA.EVA.regular.comment.csv",84
"SEA201807220",7,"Mound Visit","2018SEA.EVA.regular.comment.csv",85
"SEA201807220",9,"Mound Visit","2018SEA.EVA.regular.comment.csv",86
"SEA201807220",50,"Mound Visit","2018SEA.EVA.regular.comment.csv",87
"SEA201807220",51,"Mound Visit","2018SEA.EVA.regular.comment.csv",88
"SEA201807220",61,"Mound Visit","2018SEA.EVA.regular.comment.csv",89
"SEA201807240",28,"Mound Visit","2018SEA.EVA.regular.comment.csv",90
"SEA201807240",29,"Mound Visit","2018SEA.EVA.regular.comment.csv",91
"SEA201807240",30,"Mound Visit","2018SEA.EVA.regular.comment.csv",92
"SEA201807240",34,"Mound Visit","2018SEA.EVA.regular.comment.csv",93
"SEA201807240",47,"Mound Visit","2018SEA.EVA.regular.comment.csv",94
"SEA201807240",53,"Mound Visit","2018SEA.EVA.regular.comment.csv",95
"SEA201807240",71,"Mound Visit","2018SEA.EVA.regular.comment.csv",96
"SEA201807250",39,"Mound Visit","2018SEA.EVA.regular.comment.csv",97
"SEA201807250",47,"Injury Delay","2018SEA.EVA.regular.comment.csv",98
"SEA201807250",49,"Mound Visit","2018SEA.EVA.regular.comment.csv",99
"SEA201807250",61,"Mound Visit $Giants challenged call that Gordon was safe at first for single; call was overturned - out on sacrifice hit","2018SEA.EVA.regular.comment.csv",100
"SEA201807300",4,"$Umpire review of ball hit by Gattis on second pitch; call was upheld - foul ball, not home run","2018SEA.EVA.regular.comment.csv",101
"SEA201807300",52,"Mound Visit","2018SEA.EVA.regular.comment.csv",102
"SEA201807300",57,"Mound Visit","2018SEA.EVA.regular.comment.csv",103
