"SLA191704110",66,"Balance of game derived from Retrosheet box score.","FILENAME_TX","LINE_NUMBER_CT"
"SLA191704130",39,"Into the stands.","1917SLA.EVA.regular.comment.csv",2
"SLA191704130",68,"Balance of game from St. Post-Dispatch and Retro box score.","1917SLA.EVA.regular.comment.csv",3
"SLA191705050",4,"High bounder","1917SLA.EVA.regular.comment.csv",4
"SLA191705050",5,"Slow roller","1917SLA.EVA.regular.comment.csv",5
"SLA191705050",10,"Deflected by Koob","1917SLA.EVA.regular.comment.csv",6
"SLA191705050",12,"Risberg scooped it on the half-hop","1917SLA.EVA.regular.comment.csv",7
"SLA191705050",14,"Lightning play","1917SLA.EVA.regular.comment.csv",8
"SLA191705050",19,"Lucky single dropped just behind Gandil","1917SLA.EVA.regular.comment.csv",9
"SLA191705050",23,"Fanned on a high one","1917SLA.EVA.regular.comment.csv",10
"SLA191705050",24,"Austin speared it near 3B","1917SLA.EVA.regular.comment.csv",11
"SLA191705050",32,"Wide throw","1917SLA.EVA.regular.comment.csv",12
"SLA191705050",36,"Lavan stopped the terrific bounder","1917SLA.EVA.regular.comment.csv",13
"SLA191705050",50,"Lavan: wonderful play","1917SLA.EVA.regular.comment.csv",14
"SLA191705081",4,"Through Davenport","1917SLA.EVA.regular.comment.csv",15
"SLA191705081",8,"Austin: beautiful slide around Weaver","1917SLA.EVA.regular.comment.csv",16
"SLA191705081",9,"Pretty play","1917SLA.EVA.regular.comment.csv",17
"SLA191705081",19,"Close decision; called out by Ump Evans","1917SLA.EVA.regular.comment.csv",18
"SLA191705081",27,"Attempted double steal","1917SLA.EVA.regular.comment.csv",19
"SLA191705081",31,"Austin stopped terrific bounder","1917SLA.EVA.regular.comment.csv",20
"SLA191705081",32,"Austin: another clever play","1917SLA.EVA.regular.comment.csv",21
"SLA191705081",35,"$During AB, Schalk protested Jacobson's bat; Ump Evans ruled he was using a flat bat and had to throw it away.","1917SLA.EVA.regular.comment.csv",22
"SLA191705081",36,"High throw","1917SLA.EVA.regular.comment.csv",23
"SLA191705081",40,"Marsans: sprinting catch","1917SLA.EVA.regular.comment.csv",24
"SLA191705081",47,"Collins: jumping catch","1917SLA.EVA.regular.comment.csv",25
"SLA191705081",49,"Austin: clever stop of high bounder near 3B","1917SLA.EVA.regular.comment.csv",26
"SLA191705081",53,"Off Weaver's glove","1917SLA.EVA.regular.comment.csv",27
"SLA191705081",56,"ej,lavad101,P,evanb901,Call at HP ej,jonef101,M,nalld901,Arguing player's ejection $Lavan ejected by HP umpire Evans for arguing he was safe at home; Browns manager Jones argued and was ejected by base umpire Nallin","1917SLA.EVA.regular.comment.csv",28
"SLA191705081",65,"Felsch misjudged it","1917SLA.EVA.regular.comment.csv",29
"SLA191705081",75,"Wide throw","1917SLA.EVA.regular.comment.csv",30
"SLA191705081",85,"Cicotte replaced with 2-0 count to Austin","1917SLA.EVA.regular.comment.csv",31
"SLA191705081",87,"Bad bound over Jackson $During AB, Ump Evans made Sisler change bats after Weaver brought it to Schalk's attention.","1917SLA.EVA.regular.comment.csv",32
"SLA191707030",12,"Ball four was a short 'passed ball' and SIsler was out trying to score","1917SLA.EVA.regular.comment.csv",33
"SLA191707030",46,"Def","1917SLA.EVA.regular.comment.csv",34
"SLA191707030",63,"Infield hit","1917SLA.EVA.regular.comment.csv",35
"SLA191707042",6,"Hit and run play","1917SLA.EVA.regular.comment.csv",36
"SLA191707042",24,"Speaker purposely passed after hitting a foul that missed being a home run by a foot.","1917SLA.EVA.regular.comment.csv",37
"SLA191707042",58,"ej,sloat101,P,connt901,Balls and strikes $Sloan ejected by HP umpire Connolly for arguing balls and strikes; Hartley completed at bat","1917SLA.EVA.regular.comment.csv",38
"SLA191707042",76,"Bad hop grounder","1917SLA.EVA.regular.comment.csv",39
"SLA191707052",24,"Wild throw by Billings allowed Sisler to advance.","1917SLA.EVA.regular.comment.csv",40
"SLA191707060",6,"$Sloan trapped off 2B on grounder to pitcher. Sisler out trying for second on play","1917SLA.EVA.regular.comment.csv",41
"SLA191707060",21,"Wamby scored from second on the bunt","1917SLA.EVA.regular.comment.csv",42
"SLA191707060",23,"Shortstop threw ball into the stands on the relay to Home","1917SLA.EVA.regular.comment.csv",43
"SLA191707060",68,"Morton fanned - thereby hurrying the game","1917SLA.EVA.regular.comment.csv",44
"SLA191708280",41,"Remainder of game derived from Retrosheet box score.","1917SLA.EVA.regular.comment.csv",45
"SLA191709040",65,"Remainder of game from 9/5 Chicago Tribune.","1917SLA.EVA.regular.comment.csv",46
"SLA191709050",52,"Balance of game from 9/6 Chicago Tribune.","1917SLA.EVA.regular.comment.csv",47
"SLA191709050",80,"First two balls not intentional.","1917SLA.EVA.regular.comment.csv",48
"SLA191709050",81,"Felsch escaped rundown.","1917SLA.EVA.regular.comment.csv",49
"SLA191709140",71,"$Smith ran into Wamby who was fielding ball for interference","1917SLA.EVA.regular.comment.csv",50
