"LAN197810100",9,"$through Tommy John's legs","FILENAME_TX","LINE_NUMBER_CT"
"LAN197810110",3,"$Gary Thomasson overslid 2B","1978WS.EVE.post.comment.csv",2
"NYA197810140",21,"40 minute rain delay","1978WS.EVE.post.comment.csv",3
"NYA197810140",50,"$Bill Russell's throw to 1B struck Reggie Jackson and caromed toward RF","1978WS.EVE.post.comment.csv",4
"NYA197810150",19,"$Lou Piniella crashed into the wall making the catch","1978WS.EVE.post.comment.csv",5
