"PHI193004220",48,"Flowers beat Thevenow's throw to 2nd, but Thompson nails Picinich at 1st.","FILENAME_TX","LINE_NUMBER_CT"
"PHI193004220",80,"Picinich tries to nail Thompson, but Wright boots it.","1930PHI.EVN.regular.comment.csv",2
"PHI193004261",21,"$Thompson picked off first, Thevenow out trying to score during rundown.","1930PHI.EVN.regular.comment.csv",3
"PHI193004262",25,"Hit and run.","1930PHI.EVN.regular.comment.csv",4
"PHI193005170",13,"Dropped short fly.","1930PHI.EVN.regular.comment.csv",5
"PHI193005170",88,"$Ball hit umpire Jorda.","1930PHI.EVN.regular.comment.csv",6
"PHI193005230",11,"$Pop fly that Ott had to hold on.","1930PHI.EVN.regular.comment.csv",7
"PHI193006040",14,"$Haines hurt on Whitney hit","1930PHI.EVN.regular.comment.csv",8
"PHI193006060",0,"Hot","1930PHI.EVN.regular.comment.csv",9
"PHI193006100",26,"$ball caromed off English","1930PHI.EVN.regular.comment.csv",10
"PHI193006110",25,"s/s beginning of home third shaky","1930PHI.EVN.regular.comment.csv",11
"PHI193006110",62,"$no one covered 1b","1930PHI.EVN.regular.comment.csv",12
"PHI193006120",42,"$Cuyler tumbled catching the ball","1930PHI.EVN.regular.comment.csv",13
"PHI193006120",50,"$rain delay of 10 minutes","1930PHI.EVN.regular.comment.csv",14
"PHI193006120",54,"$another shower started and rained out the game","1930PHI.EVN.regular.comment.csv",15
"PHI193006130",47,"$22 game hitting streak","1930PHI.EVN.regular.comment.csv",16
"PHI193006130",66,"$off the top of the fence","1930PHI.EVN.regular.comment.csv",17
"PHI193006130",76,"$the ball fell between Blair, Cuyler and Grimm.","1930PHI.EVN.regular.comment.csv",18
"PHI193006160",10,"$Friberg overran 3b","1930PHI.EVN.regular.comment.csv",19
"PHI193006160",23,"off the screen","1930PHI.EVN.regular.comment.csv",20
"PHI193006160",76,"$Sherlock lost the ball in the sun","1930PHI.EVN.regular.comment.csv",21
"PHI193006160",96,"$throw into the Pirate dugout","1930PHI.EVN.regular.comment.csv",22
"PHI193006170",1,"$Grantham out with a severe cold. Rain starts in mid-game through the end.","1930PHI.EVN.regular.comment.csv",23
"PHI193006170",20,"putout assumed","1930PHI.EVN.regular.comment.csv",24
"PHI193007051",48,"This was Snipe Hansen's major-league debut","1930PHI.EVN.regular.comment.csv",25
"PHI193007070",68,"$Attempted double steal","1930PHI.EVN.regular.comment.csv",26
"PHI193007070",78,"$Leach came up with a charley horse.","1930PHI.EVN.regular.comment.csv",27
"PHI193007080",36,"$Walker's leg is bothering him","1930PHI.EVN.regular.comment.csv",28
"PHI193007080",60,"I think I scored this correctly -- needs checking RGF","1930PHI.EVN.regular.comment.csv",29
"PHI193007110",46,"$Rain began.","1930PHI.EVN.regular.comment.csv",30
"PHI193007180",4,"$Throw hit runner on foot","1930PHI.EVN.regular.comment.csv",31
"PHI193007210",5,"$off the screen","1930PHI.EVN.regular.comment.csv",32
"PHI193007220",3,"$off the scoreboard","1930PHI.EVN.regular.comment.csv",33
"PHI193007220",19,"$off French's leg","1930PHI.EVN.regular.comment.csv",34
"PHI193007220",57,"$Rain delay of 5 minutes","1930PHI.EVN.regular.comment.csv",35
"PHI193007220",82,"$rain through the ninth inning","1930PHI.EVN.regular.comment.csv",36
"PHI193007231",56,"SF OK","1930PHI.EVN.regular.comment.csv",37
"PHI193007231",61,"$Bounce HR","1930PHI.EVN.regular.comment.csv",38
"PHI193007232",28,"$a rain shower drove the bleacherites to shelter","1930PHI.EVN.regular.comment.csv",39
"PHI193007232",32,"$Eight minute rain delay","1930PHI.EVN.regular.comment.csv",40
"PHI193007232",36,"$another heavy rain stopped play","1930PHI.EVN.regular.comment.csv",41
"PHI193007240",22,"$Hurst threw to 2b too late","1930PHI.EVN.regular.comment.csv",42
"PHI193007240",46,"to the scoreboard","1930PHI.EVN.regular.comment.csv",43
"PHI193007240",83,"$Klein's throw hit Blair on the head","1930PHI.EVN.regular.comment.csv",44
"PHI193007240",96,"ej,hursd101,P,jordl901,Balls and strikes ej,kleic101,P,jordl901,Balls and strikes ej,shotb101,M,jordl901,Balls and strikes ej,thomf106,P,jordl901,Balls and strikes $Klein ejected by HP umpire Jorda along with Thompson, Hurst, and manager Shorrton for arguing balls and strikes","1930PHI.EVN.regular.comment.csv",45
"PHI193007250",17,"to the scoreboard","1930PHI.EVN.regular.comment.csv",46
"PHI193007250",76,"to the scoreboard","1930PHI.EVN.regular.comment.csv",47
"PHI193007250",84,"$The ball bounced off Willoughby's foot into rf","1930PHI.EVN.regular.comment.csv",48
"PHI193007310",14,"Klein took out the starter with a liner!","1930PHI.EVN.regular.comment.csv",49
"PHI193008270",18,"$Police arrested 23 gamblers in two separate raids in the third inning","1930PHI.EVN.regular.comment.csv",50
"PHI193009012",22,"$Lindstrom hurt leg rounding first.","1930PHI.EVN.regular.comment.csv",51
"PHI193009081",37,"$Herman tagged up early; out on appeal at 3b","1930PHI.EVN.regular.comment.csv",52
"PHI193009081",66,"$Foul tip hurt Lopez","1930PHI.EVN.regular.comment.csv",53
"PHI193009120",25,"$the ball struck the 3b bag","1930PHI.EVN.regular.comment.csv",54
"PHI193009120",40,"$Sherlock failed to touch 1b","1930PHI.EVN.regular.comment.csv",55
"PHI193009120",62,"off Thevenow's glove","1930PHI.EVN.regular.comment.csv",56
"PHI193009130",1,"$First of scheduled double header; second game rained out in third.","1930PHI.EVN.regular.comment.csv",57
"PHI193009130",32,"$bounder over Elliott's head","1930PHI.EVN.regular.comment.csv",58
"PHI193009160",56,"ej,frenl101,P,mcgrt901,Call at 2B $Pirates argued strongly that Sherlock was out at 2nd, and pitcher French was ejected when he put his glove on umpire McGrew's shoulder","1930PHI.EVN.regular.comment.csv",59
"PHI193009170",72,"off the top of the scoreboard","1930PHI.EVN.regular.comment.csv",60
"PHI193009170",79,"high bounder","1930PHI.EVN.regular.comment.csv",61
"PHI193009180",27,"to the scoreboard","1930PHI.EVN.regular.comment.csv",62
"PHI193009180",31,"$Thompson fumbled Klein's throw","1930PHI.EVN.regular.comment.csv",63
"PHI193009190",32,"first pitch","1930PHI.EVN.regular.comment.csv",64
"PHI193009220",13,"$Mancuso fouled off about 6 pitches","1930PHI.EVN.regular.comment.csv",65
"PHI193009220",35,"$off Whitney's head","1930PHI.EVN.regular.comment.csv",66
"PHI193009230",19,"$Adams called out for running outside the baseline","1930PHI.EVN.regular.comment.csv",67
"PHI193009230",26,"second hit of inning for Rhem","1930PHI.EVN.regular.comment.csv",68
