"BOS200807090",73,"ej,gardr001,M,relic901,Changed call from catch to non-catch $the play was ruled a catch on Varitek's sinking line drive and Casey and Lowell were each put out for a triple play; then the umpires huddled and ruled that the ball was trapped; each runner moved up one base; Twins manager Ron Gardenhire argued the call and was ejected by 1B umpire (and crew chief) Charlie Reliford","2008BOS.EVA.regular.comment.csv",45
"BOS200807120",58,"ej,tremd801,M,eddid901,Called third strike on Kevin Millar Orioles Manager Dave Trembley ejected by HP umpire Doug Eddings","2008BOS.EVA.regular.comment.csv",46
"BOS200807130",53,"Red Sox first baseman Kevin Youkilis left the game due to a triceps contusion","2008BOS.EVA.regular.comment.csv",47
"BOS200807250",53,"$the third pitch to Youkilis was high and inside, causing him to hit the ground as the ball hit the bat; both sides were warned; Chamberlain had been suspended in 2007 for throwing two pitches over Youkilis's head and three at him again on 7/7/2008","2008BOS.EVA.regular.comment.csv",48
"BOS200807250",58,"Red Sox pitcher Manny Delcarmen left the game due to an injured arm","2008BOS.EVA.regular.comment.csv",49
"BOS200807250",70,"ej,lowem001,P,fostm901,Called third strike Red Sox third baseman Mike Lowell ejected by HP umpire Marty Foster; after the ejection, Lowell threw his bat and helmet to the ground","2008BOS.EVA.regular.comment.csv",50
"BOS200807270",0,"$52 minute rain delay before start of game","2008BOS.EVA.regular.comment.csv",51
"BOS200807300",26,"originally E2, changed to E9 after game","2008BOS.EVA.regular.comment.csv",52
"BOS200807300",53,"originally E6, changed after game to E2","2008BOS.EVA.regular.comment.csv",53
"BOS200808010",81,"Red Sox third baseman Mike Lowell left the game due to a strained right hip","2008BOS.EVA.regular.comment.csv",54
"BOS200808120",1,"Debut game for Charlie Zink","2008BOS.EVA.regular.comment.csv",55
"BOS200808120",15,"$the ball caromed off pitcher Scott Feldman to third baseman Ramon Vazquez, who had no play","2008BOS.EVA.regular.comment.csv",56
"BOS200808120",16,"$the second homer of the inning for Ortiz; his six RBI tie the American League record; this is the 30th time that the Red Sox have scored 10+ runs in an inning","2008BOS.EVA.regular.comment.csv",57
"BOS200808120",61,"fan interference","2008BOS.EVA.regular.comment.csv",58
"BOS200808120",92,"Red Sox third baseman Mike Lowell left the game due to a strained right oblique muscle","2008BOS.EVA.regular.comment.csv",59
"BOS200808120",108,"$the total runs tied a 58-year old American League record for most runs in one game","2008BOS.EVA.regular.comment.csv",60
"BOS200808140",71,"fan interference","2008BOS.EVA.regular.comment.csv",61
"BOS200808170",79,"fan interference","2008BOS.EVA.regular.comment.csv",62
"BOS200808300",1,"Debut game for Michael Bowden","2008BOS.EVA.regular.comment.csv",63
"BOS200809010",14,"$the ball hit just above the top of the wall and just inside the LF pole","2008BOS.EVA.regular.comment.csv",64
"BOS200809010",53,"$Orioles right fielder Nick Markakis dropped the ball as he pulled it out of his glove to throw it into the infield, allowing batter Dustin Pedroia to advance","2008BOS.EVA.regular.comment.csv",65
"BOS200809010",68,"Debut game for Jim Miller","2008BOS.EVA.regular.comment.csv",66
"BOS200809030",71,"ej,crowt101,C,nelsj901,Balls and strikes Orioles Batting Coach Terry Crowley ejected by HP umpire Jeff Nelson","2008BOS.EVA.regular.comment.csv",67
"BOS200809030",73,"$the ball landed in foul territory and hit a clump of dirt, bouncing fair","2008BOS.EVA.regular.comment.csv",68
"BOS200809080",34,"Rays center fielder B. J. Upton left the game due to an injured leg","2008BOS.EVA.regular.comment.csv",69
"BOS200809080",57,"fan interference","2008BOS.EVA.regular.comment.csv",70
"BOS200809100",14,"fan interference","2008BOS.EVA.regular.comment.csv",71
"BOS200809131",57,"Debut game for George Kottaras","2008BOS.EVA.regular.comment.csv",72
"BOS200809220",57,"$the ball struck 3B umpire Gerry Davis and stopped just beyond the infield dirt; since the ball had already passed an infielder, this was not umpire interference and the ball remained live; 3B Jamey Carroll retrieved the ball and caught Jason in a rundown","2008BOS.EVA.regular.comment.csv",73
"BOS200809230",20,"Indians third baseman Andy Marte left the game due to an injured leg","2008BOS.EVA.regular.comment.csv",74
"BOS200809250",52,"Debut game for Gil Velazquez","2008BOS.EVA.regular.comment.csv",75
"BOS200809260",32,"Yankees shortstop Derek Jeter left the game due to an injured hand/wrist","2008BOS.EVA.regular.comment.csv",76
