"NLS200407130",0,"$Managers: Joe Torre (New York AL), Jack McKeon (Florida NL); MVP: Alfonso Soriano (Texas)"FILENAME_TX","LINE_NUMBER_CT"

"NLS200407130",5,"$infield shifted"2004AS.EVE.asg.comment.csv",2

"NLS200407130",7,"$AL team hits for the cycle in inning; first time for a team in one inning of All-Star game"2004AS.EVE.asg.comment.csv",3

"NLS200407130",55,"$423 feet into the RCF auxiliary press area"2004AS.EVE.asg.comment.csv",4

"NLS200407130",65,"$the roof was opened here"2004AS.EVE.asg.comment.csv",5

