"BRO194910080",3,"$Phil Rizzuto called for interference for running out of the baseline to elude Roy Campanella's tag; Tommy Henrich rounded 2B too far","FILENAME_TX","LINE_NUMBER_CT"
"BRO194910080",35,"$Eddie Miksis muffed Gene Hermanski's throw","1949WS.EVE.post.comment.csv",2
"BRO194910090",80,"$the lights were turned on for first time in World Series history","1949WS.EVE.post.comment.csv",3
