"LAN198110250",9,"$the ball rolled into the field decorations","FILENAME_TX","LINE_NUMBER_CT"
"LAN198110250",27,"$Dave Lopes bobbled the ball and then threw it into the dugout","1981WS.EVE.post.comment.csv",2
"LAN198110250",62,"$Ron Cey hit on the head, left the field under his own power after being down for several minutes","1981WS.EVE.post.comment.csv",3
