"SFN196210040",5,"$Alou leaped to prevent home run but could not hold ball","FILENAME_TX","LINE_NUMBER_CT"
"SFN196210050",53,"$missed bunt","1962WS.EVE.post.comment.csv",2
"NYA196210080",35,"$Juan Marichal injured his hand while batting","1962WS.EVE.post.comment.csv",3
