"PHI195904100",4,"Debut game for Sparky Anderson"FILENAME_TX","LINE_NUMBER_CT"

"PHI195904262",0,"Protest=V"1959PHI.EVN.regular.comment.csv",2

"PHI195904262",5,"ej,hoakd101,P,craws901,Interference non-call ej,murtd101,M,craws901,Interference non-call $Bill Virdon and HP umpire Vic Delmore collided at HP; catcher Valmy Thomas ran over and tagged Virdon; Pirates Manager Danny Murtaugh and Don Hoak ejected by 3B umpire Shag Crawford; the Pirates played the game under protest"1959PHI.EVN.regular.comment.csv",3

"PHI195905020",58,"ej,longd101,P,dascf901,Call at 2B Dale Long ejected by 2B umpire Frank Dascoli from the bench"1959PHI.EVN.regular.comment.csv",4

"PHI195905020",74,"DIFF: official totals give this AB to Schaffernoth"1959PHI.EVN.regular.comment.csv",5

"PHI195905050",22,"ej,hemus101,M,venzt901,Call at 1B Cardinals Manager Solly Hemus ejected by 1B umpire Tony Venzon"1959PHI.EVN.regular.comment.csv",6

"PHI195905242",64,"$missed squeeze play"1959PHI.EVN.regular.comment.csv",7

"PHI195906060",7,"Debut game for Gene Oliver"1959PHI.EVN.regular.comment.csv",8

"PHI195906072",34,"$Gino Cimoli brushed back on the 0-2 pitch by Don Cardwell; they exchanged words and Cimoli ran towards the mound; Cardwell met him halfway and they exchanged punches; both benches cleared; no ejections; Cardwell threw one more pitch and left with an injured right shoulder and thumb from the fight"1959PHI.EVN.regular.comment.csv",9

"PHI195906120",37,"$game called for rain in the bottom of the sixth; the Phillies had the bases loaded with no one out with the score 4-1"1959PHI.EVN.regular.comment.csv",10

"PHI195907021",78,"ej,tempj101,P,gormt101,Balls and strikes Johnny Temple ejected by HP umpire Tom Gorman"1959PHI.EVN.regular.comment.csv",11

"PHI195907022",61,"Lockman dropped throw; need assist"1959PHI.EVN.regular.comment.csv",12

"PHI195907040",53,"$Wise stopped between second and third, retreated to second, bumped into Bruton who was called out for passing Wise who was then tagged out by Freese to complete the DP; Bruton only credited with single because Wise did not make it to third before being put out"1959PHI.EVN.regular.comment.csv",13

"PHI195907091",42,"Debut game for Wally Shannon"1959PHI.EVN.regular.comment.csv",14

"PHI195907100",50,"$Valmy Thomas injured in collision"1959PHI.EVN.regular.comment.csv",15

"PHI195907121",30,"$onto the roof"1959PHI.EVN.regular.comment.csv",16

"PHI195907121",67,"$onto the roof"1959PHI.EVN.regular.comment.csv",17

"PHI195907161",36,"$Hobie Landrith struck an umpire with his throw after recovering WP"1959PHI.EVN.regular.comment.csv",18

"PHI195907161",60,"ej,rignb101,M,secof101,Call at 1B ej,westw101,C,secof101,Call at 1B Giants Manager Bill Rigney and Coach Wes Westrum ejected by 1B umpire Frank Secory"1959PHI.EVN.regular.comment.csv",19

"PHI195907170",17,"DIFF: official totals miss this as GDP"1959PHI.EVN.regular.comment.csv",20

"PHI195907170",37,"$both Charlie Neal and Wally Moon ended up at 2B"1959PHI.EVN.regular.comment.csv",21

"PHI195907192",42,"$lights on after 5 pitches to Richie Ashburn"1959PHI.EVN.regular.comment.csv",22

"PHI195907192",51,"game called for rain after 1 hour delay"1959PHI.EVN.regular.comment.csv",23

"PHI195908141",48,"$onto the roof"1959PHI.EVN.regular.comment.csv",24

"PHI195908141",89,"$Joe Lonnett struck by a foul ball"1959PHI.EVN.regular.comment.csv",25

"PHI195908161",38,"$missed squeeze"1959PHI.EVN.regular.comment.csv",26

"PHI195908192",111,"$game stopped by curfew; tie game"1959PHI.EVN.regular.comment.csv",27

"PHI195908211",60,"ej,ashbr101,P,burkk101,Balls and strikes Richie Ashburn ejected by HP umpire Ken Burkhart"1959PHI.EVN.regular.comment.csv",28

"PHI195908212",14,"ej,freeg102,P,venzt901,Called third strike Gene Freese ejected by HP umpire Tony Venzon"1959PHI.EVN.regular.comment.csv",29

"PHI195908240",1,"Debut game for Ed Keegan"1959PHI.EVN.regular.comment.csv",30

