"PHA193905140",24,"$Gordon trapped Gantenbein's liner."FILENAME_TX","LINE_NUMBER_CT"

"PHA193905140",46,"$Newsome collided with Nagel."1939PHA.EVA.regular.comment.csv",2

"PHA193905210",66,"Over the roof."1939PHA.EVA.regular.comment.csv",3

"PHA193905230",0,"$Ladies Day. Total attendance estimated 7500."1939PHA.EVA.regular.comment.csv",4

"PHA193906170",20,"$Dietrich somersaulted at 3B and had to be carried to the clubhouse."1939PHA.EVA.regular.comment.csv",5

"PHA193906220",15,"total guess PB here"1939PHA.EVA.regular.comment.csv",6

"PHA193906220",75,"could be a SF"1939PHA.EVA.regular.comment.csv",7

"PHA193906220",77,"don't believe s/s that with 2 outs Johnson S but no advance"1939PHA.EVA.regular.comment.csv",8

"PHA193906281",41,"$Joe's HR went over LF roof."1939PHA.EVA.regular.comment.csv",9

"PHA193906282",0,"$NY Times reported Gehrig brought out lineup card for game 2. Phila. crowd gave tremendous ovation that brought tears to Lou's eyes. Connie Mack who seldom strays from bench walked to home plate to shake Lou's hand."1939PHA.EVA.regular.comment.csv",10

"PHA193907081",22,"$Wright got double when Ambler lost ball in sun."1939PHA.EVA.regular.comment.csv",11

"PHA193907081",62,"$Wash. Post reported Ferrell muffed a Siebert foul but no E given."1939PHA.EVA.regular.comment.csv",12

"PHA193907081",73,"$Mickey Vernon's ML debut. W. Post called him Jimmy Vernon."1939PHA.EVA.regular.comment.csv",13

"PHA193907081",76,"$Per W. Post P Dean bluffed a throw home to trick batter to not run full speed then started 163 DP to end game."1939PHA.EVA.regular.comment.csv",14

"PHA193907301",72,"$Greenberg steals home to score his fifth run of game to tie then AL record (since advanced to 6 runs in game)"1939PHA.EVA.regular.comment.csv",15

"PHA193907302",41,"yes, it says 43(1)"1939PHA.EVA.regular.comment.csv",16

"PHA193908022",35,"3-2 count"1939PHA.EVA.regular.comment.csv",17

"PHA193908030",0,"$Ladies Day."1939PHA.EVA.regular.comment.csv",18

"PHA193908040",0,"Attendance: site box had 1000. source 412 about 500."1939PHA.EVA.regular.comment.csv",19

"PHA193908061",68,"ej,siebd102,P,basis901,Call at 2B ej,macke101,C,basis901,Call at 2B $Siebert ejected by Basil for arguing out call. Acting manager Earle Mack also ejected by Basil here."1939PHA.EVA.regular.comment.csv",20

"PHA193908062",73,"ej,berrc103,C,geish901,Home run call $Athletics coach Berry ejected by 3B umpire Geisel for disputing home run hit by Hoag"1939PHA.EVA.regular.comment.csv",21

"PHA193908110",82,"ej,nageb101,P,mcgob901,Call at 2B $2bman Nagel ejected by 3B umpire McGowan for arguing that was out trying to steal second"1939PHA.EVA.regular.comment.csv",22

"PHA193908120",16,"$P Joyce stopped Keller's drive with bare hand and had to leave game."1939PHA.EVA.regular.comment.csv",23

"PHA193908120",41,"$C Hayes threw his mask towards SS to alert him Crosetti was considering stealing home while Newsome held ball."1939PHA.EVA.regular.comment.csv",24

"PHA193908132",69,"126 says Chapman out is 54"1939PHA.EVA.regular.comment.csv",25

"PHA193908132",71,"yes again 54"1939PHA.EVA.regular.comment.csv",26

"PHA193908132",86,"$7 PM curfew ends game after 8th"1939PHA.EVA.regular.comment.csv",27

"PHA193909101",80,"126 shows 2 rbi for Johnson this PA, order wrong?"1939PHA.EVA.regular.comment.csv",28

"PHA193909130",2,"yes definite GDP"1939PHA.EVA.regular.comment.csv",29

"PHA193909172",0,"$Bob Johnson day. He was given among other things a set of silver and two bird dogs."1939PHA.EVA.regular.comment.csv",30

"PHA193909172",65,"23-year-old infielder Nagel takes the mound"1939PHA.EVA.regular.comment.csv",31

