"CLE199804120",45,"Debut game for Jolbert Cabrera"FILENAME_TX","LINE_NUMBER_CT"

"CLE199804130",12,"Debut game for Ryan Radmanovich"1998CLE.EVA.regular.comment.csv",2

"CLE199804150",18,"ej,aloms001,P,hicke901,Fighting ej,loftk001,P,hicke901,Charging mound ej,johnr005,P,hicke901,Throwing at batter $Pitcher Johnson, batter Lofton and Indians Alomar ejected by HP umpire Hickox as aftermath of throwing at batter; Johnson threw two pitches at Lofton who charged mound; benches emptied; Johnson suspended for three games"1998CLE.EVA.regular.comment.csv",3

"CLE199805060",83,"Debut game for Jason Rakers"1998CLE.EVA.regular.comment.csv",4

"CLE199806160",67,"Debut game for Bart Evans"1998CLE.EVA.regular.comment.csv",5

"CLE199807212",73,"game called for rain"1998CLE.EVA.regular.comment.csv",6

"CLE199808120",19,"ej,hargm001,M,culbf901,Balls and strikes $Indians manager Hargrove ejected by HP umpire Culbreth for arguing balls and strikes while McLemore at bat"1998CLE.EVA.regular.comment.csv",7

"CLE199808260",73,"ej,pinil001,M,barnl901,Runner out of baseline $Mariners manager Piniella ejected by 2B umpire Barnett for arguing call that Davis was out of baseline"1998CLE.EVA.regular.comment.csv",8

"CLE199808290",95,"ej,assep001,P,mcclt901,Balls and strikes Paul Assenmacher ejected by HP umpire Tim McClelland"1998CLE.EVA.regular.comment.csv",9

"CLE199809130",20,"ej,hargm001,M,younl901,Non-ejection of opposing pitcher ej,vizqo001,P,younl901,Charging mound $Vizquel ejected by HP umpire Young for charging mound after close pitch; Indians manager Hargrove also ejected for arguing pitcher should be ejected"1998CLE.EVA.regular.comment.csv",10

"CLE199809150",75,"Debut game for Kevin Witt"1998CLE.EVA.regular.comment.csv",11

"CLE199809190",41,"Debut game for Alex Ramirez"1998CLE.EVA.regular.comment.csv",12

