"TOR199304240",43,"Debut game for Jeff Schwarz"FILENAME_TX","LINE_NUMBER_CT"

"TOR199304280",1,"Debut game for Scott Brow"1993TOR.EVA.regular.comment.csv",2

"TOR199305220",0,"ej,B.J. Birdie,N,mckej901,Catch/trap call [Held nose; mascot] $Blue Jays mascot B.J. Birdie ejected from the game by 2B umpire Jim McKean; the mascot held his nose to protest a catch/trap call"1993TOR.EVA.regular.comment.csv",3

"TOR199305250",51,"ej,jackd002,P,merrd901,Balls and strikes Darrin Jackson ejected by HP umpire Durwood Merrill"1993TOR.EVA.regular.comment.csv",4

"TOR199306170",0,"ej,clemr001,P,craft901,Bench jockeying Roger Clemens ejected by HP umpire Terry Craft for bench jockeying sometime in game"1993TOR.EVA.regular.comment.csv",5

"TOR199306190",27,"ej,cartj001,P,craft901,Call at 2B Joe Carter ejected by 2B umpire Terry Craft"1993TOR.EVA.regular.comment.csv",6

"TOR199307150",64,"Debut game for Enrique Burgos"1993TOR.EVA.regular.comment.csv",7

"TOR199307160",0,"ej,gastc101,M,shulj901,Balls and strikes Blue Jays manager Cito Gaston ejected by HP umpire John Shulock sometime in game"1993TOR.EVA.regular.comment.csv",8

"TOR199307270",13,"ej,segud001,P,meric901,Call at 1B (Threw helmet) David Segui ejected by 1B umpire Chuck Meriwether for throwing his helmet after being called out"1993TOR.EVA.regular.comment.csv",9

"TOR199307290",16,"ej,philt001,P,johnm901,Called third strike Tony Phillips ejected by HP umpire Mark Johnson"1993TOR.EVA.regular.comment.csv",10

"TOR199308120",36,"ej,cartj001,P,joycj901,Called third strike Joe Carter ejected by HP umpire Jim Joyce"1993TOR.EVA.regular.comment.csv",11

"TOR199309070",80,"Debut game for Kurt Abbott"1993TOR.EVA.regular.comment.csv",12

"TOR199309100",64,"Debut game for Brian Anderson"1993TOR.EVA.regular.comment.csv",13

