GAME_ID,EVENT_ID,COMMENT_TX
"WAS201710060",39,"$Nationals challenged call that Bryant was safe at 2nd; call was overturned - safe advancing on throw"
"WAS201710070",22,"$umpires reviewed play to be sure there was not fan interference on Rizzo's ball; call was upheld - home run"
"CHN201710110",59,"$Cubs challenged call that Zimmerman was safe on pickoff attempt; call was overturned - out at first"
"WAS201710120",1,"$Nationals challenged call the Jay was safe at 2nd; call was upheld - double"
"WAS201710120",75,"$Nationals challenged, claiming that Jay's slide into 2nd was interference; call was upheld - no interference"
"WAS201710120",91,"$Cubs challenged call that Lobaton returned safely to 1st; call ws overturned - out on pickoff"
"WAS201710060",39,"$Nationals challenged call that Bryant was safe at 2nd; call was overturned - safe advancing on throw"
"WAS201710070",22,"$umpires reviewed play to be sure there was not fan interference on Rizzo's ball; call was upheld - home run"
"CHN201710110",59,"$Cubs challenged call that Zimmerman was safe on pickoff attempt; call was overturned - out at first"
"WAS201710120",1,"$Nationals challenged call the Jay was safe at 2nd; call was upheld - double"
"WAS201710120",75,"$Nationals challenged, claiming that Jay's slide into 2nd was interference; call was upheld - no interference"
"WAS201710120",91,"$Cubs challenged call that Lobaton returned safely to 1st; call ws overturned - out on pickoff"
