"TBA200904160",44,"ej,maddj801,M,gormb901,Fair/foul call $on the third pitch to Jermaine Dye, he hit a grounder down the 3B line; Willie Aybar fielded it and threw out Dye; however, Dye has hopped around and told HP umpire Brian Gorman that the ball had hit his foot; the umpires checked Dye's shoe and the ball and declared it a foul ball; Rays Manager Joe Maddon was ejected by Gorman; Maddon said that it is hard to get a black mark on a ball from a grey shoe; replays indicated that the umpires got the call correct","FILENAME_TX","LINE_NUMBER_CT"
"TBA200904190",16,"Rays center fielder B. J. Upton left the game due to an injured leg","2009TBA.EVA.regular.comment.csv",2
"TBA200905020",24,"$Jason Bay fouled a pitch off his left ankle, bruising it","2009TBA.EVA.regular.comment.csv",3
"TBA200905020",64,"Red Sox left fielder Jason Bay left the game due to a left ankle bruise","2009TBA.EVA.regular.comment.csv",4
"TBA200905020",77,"ej,hickj801,C,hirsj901,Balls and strikes Rays pitching coach Jim Hickey ejected by 3B umpire John Hirschbeck for arguing balls and strikes","2009TBA.EVA.regular.comment.csv",5
"TBA200905150",25,"ej,wedge001,M,gibsg901,Call at HP Indians Manager Eric Wedge ejected by HP umpire Greg Gibson for arguing close play at the plate","2009TBA.EVA.regular.comment.csv",6
"TBA200905170",1,"Debut game for David Huff","2009TBA.EVA.regular.comment.csv",7
"TBA200905170",4,"$Indians manager Eric Wedge showed HP umpire Ted Barrett that two Rays players were listed as playing third base and no one was listed as the designated hitter on the Rays lineup that was given to the umpire before the game; since Ben Zobrist had just played third in the top of the first inning, he was the correct player and Evan Longoria, who was supposed to be the DH but was also listed as 3B, was out; according to AL rules, pitcher Andy Sonnanstine was inserted into the third spot to replace Longoria and the Rays lost the use of the DH for the game; since Longoria had not batted, the umpires decided that he was still available for use in the game and in fact played late in the game; MLB announced later in the month that Longoria should not have been allowed to play","2009TBA.EVA.regular.comment.csv",8
"TBA200905300",36,"Twins third baseman Joe Crede left the game due to an injured knee","2009TBA.EVA.regular.comment.csv",9
"TBA200905310",11,"Twins right fielder Michael Cuddyer left the game due to an injured hand/wrist","2009TBA.EVA.regular.comment.csv",10
"TBA200906090",35,"replay,5,kendh001,ANA,kellj901,STP01,O,N,I,,H $Howie Kendrick's ball hit the yellow stripe at the top of the RF wall and bounced back towards the infield; Angels manager Mike Scioscia went out to discuss the play with acting crew chief Jeff Kellogg, who decided to watch the replay; after a 2:40 delay, the play was upheld","2009TBA.EVA.regular.comment.csv",11
"TBA200906090",78,"ej,uptob001,P,wegnm901,Balls and strikes $Rays center fielder B. J. Upton was unhappy with a strike called on the fifth pitch of his at bat; after flying out, Upton was talking to HP umpire Mark Wegner while leaving the field and was ejected by Wegner","2009TBA.EVA.regular.comment.csv",12
"TBA200906240",53,"Rays third baseman Evan Longoria left the game due to an injured leg","2009TBA.EVA.regular.comment.csv",13
"TBA200906250",40,"Phillies pitcher Antonio Bastardo left the game due to an injured neck/shoulder","2009TBA.EVA.regular.comment.csv",14
"TBA200906250",55,"$Matt Stairs did not hustle to score from 3B on this fly out; the out at 1B was recorded before Stairs crossed the plate so the run did not count","2009TBA.EVA.regular.comment.csv",15
"TBA200906250",71,"replay,7,burrp001,TBA,cedeg901,STP01,I,N,I,,H $the ball bounced into the seats; crew chief Gary Cederstrom watched a replay to determine if there was fan interference as the ball was leaving the field; after a 1:36 delay, he said that the ball went into the seats cleanly and sent Carl Crawford, who had scored on the play, back to 3B; MLB Vice President Mike Port told Cederstrom the next day that he was not allowed to use replay in that circumstance","2009TBA.EVA.regular.comment.csv",16
"TBA200907070",1,"Debut game for Marc Rzepczynski","2009TBA.EVA.regular.comment.csv",17
"TBA200907100",81,"Originally scored Fielder's choice, changed after game","2009TBA.EVA.regular.comment.csv",18
"TBA200907110",78,"ej,maddj801,M,nelsj901,Catcher detached equipment (mask) $Tampa Bay manager Maddon ejected by HP umpire Nelson for arguing call that catcher interfered when he scooped ball with mask","2009TBA.EVA.regular.comment.csv",19
"TBA200907310",0,"$HP umpire Charlie Reliford tore his right calf muscle sometime during the second inning","2009TBA.EVA.regular.comment.csv",20
"TBA200907310",25,"$Zobrist hit a line drive off Ponson's left arm which was caught by second baseman Callaspo; Callaspo threw to first baseman Billy Butler who threw to third base to get Carl Crawford before he returned to the bag","2009TBA.EVA.regular.comment.csv",21
"TBA200907310",52,"umpchange,6,ump2b,(None)","2009TBA.EVA.regular.comment.csv",22
"TBA200907310",55,"umpchange,7,umphome,holbs901","2009TBA.EVA.regular.comment.csv",23
"TBA200908040",64,"$Daniel Bard's throw sailed down the RF line and the ball ended up in the ball bag in the Rays bullpen; even though Ben Zobrist was rounding 3B when time was called, he was only awarded two bases because the overthrow was the first play by an infielder, thus negating a sure run for the Rays on the play","2009TBA.EVA.regular.comment.csv",24
"TBA200909010",77,"$Jonathan Papelbon was fined by MLB for taking too long to deliver his first pitch after coming into the game","2009TBA.EVA.regular.comment.csv",25
"TBA200909030",41,"$B.J. Upton and Carl Crawford bump as Crwaford made the catch; Upton left with a sprained left ankle","2009TBA.EVA.regular.comment.csv",26
"TBA200909060",1,"Debut game for Wade Davis","2009TBA.EVA.regular.comment.csv",27
"TBA200909300",52,"Orioles Luke Scott left the game due to an injured foot/ankle","2009TBA.EVA.regular.comment.csv",28
"TBA200910040",56,"$Alex Rodriguez homered in his first and last at bats of the season","2009TBA.EVA.regular.comment.csv",29
