"BAL199505040",76,"Debut game for Scott Karl","FILENAME_TX","LINE_NUMBER_CT"
"BAL199506020",7,"Debut game for Curtis Goodwin","1995BAL.EVA.regular.comment.csv",2
"BAL199506030",63,"Debut game for Cesar Devarez","1995BAL.EVA.regular.comment.csv",3
"BAL199506070",59,"ej,benia001,P,phild901,Intentional HBP Armando Benitez ejected by HP umpire Dave Phillips","1995BAL.EVA.regular.comment.csv",4
"BAL199506240",63,"Debut game for Greg Zaun","1995BAL.EVA.regular.comment.csv",5
"BAL199506250",3,"$Mo Vaughn called for interference","1995BAL.EVA.regular.comment.csv",6
"BAL199507160",63,"ej,colev001,P,hirsj901,Balk non-call $Coleman ejected by 2B umpire Hirschbeck for arguing pitcher balked in throw to 1st","1995BAL.EVA.regular.comment.csv",7
"BAL199507280",69,"ej,krukj001,P,onorb901,Called third strike John Kruk ejected by HP umpire Brian O'Nora","1995BAL.EVA.regular.comment.csv",8
"BAL199507290",1,"Debut game for Mike Bertotti","1995BAL.EVA.regular.comment.csv",9
"BAL199508310",12,"umpchange,2,umphome,shulj901 umpchange,2,ump1b,tscht901 umpchange,2,ump2b,(None) $HP umpire Denkinger left after injuring knee while trying to avoid baserunner; 1B umpire Shulock went behind plate, 2B umpire Tschida moved to 1st and game finishes with 3 umpires","1995BAL.EVA.regular.comment.csv",10
"BAL199509040",71,"ej,regap101,M,koscg901,Call at 3B Orioles manager Phil Regan ejected by 3B umpire Greg Kosc","1995BAL.EVA.regular.comment.csv",11
"BAL199509130",1,"Debut game for Jimmy Haynes","1995BAL.EVA.regular.comment.csv",12
"BAL199509160",63,"game called for rain","1995BAL.EVA.regular.comment.csv",13
