"ALS196307090",0,"$Managers: Ralph Houk (AL New York), Alvin Dark (NL San Francisco); record: Stan Musial's 24 appearance; Mickey Mantle unable to play due to broken foot; MVP: Willie Mays (San Francisco NL)","FILENAME_TX","LINE_NUMBER_CT"
"ALS196307090",27,"$Alvin Dark attempted to put Johnny Edwards at catcher for NL, but HP umpire Hank Soar pointed out that starters had to play three innings","1963AS.EVE.asg.comment.csv",2
"ALS196307090",70,"$great catch by Mays","1963AS.EVE.asg.comment.csv",3
