"MIN196510060",43,"$Let popup drop to get force","FILENAME_TX","LINE_NUMBER_CT"
"LAN196510090",36,"$Jim Lefebvre left with an injured heel","1965WS.EVE.post.comment.csv",2
"LAN196510090",57,"$Earl Battey injured running into the dugout railing in an attempt to catch a foul pop by Willie Davis","1965WS.EVE.post.comment.csv",3
"MIN196510130",11,"$Willie Davis missed a shoestring catch","1965WS.EVE.post.comment.csv",4
"MIN196510140",18,"$infield in for Jim Gilliam","1965WS.EVE.post.comment.csv",5
"MIN196510140",23,"$Joe Nossek called for interference on steal attempt; Zoilo Versalles sent back to 1B","1965WS.EVE.post.comment.csv",6
"MIN196510140",25,"$the ball struck the LF pole","1965WS.EVE.post.comment.csv",7
