"CIN197404040",4,"$Hank Aaron's career homer #714 to tie Babe Ruth","FILENAME_TX","LINE_NUMBER_CT"
"CIN197404060",76,"Debut game for Jamie Easterly","1974CIN.EVN.regular.comment.csv",2
"CIN197404160",79,"$Joe Morgan called for interference for running into his own batted ball","1974CIN.EVN.regular.comment.csv",3
"CIN197404211",9,"Jim McAndrew left with sore muscle on left side rib cage","1974CIN.EVN.regular.comment.csv",4
"CIN197404211",18,"ej,davej101,C,wendh901,Check swing $Padres coach Davenport ejected by HP umpire Wendelstedt for arguing check swing sometime in 2nd inning","1974CIN.EVN.regular.comment.csv",5
"CIN197404230",69,"$Pedro Borbon called for interference for stepping outside of batter's box to bunt","1974CIN.EVN.regular.comment.csv",6
"CIN197405110",51,"$Tom Griffin called for interference for stepping across plate attempting to bunt","1974CIN.EVN.regular.comment.csv",7
"CIN197405121",66,"$Dave Concepcion thought there were two outs and kept running","1974CIN.EVN.regular.comment.csv",8
"CIN197405122",30,"$Bob Watson crashed into the fence, injuring his eye","1974CIN.EVN.regular.comment.csv",9
"CIN197405150",58,"$Garry Maddox batted out of turn in Mike Phillips spot","1974CIN.EVN.regular.comment.csv",10
"CIN197405280",64,"$Pete Rose injured right elbow and forearm when he hit the wall","1974CIN.EVN.regular.comment.csv",11
"CIN197406020",30,"Debut game for Larry Demery","1974CIN.EVN.regular.comment.csv",12
"CIN197406020",56,"Fred Norman left with pulled muscle on right side","1974CIN.EVN.regular.comment.csv",13
"CIN197406140",72,"Debut game for Jesus Hernaiz","1974CIN.EVN.regular.comment.csv",14
"CIN197406170",49,"Debut game for Terry Enyart","1974CIN.EVN.regular.comment.csv",15
"CIN197406190",14,"$Mike Torrez rounded 1B too far","1974CIN.EVN.regular.comment.csv",16
"CIN197406220",2,"Ralph Garr sprained ankle on last play","1974CIN.EVN.regular.comment.csv",17
"CIN197407031",50,"Debut game for Will McEnaney","1974CIN.EVN.regular.comment.csv",18
"CIN197407040",38,"ej,adamr101,C,harvd901,Balk call $Dodgers coach Adams ejected by 3B umpire Harvey for arguing balk call on Messersmith","1974CIN.EVN.regular.comment.csv",19
"CIN197407040",40,"missed squeeze","1974CIN.EVN.regular.comment.csv",20
"CIN197407050",48,"fan interference","1974CIN.EVN.regular.comment.csv",21
"CIN197407071",1,"Debut game for Tom Carroll Debut game for Bob Forsch","1974CIN.EVN.regular.comment.csv",22
"CIN197407190",9,"22 minute rain delay","1974CIN.EVN.regular.comment.csv",23
"CIN197407200",56,"ej,lockw101,M,kiblj901,Failure to call obstruction in rundown Cubs Manager Whitey Lockman ejected by HP umpire John Kibler for failing to call obstruction","1974CIN.EVN.regular.comment.csv",24
"CIN197407251",63,"ej,gaglp101,P,,Unknown reason $Reds Gagliano ejected by unknown umpire for unknown reason","1974CIN.EVN.regular.comment.csv",25
"CIN197407270",63,"Debut game for Rusty Gerhardt","1974CIN.EVN.regular.comment.csv",26
"CIN197408190",25,"Debut game for Tom Underwood","1974CIN.EVN.regular.comment.csv",27
"CIN197408310",42,"ej,maucg101,M,pryop901,Call at 1B ej,hrinw101,C,pryop901,Call at 1B $Expos manager Mauch and coach Hriniak ejected by 1B umpire Pryor for arguing Hunt was safe at 1st","1974CIN.EVN.regular.comment.csv",28
"CIN197409080",52,"Debut game for John Hale","1974CIN.EVN.regular.comment.csv",29
"CIN197409090",60,"$Fred Norman struck by line drive hit above left knee","1974CIN.EVN.regular.comment.csv",30
"CIN197409100",45,"Debut game for Ray Knight","1974CIN.EVN.regular.comment.csv",31
"CIN197409110",46,"2:17 rain delay then game called as tie","1974CIN.EVN.regular.comment.csv",32
"CIN197409121",27,"Debut game for Rawly Eastwick","1974CIN.EVN.regular.comment.csv",33
"CIN197409121",37,"ej,evand001,P,willa901,Called third strike Darrell Evans ejected by HP umpire Art Williams","1974CIN.EVN.regular.comment.csv",34
"CIN197409122",1,"Debut game for Pat Darcy","1974CIN.EVN.regular.comment.csv",35
"CIN197409270",0,"6 minute rain delay before start of game","1974CIN.EVN.regular.comment.csv",36
"CIN197409280",78,"12 minute rain delay","1974CIN.EVN.regular.comment.csv",37
"CIN197409280",84,"27 minute rain delay","1974CIN.EVN.regular.comment.csv",38
