"DET195204150",0,"$Queen Juliana and Prince Bernard of the Netherlands attended but left after second inning","FILENAME_TX","LINE_NUMBER_CT"
"DET195204150",3,"Debut game for Jim Rivera","1952DET.EVA.regular.comment.csv",2
"DET195204150",8,"Debut game for George Schmees","1952DET.EVA.regular.comment.csv",3
"DET195204150",60,"Debut game for George Lerchen","1952DET.EVA.regular.comment.csv",4
"DET195204160",77,"Debut game for Alex Garbowski","1952DET.EVA.regular.comment.csv",5
"DET195204170",58,"ej,battm101,P,honoj901,Balls and strikes Matt Batts ejected by HP umpire Jim Honochick","1952DET.EVA.regular.comment.csv",6
"DET195205100",60,"ej,richp101,M,grieb901,Balls and strikes White Sox Manager Paul Richards ejected by HP umpire Bill Grieve","1952DET.EVA.regular.comment.csv",7
"DET195205180",17,"$Marlin Stuart left with muscle pull","1952DET.EVA.regular.comment.csv",8
"DET195205190",54,"rain started","1952DET.EVA.regular.comment.csv",9
"DET195206152",72,"$Walt Masterson out on appeal; no DP","1952DET.EVA.regular.comment.csv",10
"DET195206222",25,"$the ball caromed off Billy Hitchcock's arm and hit him on the cheek, knocking him unconscious; he was helped from the field","1952DET.EVA.regular.comment.csv",11
"DET195206222",87,"$the Tigers came to bat at 7:08 PM and the lights had been on for 30 minutes; because of a league rule, the lights had be turned off since it was after 7 PM on a Sunday","1952DET.EVA.regular.comment.csv",12
"DET195206230",12,"$Walt Dropo ducked away from the pitch, the ball struck the bat and rolled to RF","1952DET.EVA.regular.comment.csv",13
"DET195206230",15,"ej,troud101,P,hurle901,Bench jockeying Dizzy Trout ejected by HP umpire Eddie Hurley","1952DET.EVA.regular.comment.csv",14
"DET195206230",18,"$Ike Delock waited to see if the line drive was caught","1952DET.EVA.regular.comment.csv",15
"DET195206240",50,"$George Kell's throw to 2B pulled Ted Lepcio off the bag","1952DET.EVA.regular.comment.csv",16
"DET195206250",12,"$Infield fly called and Ted Lepcio dropped the ball; no one heard the infield fly call; Lepcio threw to Vern Stephens who stepped on 2B for apparent force but did not tag the runner","1952DET.EVA.regular.comment.csv",17
"DET195207010",18,"ej,swifb102,P,duffj901,Balls and strikes Bob Swift ejected by HP umpire Jim Duffy","1952DET.EVA.regular.comment.csv",18
"DET195207060",62,"$Jerry Priddy broke his leg sliding into HP","1952DET.EVA.regular.comment.csv",19
"DET195207260",31,"$Phil Rizzuto caught the ball barely in OF grass and tossed the ball to Martin at 2B while Johnny Hopp tagged","1952DET.EVA.regular.comment.csv",20
"DET195207280",1,"Debut game for Harry Schaeffer","1952DET.EVA.regular.comment.csv",21
"DET195207311",35,"$on the attempted squeeze, Joe Astroth called for obstruction during rundown","1952DET.EVA.regular.comment.csv",22
"DET195208010",28,"$Dick Gernert stole 3B when he caught Bill Wight napping as he stood off the rubber; Fred Hatfield let Wight's hurried throw roll away","1952DET.EVA.regular.comment.csv",23
"DET195208010",54,"$Walt Dropo fell rounding 3B and tried to crawl back to the bag, only to find Don Lenhardt already there; Dropo raced home and was thrown out in a collision with Del Wilbur","1952DET.EVA.regular.comment.csv",24
"DET195208010",59,"$Del Wilbur left with a thigh bruise suffered in his collision with Walt Dropo in previous inning","1952DET.EVA.regular.comment.csv",25
"DET195208020",72,"Debut game for Carl Linhart","1952DET.EVA.regular.comment.csv",26
"DET195208290",36,"ej,battm101,P,grieb901,Balls and strikes Matt Batts ejected by HP umpire Bill Grieve","1952DET.EVA.regular.comment.csv",27
"DET195209060",6,"Debut game for Harvey Kuenn","1952DET.EVA.regular.comment.csv",28
"DET195209060",14,"1 hour rain sometime in second","1952DET.EVA.regular.comment.csv",29
"DET195209090",48,"$the throw to the plate struck Ted Lepcio and bounded away","1952DET.EVA.regular.comment.csv",30
"DET195209100",8,"Debut game for Bill Tuttle","1952DET.EVA.regular.comment.csv",31
"DET195209100",47,"Debut game for Milt Bolling","1952DET.EVA.regular.comment.csv",32
"DET195209100",60,"Debut game for Hersh Freeman","1952DET.EVA.regular.comment.csv",33
"DET195209110",48,"$Bud Souchock trapped off 1B","1952DET.EVA.regular.comment.csv",34
"DET195209110",64,"$missed squeeze","1952DET.EVA.regular.comment.csv",35
"DET195209130",1,"Debut game for Bud Black","1952DET.EVA.regular.comment.csv",36
"DET195209140",14,"last two plays really one play ej,dropw101,P,berrc103,Call at 3B (Threw mud) Walt Dropo ejected by 3B umpire Charlie Berry","1952DET.EVA.regular.comment.csv",37
"DET195209170",38,"$the Tigers attempted to get Phil Rizzuto but he escaped back to 3B; when the throw to 1B was late, Rizzuto scored","1952DET.EVA.regular.comment.csv",38
"DET195209270",72,"Debut game for Bill Abernathie","1952DET.EVA.regular.comment.csv",39
