"SLN195304190",0,"Snow fell before and throughout the game; flurries were most intense in the first inning when time was called for six minutes.","FILENAME_TX","LINE_NUMBER_CT"
"SLN195304190",8,"Bruton: fine running catch","1953SLN.EVN.regular.comment.csv",2
"SLN195304190",18,"$Rice stopped midway to 2B and was tagged after run scored","1953SLN.EVN.regular.comment.csv",3
"SLN195304190",26,"Off RF screen","1953SLN.EVN.regular.comment.csv",4
"SLN195304190",29,"Atop RF pavilion","1953SLN.EVN.regular.comment.csv",5
"SLN195304190",36,"$Rice stopped midway to 2B; Dittmer ran him back toward 1B before flipping to Adcock to get Staley; the run scored before Adcock could tag Rice.","1953SLN.EVN.regular.comment.csv",6
"SLN195304190",44,"Atop RF pavilion","1953SLN.EVN.regular.comment.csv",7
"SLN195304190",62,"Wind-blown pop that Hemus misjudged","1953SLN.EVN.regular.comment.csv",8
"SLN195304190",68,"Through Johnson","1953SLN.EVN.regular.comment.csv",9
"SLN195304210",6,"$6 minute snow delay","1953SLN.EVN.regular.comment.csv",10
"SLN195305170",89,"$440 ft","1953SLN.EVN.regular.comment.csv",11
"SLN195305180",2,"$the throw hit Davey Williams","1953SLN.EVN.regular.comment.csv",12
"SLN195305180",45,"$onto pavillion roof","1953SLN.EVN.regular.comment.csv",13
"SLN195305180",86,"ej,stane101,M,dascf901,Intentionally dropped ball $Bobby Hofman intentionally dropped the popup but Dick Sisler declared out; Vern Benson thought he had to run; Cardinals Manager Eddie Stanky ejected by HP umpire Frank Dascoli","1953SLN.EVN.regular.comment.csv",14
"SLN195305190",17,"$out on infield fly rule as ball fell safely","1953SLN.EVN.regular.comment.csv",15
"SLN195305210",35,"ej,stane101,M,secof101,Call at 2B $Cardinal manager Stanky ejected by 2B umpire Secory for force out call at 2nd base","1953SLN.EVN.regular.comment.csv",16
"SLN195305230",30,"to match daily/TSN, arbitrary 8 to 9","1953SLN.EVN.regular.comment.csv",17
"SLN195305290",23,"ej,walkd101,C,stewb901,Call at 1B Cardinals Coach Dixie Walker ejected by 1B umpire Bill Stewart","1953SLN.EVN.regular.comment.csv",18
