"NYA192604250",14,"Not clear if WP was this inning or next.","FILENAME_TX","LINE_NUMBER_CT"
"NYA192604280",25,"Rain began","1926NYA.EVA.regular.comment.csv",2
"NYA192605060",11,"$lost in the sun","1926NYA.EVA.regular.comment.csv",3
"NYA192605120",84,"DWV reconstructed the rest","1926NYA.EVA.regular.comment.csv",4
"NYA192605130",33,"$Joe Dugan left with injured hand","1926NYA.EVA.regular.comment.csv",5
"NYA192605140",53,"$George Burns dropped the popup, stepped on the bag and tagged Mike Gazella","1926NYA.EVA.regular.comment.csv",6
"NYA192605180",67,"$to the flagpole","1926NYA.EVA.regular.comment.csv",7
"NYA192605220",63,"$No SH awarded","1926NYA.EVA.regular.comment.csv",8
"NYA192605220",85,"$Wally Schang suffered bruised ribs in the collision with Lou Gehrig","1926NYA.EVA.regular.comment.csv",9
"NYA192605300",71,"Not clear when Miller entered","1926NYA.EVA.regular.comment.csv",10
"NYA192606022",41,"$Bounce HR","1926NYA.EVA.regular.comment.csv",11
"NYA192606022",58,"pbp account ends here, rest deduced","1926NYA.EVA.regular.comment.csv",12
"NYA192606030",42,"$Babe Ruth pulled leg muscle running to 1B","1926NYA.EVA.regular.comment.csv",13
"NYA192607011",43,"missing play in NYA192607010","1926NYA.EVA.regular.comment.csv",14
"NYA192607012",59,"$lost in the sun","1926NYA.EVA.regular.comment.csv",15
"NYA192607100",43,"$the Indians decided to intentionally walk Babe Ruth; he stepped out of the box trying to hit a pitch and was called out by HP Umpire Brick Owens; Ruth threw the ball into the LF bleachers","1926NYA.EVA.regular.comment.csv",16
"NYA192607100",84,"25 minute wind and rain delay in the 11th","1926NYA.EVA.regular.comment.csv",17
"NYA192607110",67,"ej,collp101,P,rowlp801,Balls and strikes Pat Collins ejected by HP umpire Pants Rowland","1926NYA.EVA.regular.comment.csv",18
"NYA192607120",43,"$Luke Sewell missed a bunt attempt and his brother was out","1926NYA.EVA.regular.comment.csv",19
"NYA192607150",29,"rain falling now","1926NYA.EVA.regular.comment.csv",20
"NYA192607160",8,"$Frank O'Rourke thought he had drawn four balls instead of three and started to 1B; Charlie Gehringer thought so too and started for 2B; Gehringer realized his mistake but was picked off 1B","1926NYA.EVA.regular.comment.csv",21
"NYA192607160",67,"DWV reconstructed the rest","1926NYA.EVA.regular.comment.csv",22
"NYA192607220",8,"$to the flagpole","1926NYA.EVA.regular.comment.csv",23
"NYA192607220",30,"$Joe Dugan left with heat exhaustion","1926NYA.EVA.regular.comment.csv",24
"NYA192607220",57,"$Bibb Falk's throw got past Willie Kamm but was backed up by Buck Crouse","1926NYA.EVA.regular.comment.csv",25
"NYA192607220",68,"$Buck Crouse struck on thumb by foul ball","1926NYA.EVA.regular.comment.csv",26
"NYA192607230",76,"$Tony Lazzeri failed to cover the bag","1926NYA.EVA.regular.comment.csv",27
"NYA192607240",60,"Bounce HR","1926NYA.EVA.regular.comment.csv",28
"NYA192608141",48,"$Stuffy Stewart snuck in behind Ben Paschal","1926NYA.EVA.regular.comment.csv",29
"NYA192608170",54,"play,6,0,morer102,??,,W play,6,0,sheee101,??,,PB.1-2 play,6,0,sheee101,??,,36/SH.2-3 play,6,0,falkb101,??,,7/SF.3-H play,6,0,barrb105,??,,K play,6,1,ruthb101,??,,9 play,6,1,meusb101,??,,63 $game was called due to heavy rain after two batters in the bottom of the sixth; game revert backed to 5th inning","1926NYA.EVA.regular.comment.csv",30
"NYA192608230",42,"$Earle Combs went to 2B on the throw home and 3B when Joe Sewell failed to catch Luke Sewell's throw to 2B","1926NYA.EVA.regular.comment.csv",31
"NYA192608250",0,"$a rained out game from the previous day was scheduled for today; that game postponed due to rain and made up in Cleveland on 9/16","1926NYA.EVA.regular.comment.csv",32
"NYA192608250",12,"$a light rain started to fall","1926NYA.EVA.regular.comment.csv",33
"NYA192608280",34,"Bounce HR","1926NYA.EVA.regular.comment.csv",34
"NYA192608280",68,"ej,bassj102,P,mcgob901,Fair/foul call $the ball dropped close to the foul line and the Tigers protested the call; Johnny Bassler ejected by HP umpire Bill McGowan","1926NYA.EVA.regular.comment.csv",35
"NYA192608300",25,"$Lou Gehrig failed to cover the bag","1926NYA.EVA.regular.comment.csv",36
"NYA192608300",27,"$Bucky Harris rounded 3B too far","1926NYA.EVA.regular.comment.csv",37
"NYA192608310",71,"$Babe Ruth twisted his right knee sliding into 3B","1926NYA.EVA.regular.comment.csv",38
"NYA192609061",17,"Not certain when Welch entered","1926NYA.EVA.regular.comment.csv",39
"NYA192609061",59,"$the pitch struck Cy Perkins on the knee and caromed into the Athletics dugout; Perkins left with an injury","1926NYA.EVA.regular.comment.csv",40
"NYA192609070",11,"$failed hit and run on a pitchout","1926NYA.EVA.regular.comment.csv",41
"NYA192609080",21,"$Ben Paschal dropped the fly ball","1926NYA.EVA.regular.comment.csv",42
"NYA192609090",12,"missing play in NYA192609090","1926NYA.EVA.regular.comment.csv",43
