"CHA201004080",55,"Debut game for Sergio Santos"FILENAME_TX","LINE_NUMBER_CT"

"CHA201004090",17,"Debut game for Drew Butera"2010CHA.EVA.regular.comment.csv",2

"CHA201004230",33,"Mariners shortstop Jack Wilson left the game due to an injured hand"2010CHA.EVA.regular.comment.csv",3

"CHA201004240",66,"ej,guilo001,M,culbf901,Runner advance on fan interference $the ball rolled down the RF line in foul territory and was picked up by a fan; 3B umpire Fieldin Culbreth ruled that Jack Wilson would have scored from 1B without the fan interference; White Sox Manager Ozzie Guillen objected to the ruling and was ejected by Culbreth"2010CHA.EVA.regular.comment.csv",4

"CHA201005080",36,"$Andruw Jones called for interference"2010CHA.EVA.regular.comment.csv",5

"CHA201005200",29,"$Kevin Frandsen called for interference"2010CHA.EVA.regular.comment.csv",6

"CHA201006040",60,"Debut game for Frank Herrmann"2010CHA.EVA.regular.comment.csv",7

"CHA201006060",59,"Indians first baseman Mark Grudzielanek left the game due to an injured leg"2010CHA.EVA.regular.comment.csv",8

"CHA201006220",37,"$the hard grounder bounced up into 3B Brooks Conrad's chest and went inside his shirt where it remained; Conrad felt it hit his chest and then could not find the baseball"2010CHA.EVA.regular.comment.csv",9

"CHA201006230",65,"ej,riosa002,P,fleta901,Called third strike White Sox center fielder Alex Rios ejected by HP umpire Andy Fletcher"2010CHA.EVA.regular.comment.csv",10

"CHA201006250",10,"$between innings, Carlos Zambrano tossed a Gatorade cooler and got in the face of 1B Derrek Lee; apparently, Zambrano was upset that Lee did not field the ball hit by Juan Pierre to start the inning; Cubs manager Lou Piniella had to separate the two players; he told Zambrano to go home; the Cubs suspended Zambrano after the game, with GM Jim Hendry saying: 'we'll play with 24 before we tolerate that kind of behavior'; Lee was playing in with Pierre at bat in case Pierre bunted the ball"2010CHA.EVA.regular.comment.csv",11

"CHA201006270",17,"$Gordon Beckham moved into the plate area on his follow through and catcher Geovany Soto collided with him trying to throw out Alexei Ramirez at 2B; Beckham was called for interference and Ramirez was out; Ramirez did not believe he was out since he stole 2B successfully and it took a little coaxing from 2B umpire Paul Emmel to get Ramirez to leave the field"2010CHA.EVA.regular.comment.csv",12

"CHA201007060",10,"White Sox pitcher Jake Peavy left the game due to an injured back"2010CHA.EVA.regular.comment.csv",13

"CHA201007070",68,"$the liner hit Omar Vizquel's glove and caromed towards SS Alexei Ramirez, who threw a bouncer to 2B; when 2B Gordon Beckham was not able to field the throw, Erick Aybar scored from 3B"2010CHA.EVA.regular.comment.csv",14

"CHA201007090",73,"Debut game for Jeffrey Marquez"2010CHA.EVA.regular.comment.csv",15

"CHA201007100",50,"$Batter received 4 balls but stayed at plate for 3 more pitches"2010CHA.EVA.regular.comment.csv",16

"CHA201007260",19,"originally scored as S5, changed on 8-09, makes two runs UR"2010CHA.EVA.regular.comment.csv",17

"CHA201007270",17,"Mariners third baseman Jose Lopez left the game due to an injured leg"2010CHA.EVA.regular.comment.csv",18

"CHA201007280",11,"$a foul ball by Paul Konerko struck HP umpire Brian Runge on his mask; although he was a little wobbly, Runge stayed in the game another inning"2010CHA.EVA.regular.comment.csv",19

