"WAS201410030",17,"replay,3,peavj001,SFN,wintm901,WAS11,,Y,M,SFN,C $when Travis Ishikawa was called safe at 2B, Giants manager Bruce Bochy challenged the ruling; the call was overturned by replay","FILENAME_TX","LINE_NUMBER_CT"
"WAS201410040",0,"$this game tied for the longest post-season game by innings and set a record for longest by time","2014NLD1.EVE.post.comment.csv",2
"WAS201410040",64,"replay,9,sandp001,SFN,wintm901,WAS11,,N,M,SFN,A $when Buster Posey was called out at HP, Giants manager Bruce Bochy challenged the ruling; the call was upheld by replay","2014NLD1.EVE.post.comment.csv",3
"WAS201410040",72,"ej,cabra002,P,carav901,Called third strike (Threw bat) ej,willm003,M,carav901,Called third strike $Asdrubal Cabrera argued the second strike and then threw his bat down on the third strike; Cabrera and Nationals manager Matt Williams ejected by HP umpire Vic Carapazza","2014NLD1.EVE.post.comment.csv",4
"SFN201410070",60,"replay,7,sandp001,SFN,wintm901,SFO03,,N,U,,P $when the intentional ball was wild and bounced off the backstop, Buster Posey tried to score; when Posey was called out, crew chief Mike Winters requested a review; the call was upheld saying that the pitcher did not block HP and the runner was out","2014NLD1.EVE.post.comment.csv",5
