"BOS193504230",21,"$Red Ruffing left with bad back","FILENAME_TX","LINE_NUMBER_CT"
"BOS193504260",69,"Not clear when Stone entered.","1935BOS.EVA.regular.comment.csv",2
"BOS193504260",72,"Not clear when Berg entered.","1935BOS.EVA.regular.comment.csv",3
"BOS193505170",70,"rain started","1935BOS.EVA.regular.comment.csv",4
"BOS193505170",89,"rain stopped","1935BOS.EVA.regular.comment.csv",5
"BOS193505180",29,"SB as c returned ball to p","1935BOS.EVA.regular.comment.csv",6
"BOS193505230",49,"End of play-by-play, rest of game is deduced","1935BOS.EVA.regular.comment.csv",7
"BOS193505230",77,"$Rowe's foul tip injures R. Ferrell's right thumb","1935BOS.EVA.regular.comment.csv",8
"BOS193505240",27,"$Greenberg not on first, so Crowder stops his throw for balk","1935BOS.EVA.regular.comment.csv",9
"BOS193505240",48,"End of play-by-play account, rest is deduced","1935BOS.EVA.regular.comment.csv",10
"BOS193505240",49,"$Grove has a blister on his middle finger of left hand","1935BOS.EVA.regular.comment.csv",11
"BOS193505250",8,"Runner fell, spained ankle and was tagged out when rounding 3rd","1935BOS.EVA.regular.comment.csv",12
"BOS193505250",26,"$Ball hit squarely off P's face. Fortunate that he only only needed two stitches to close cut on lip.","1935BOS.EVA.regular.comment.csv",13
"BOS193505250",64,"Savage liner. P knocked it down but threw wild to 1st","1935BOS.EVA.regular.comment.csv",14
"BOS193505280",50,"P tagged runner","1935BOS.EVA.regular.comment.csv",15
"BOS193505290",65,"$SS made a bad throw to 2nd, pulling 2Bman off bag; the 2bman compounded things with a bad throw of his own. DWS: umpire Owens called runner out on force, then reversed call, so McNair was charged with a throwing error","1935BOS.EVA.regular.comment.csv",16
"BOS193506081",91,"ej,selkg101,P,morig101,Unknown reason George Selkirk ejected by 1B umpire George Moriarty","1935BOS.EVA.regular.comment.csv",17
"BOS193506082",44,"$after the wild pitch, catcher Art Jorgens talked to pitcher Lefty Gomez; as they walked to HP Billy Werber scored","1935BOS.EVA.regular.comment.csv",18
"BOS193506082",46,"DWS: pbp ends here, rest deduced","1935BOS.EVA.regular.comment.csv",19
"BOS193507010",1,"$Stone hit a foul ball that was easily playable by Werber, but a cameraman interfered and the ball fell untouched","1935BOS.EVA.regular.comment.csv",20
"BOS193507072",66,"no idea what this play was!","1935BOS.EVA.regular.comment.csv",21
"BOS193507072",67,"Game called, reason not stated - not rain DWS: may be related to All-Star game which is in two days","1935BOS.EVA.regular.comment.csv",22
"BOS193507130",5,"$Hal Trosky hit on left arm and left game for courtesy runner","1935BOS.EVA.regular.comment.csv",23
"BOS193507142",84,"$game called on account of Sunday curfew","1935BOS.EVA.regular.comment.csv",24
"BOS193507180",12,"$After long run, Cooke has ball go off his glove","1935BOS.EVA.regular.comment.csv",25
"BOS193507190",59,"Balance of game derived from newspapers.","1935BOS.EVA.regular.comment.csv",26
"BOS193507230",24,"$Ball caromed off SS to 2B who was standing on bag","1935BOS.EVA.regular.comment.csv",27
"BOS193508042",72,"Called, curfew","1935BOS.EVA.regular.comment.csv",28
"BOS193508050",26,"$George Selkirk rounded 1B too far","1935BOS.EVA.regular.comment.csv",29
"BOS193508050",36,"10 minute rain delay","1935BOS.EVA.regular.comment.csv",30
"BOS193508050",48,"$Lou Gehrig left with an attack of lumbago","1935BOS.EVA.regular.comment.csv",31
"BOS193508050",58,"$game called for rain after the start of the sixth inning; score reverted","1935BOS.EVA.regular.comment.csv",32
"BOS193508100",50,"3B tagged runner","1935BOS.EVA.regular.comment.csv",33
"BOS193508100",58,"Batter went to 2nd when 2B dropped ball then thrown out when he strayed off 2nd","1935BOS.EVA.regular.comment.csv",34
"BOS193508100",77,"Werber and Dahlgren fought in dugout briefly apparently over Dahlgren's alleged lack of hustle in top of the inning","1935BOS.EVA.regular.comment.csv",35
"BOS193509021",7,"ej,harrb106,M,donnc901,Caught stealing call at 2nd $Washington manager Bucky Harris ejected by 3b umpire Donnelly for arguing caught stealing call","1935BOS.EVA.regular.comment.csv",36
"BOS193509022",45,"$Reynolds out in rundown and then Cronin caught off first after rounding base too far","1935BOS.EVA.regular.comment.csv",37
"BOS193509072",26,"$Hale caught foul standing on bats near Indian dugout","1935BOS.EVA.regular.comment.csv",38
"BOS193509100",39,"Ferrell injured on foul tip","1935BOS.EVA.regular.comment.csv",39
"BOS193509131",56,"Ball caromed of the P's shin into RF","1935BOS.EVA.regular.comment.csv",40
"BOS193509150",30,"$Cronin's hit was a pop up lost in sun by 1bman and 2bman; catcher ran out to try to catch it, but collided with 1bman, knocking himself silly as ball fell safely; after a delay, catcher continued in the game","1935BOS.EVA.regular.comment.csv",41
"BOS193509150",64,"$Knott injured himself trying to field bunt by Ferrell that went foul","1935BOS.EVA.regular.comment.csv",42
"BOS193509160",20,"$Cronin spiked in right arm but stays in game.","1935BOS.EVA.regular.comment.csv",43
"BOS193509160",26,"$Line drive defleted by Bridges to Gehringer.","1935BOS.EVA.regular.comment.csv",44
"BOS193509170",62,"$Dahlgren injured shoulder on play.","1935BOS.EVA.regular.comment.csv",45
"BOS193509222",0,"$Largest American League crowd to date at Fenway Park; Special ground rules established for over-flow crowd on field in center field and right field","1935BOS.EVA.regular.comment.csv",46
"BOS193509222",31,"$Only ground rule double in second game.","1935BOS.EVA.regular.comment.csv",47
"BOS193509222",72,"$Game called after for Sunday Blue Law curfew","1935BOS.EVA.regular.comment.csv",48
