"SDN200404080",0,"$First game at PETCO Park","FILENAME_TX","LINE_NUMBER_CT"
"SDN200404110",68,"Debut game for Jason Szuminski","2004SDN.EVN.regular.comment.csv",2
"SDN200404150",44,"$Green left game with injured groin","2004SDN.EVN.regular.comment.csv",3
"SDN200404180",67,"ej,hernr002,P,drecb901,Balls and strikes Ramon Hernandez ejected by HP umpire Bruce Dreckman","2004SDN.EVN.regular.comment.csv",4
"SDN200404180",82,"DWS: double PR sub appears in box. Injury?","2004SDN.EVN.regular.comment.csv",5
"SDN200404260",11,"Debut game for Val Pascucci","2004SDN.EVN.regular.comment.csv",6
"SDN200404260",54,"$Livan Hernandez awarded 1B on obstruction by Scott Linebrink; Linebrink slid across the baseline trying to catch the popped-up bunt of Hernandez, who had to jump over Linebrink; Hernandez was thrown out but after Expos manager Frank Robinson argued the call, it was changed to obstruction","2004SDN.EVN.regular.comment.csv",7
"SDN200404260",55,"ej,bochb002,M,brinj901,Obstruction call Padres Manager Bruce Bochy ejected by HP umpire Joe Brinkman","2004SDN.EVN.regular.comment.csv",8
"SDN200404270",45,"$Patterson left game with injured arm","2004SDN.EVN.regular.comment.csv",9
"SDN200405140",61,"low throw, Nevin couldn't dig it out","2004SDN.EVN.regular.comment.csv",10
"SDN200405140",64,"throw beat the runner, but Burroughs missed the bag","2004SDN.EVN.regular.comment.csv",11
"SDN200406010",26,"$Sweeney left game with injured leg","2004SDN.EVN.regular.comment.csv",12
"SDN200406200",57,"$Hernandez left game with injured knee","2004SDN.EVN.regular.comment.csv",13
"SDN200407040",25,"$Nevin left game with injured leg","2004SDN.EVN.regular.comment.csv",14
"SDN200407070",51,"ej,lamog101,C,craft901,Arguing for balk on Jay Witasick Astros coach Gene Lamont ejected by 3B umpire Terry Craft","2004SDN.EVN.regular.comment.csv",15
"SDN200407260",43,"ej,durhr001,P,wegnm901,Called third strike Ray Durham ejected by HP umpire Mark Wegner","2004SDN.EVN.regular.comment.csv",16
"SDN200407280",53,"$Franklin left game with injured elbow","2004SDN.EVN.regular.comment.csv",17
"SDN200407280",69,"ej,klesr001,P,younl901,Fair/foul call Ryan Klesko ejected by 3B umpire Larry Young","2004SDN.EVN.regular.comment.csv",18
"SDN200408050",48,"$Millwood left game with injured elbow","2004SDN.EVN.regular.comment.csv",19
"SDN200408160",13,"$Off very top padding of wall, back onto field","2004SDN.EVN.regular.comment.csv",20
"SDN200408160",21,"$career homer #300 for Chipper Jones","2004SDN.EVN.regular.comment.csv",21
"SDN200408160",29,"Nice tag of Perez by Loretta for first out","2004SDN.EVN.regular.comment.csv",22
"SDN200408170",4,"Debut game for Freddy Guzman","2004SDN.EVN.regular.comment.csv",23
"SDN200408210",65,"Debut game for Steve Watkins","2004SDN.EVN.regular.comment.csv",24
"SDN200408220",8,"Burroughs took wide turn and Easley snuck in behind him","2004SDN.EVN.regular.comment.csv",25
"SDN200408220",15,"throw past 1st, but Klesko thought he had missed second, so he went back. Aurilia nearly to 2nd, but got back to 1st","2004SDN.EVN.regular.comment.csv",26
"SDN200408220",37,"$Hitchcock left game with injured elbow. MRI next day shows no tear - onto 15 day DL","2004SDN.EVN.regular.comment.csv",27
"SDN200408220",69,"Debut game for Marty McLeary","2004SDN.EVN.regular.comment.csv",28
"SDN200409050",62,"ej,nealb001,P,dimum901,Intentional HBP ej,bochb002,M,dimum901,Intentional HBP Blaine Neal and Manager Bruce Bochy ejected by HP umpire Mike DiMuro","2004SDN.EVN.regular.comment.csv",29
"SDN200409080",54,"Debut game for Carmen Cali","2004SDN.EVN.regular.comment.csv",30
"SDN200409220",32,"$Penny left game with injured arm","2004SDN.EVN.regular.comment.csv",31
"SDN200409290",66,"$Durham left game with injured foot","2004SDN.EVN.regular.comment.csv",32
"SDN200409290",84,"Mohr tripped over bullpen mound after catch, hurt knee, left field with brace on knee","2004SDN.EVN.regular.comment.csv",33
