"NYN197604270",6,"$Felix Millan called for interference for running into his own batted ball","FILENAME_TX","LINE_NUMBER_CT"
"NYN197605050",73,"ej,armbe101,P,rungp901,Balls and strikes Ed Armbrister ejected by HP umpire Paul Runge","1976NYN.EVN.regular.comment.csv",2
"NYN197605050",73,"Jon Matlack left with cramps in his hand","1976NYN.EVN.regular.comment.csv",3
"NYN197605190",74,"Debut game for Leon Brown","1976NYN.EVN.regular.comment.csv",4
"NYN197605280",41,"Debut game for Bob Myrick","1976NYN.EVN.regular.comment.csv",5
"NYN197605311",51,"$Benny Ayala collided with Wayne Garrett and suffered small laceration over right eye","1976NYN.EVN.regular.comment.csv",6
"NYN197605311",61,"$Frank Taveras ran into his own batted ball","1976NYN.EVN.regular.comment.csv",7
"NYN197606010",42,"$Bill Robinson left with pulled right thigh muscle","1976NYN.EVN.regular.comment.csv",8
"NYN197606020",44,"$Bill Madlock injured left shoulder in collision at the plate","1976NYN.EVN.regular.comment.csv",9
"NYN197606200",22,"Debut game for Jay Kleven","1976NYN.EVN.regular.comment.csv",10
"NYN197607030",62,"$Rick Monday robbed John Milner of HR","1976NYN.EVN.regular.comment.csv",11
"NYN197607041",46,"$Dave Kingman called for interference to complete double play","1976NYN.EVN.regular.comment.csv",12
"NYN197607190",16,"$Kingman dove for Niekro's double, landing on his left thumb, tearing ligaments; he missed five weeks","1976NYN.EVN.regular.comment.csv",13
"NYN197607290",19,"16 minute rain delay","1976NYN.EVN.regular.comment.csv",14
"NYN197607290",32,"$Mets Dyer left after getting bruised right elbow from foul hit by Millan","1976NYN.EVN.regular.comment.csv",15
"NYN197607290",43,"24 minute rain delay","1976NYN.EVN.regular.comment.csv",16
"NYN197607290",75,"ej,philm101,P,engeb901,Called third strike Mike Phillips ejected by HP umpire Bob Engel","1976NYN.EVN.regular.comment.csv",17
"NYN197608020",81,"ej,frazj101,M,colon901,Balls and strikes (Threw equipment) $Mets manager Frazier ejected by HP umpire Colosi for arguing strike call to Boisclair; he threw much equipment onto the field","1976NYN.EVN.regular.comment.csv",18
"NYN197608030",28,"$Tim Foli left because his left wrist, sprained in previous game, was bothering him","1976NYN.EVN.regular.comment.csv",19
"NYN197608040",8,"$Joe Torre's hit off Dan Carrithers' right ankle, forcing pitcher to leave game after first inning","1976NYN.EVN.regular.comment.csv",20
"NYN197608100",52,"$Leon Brown called for interference when the ball struck his bat on the ground","1976NYN.EVN.regular.comment.csv",21
"NYN197608110",10,"$Mike Vail and Tito Fuentes skirmish after tag at 2B","1976NYN.EVN.regular.comment.csv",22
"NYN197609260",1,"43-minute rain delay with 2-2 count on Kelleher","1976NYN.EVN.regular.comment.csv",23
"NYN197609270",70,"Game stopped due to rain","1976NYN.EVN.regular.comment.csv",24
