"MIL198210150",50,"$the ball struck Joaquin Andujar's knee; he was carried from the field","FILENAME_TX","LINE_NUMBER_CT"
"MIL198210150",71,"$Willie McGee robbed Gorman Thomas of a homer with a catch above the fence","1982WS.EVE.post.comment.csv",2
"SLN198210190",40,"26 minute rain delay","1982WS.EVE.post.comment.csv",3
"SLN198210190",51,"2:13 rain delay","1982WS.EVE.post.comment.csv",4
"SLN198210200",44,"$the throw hit Paul Molitor on the back","1982WS.EVE.post.comment.csv",5
