"MIL201004230",11,"replay,1,fielp001,MIL,hirsj901,MIL06,O,N,I,,H $Prince Fielder's fly hit the top of the CF wall on the yellow stripe; the Brewers wanted a home run; crew chief John Hirschbeck watched the replay and confirmed the call on the field","FILENAME_TX","LINE_NUMBER_CT"
"MIL201004280",71,"ej,churr001,P,reybd901,Called third strike Pirates right fielder Ryan Church ejected by HP umpire D. J. Reyburn","2010MIL.EVN.regular.comment.csv",2
"MIL201004280",94,"ej,laroa002,P,reybd901,Called third strike Pirates third baseman Andy LaRoche ejected by HP umpire D. J. Reyburn","2010MIL.EVN.regular.comment.csv",3
"MIL201005100",54,"Brewers left fielder Ryan Braun left the game due to an injured elbow","2010MIL.EVN.regular.comment.csv",4
"MIL201005140",16,"$the 500th home run surrendered by Jamie Moyer, who is the second pitcher to do so; Robin Roberts surrendered 505 in his career","2010MIL.EVN.regular.comment.csv",5
"MIL201005150",15,"$Chase Utley's fly hit the padding on the RF wall, bounced off RF Corey Hart and over the fence for a double (rule 6.09g)","2010MIL.EVN.regular.comment.csv",6
"MIL201005150",26,"Brewers center fielder Jim Edmonds left the game due to an injured side","2010MIL.EVN.regular.comment.csv",7
"MIL201005160",14,"$Wilson Valdez called for interference","2010MIL.EVN.regular.comment.csv",8
"MIL201005290",53,"$after Brewers pitcher Todd Coffey threw his warm-up pitches, Mets manager Jerry Manuel talked to the umpires about Coffey's glove, which was deemed too light a color; the umpires told Coffey to change gloves before he could pitch","2010MIL.EVN.regular.comment.csv",9
"MIL201007080",73,"Giants pitcher Dan Runzler left the game due to an injured knee","2010MIL.EVN.regular.comment.csv",10
"MIL201007090",63,"$the ball struck 2B umpire Chris Guccione who was positioned on the infield in front of 2B; the ball was dead on the umpire interference, Lastings Milledge was awarded 1B and Garrett Jones placed back at 2B because he was not forced to advance","2010MIL.EVN.regular.comment.csv",11
"MIL201007230",24,"Brewers right fielder Corey Hart left the game due to an injured wrist","2010MIL.EVN.regular.comment.csv",12
"MIL201007240",52,"Brewers center fielder Jim Edmonds left the game due to an injured foot","2010MIL.EVN.regular.comment.csv",13
"MIL201007280",35,"$Jay Bruce beat the high throw but slid past the bag and was tagged out","2010MIL.EVN.regular.comment.csv",14
"MIL201007280",78,"ej,fielp001,P,dimum901,Called third strike $Brewers first baseman Prince Fielder objected to the called third strike but only said a few words; as he walked up the first base line, he threw his bat down and then slammed his helmet down; HP umpire Mike DiMuro, who was walking up the third base line, heard the noise, turned and ejected Fielder","2010MIL.EVN.regular.comment.csv",15
"MIL201008110",27,"$the seventh time a team has hit four consecutive home runs and the third time that one pitcher has surrendered all four; brothers J.D. and Stephen Drew have been part of three of the seven","2010MIL.EVN.regular.comment.csv",16
"MIL201008200",70,"Brewers right fielder Corey Hart left the game due to an injured leg","2010MIL.EVN.regular.comment.csv",17
"MIL201008210",60,"Padres catcher Yorvit Torrealba left the game due to an injured head","2010MIL.EVN.regular.comment.csv",18
"MIL201008210",75,"$the 21st career pinch homer for Matt Stairs, setting a new career record; he passed Cliff Johnson","2010MIL.EVN.regular.comment.csv",19
"MIL201008260",44,"ej,ethia001,P,johna901,Balls and strikes Dodgers right fielder Andre Ethier ejected by HP umpire Adrian Johnson from the bench; Ethier was yelling at Johnson about the strike zone, comparing calls to James Loney to his called third strike","2010MIL.EVN.regular.comment.csv",20
"MIL201008290",78,"Pirates pitcher Evan Meek left the game due to an injured hand","2010MIL.EVN.regular.comment.csv",21
"MIL201009070",17,"ej,machk101,M,timmt901,Interference call $Brewers manager Macha ejected by 2B umpire Timmons for arguing that Counsell had not interfered with SS and run should be allowed to score","2010MIL.EVN.regular.comment.csv",22
"MIL201009070",22,"ej,duncd101,C,davib902,Balls and strikes $Cardinals pitching coach Duncan ejected by HP umpire Davidson for arguing balls and strikes from dugout","2010MIL.EVN.regular.comment.csv",23
"MIL201009070",47,"ej,dickc001,P,davib902,Called third strike (Threw equipment) $Dickerson ejected by HP umpire Davidson for arguing called third strike; during argumen hte threw bat and helmet","2010MIL.EVN.regular.comment.csv",24
"MIL201009070",58,"ej,Sean Ottow,N,davib902,[Fan] Drunken fan heckling Yadier Molina $HP umpire Bob Davidson talked with park security people and had them remove a fan from behind home plate who had been yelling at Cardinals catcher Yadier Molina; in this game","2010MIL.EVN.regular.comment.csv",25
"MIL201009100",46,"Debut game for Brandon Kintzler","2010MIL.EVN.regular.comment.csv",26
"MIL201009100",66,"Debut game for Mark Rogers","2010MIL.EVN.regular.comment.csv",27
"MIL201009210",8,"$Reds first baseman Jim Edmonds strained his right lower leg while rounding second running out his homer; he left the game due to the injury","2010MIL.EVN.regular.comment.csv",28
"MIL201009210",40,"fan interference","2010MIL.EVN.regular.comment.csv",29
"MIL201009210",47,"Brewers left fielder Chris Dickerson left the game due to an injured leg","2010MIL.EVN.regular.comment.csv",30
"MIL201009220",26,"fan interference","2010MIL.EVN.regular.comment.csv",31
"MIL201009220",44,"Reds pitcher Aaron Harang left the game due to an injured ankle","2010MIL.EVN.regular.comment.csv",32
"MIL201009220",59,"Brewers left fielder Ryan Braun left the game due to an injured elbow","2010MIL.EVN.regular.comment.csv",33
"MIL201009230",63,"Debut game for Sandy Rosario","2010MIL.EVN.regular.comment.csv",34
"MIL201009260",54,"Debut game for Steve Cishek","2010MIL.EVN.regular.comment.csv",35
"MIL201009260",56,"Brewers pitcher Chris Capuano left the game due to an injured groin","2010MIL.EVN.regular.comment.csv",36
