"CLE201004140",59,"fan interference","FILENAME_TX","LINE_NUMBER_CT"
"CLE201004170",6,"$Shin-Soo Choo hit a run-scoring double on a liner to RF; the White Sox appealed at 1B and umpire Dan Bellino called Choo out for missing the bag","2010CLE.EVA.regular.comment.csv",2
"CLE201004300",70,"Debut game for Hector Ambriz","2010CLE.EVA.regular.comment.csv",3
"CLE201005020",16,"Debut game for Wilson Ramos","2010CLE.EVA.regular.comment.csv",4
"CLE201005050",53,"Indians catcher Mike Redmond left the game due to an injured hip","2010CLE.EVA.regular.comment.csv",5
"CLE201005220",60,"Reds pitcher Johnny Cueto left with a blister on his right index finger","2010CLE.EVA.regular.comment.csv",6
"CLE201005230",26,"Reds pitcher Homer Bailey left the game due to an injured shoulder","2010CLE.EVA.regular.comment.csv",7
"CLE201005250",47,"fan interference","2010CLE.EVA.regular.comment.csv",8
"CLE201005260",13,"ej,guilo001,M,westj901,Balk call on Mark Buehrle $1B umpire Joe West called the balk on White Sox pitcher Mark Buehrle, who yelled to West about the call; West yelled back and White Sox manager Ozzie Guillen came out to talk with West; West motioned to Guillen to return to the dugout; Guillen wanted to know why West was disrespecting his pitcher; when Guillen did not return to the dugout, he was ejected by West","2010CLE.EVA.regular.comment.csv",9
"CLE201005260",20,"ej,buehm001,P,westj901,Balk call (second time in two innings) $1B umpire Joe West called the second balk on Mark Buehrle, who threw his glove to the ground and was ejected by West; when Buehrle tried to walk to West, White Sox coaches and players and umpire Angel Hernandez moved him towards the dugout","2010CLE.EVA.regular.comment.csv",10
"CLE201006080",0,"$pitcher Tim Wakefield reached 2777 innings pitched for the Red Sox in this game to set a new team record","2010CLE.EVA.regular.comment.csv",11
"CLE201006080",5,"$CF Mike Cameron missed a shoe-string catch","2010CLE.EVA.regular.comment.csv",12
"CLE201006080",23,"$CF Trevor Crowe missed an easy catch on the warning track","2010CLE.EVA.regular.comment.csv",13
"CLE201006080",24,"replay,4,youkk001,BOS,everm901,CLE08,O,N,I,,H $Kevin Youkilis' fly ball hit the top of the out-of-town scoreboard, bounced straight up and returned to the field; Red Sox manager Terry Francona asked about the call, so acting crew chief Mike Everitt watched the replay and upheld the call","2010CLE.EVA.regular.comment.csv",14
"CLE201006080",53,"$off the LF pole","2010CLE.EVA.regular.comment.csv",15
"CLE201006100",63,"Red Sox first baseman Kevin Youkilis left the game due to an injured back","2010CLE.EVA.regular.comment.csv",16
"CLE201006110",9,"Debut game for Carlos Santana","2010CLE.EVA.regular.comment.csv",17
"CLE201006120",13,"fan interference","2010CLE.EVA.regular.comment.csv",18
"CLE201006150",18,"$Jason Donald called for interference","2010CLE.EVA.regular.comment.csv",19
"CLE201006160",53,"Mets left fielder Jason Bay left the game due to an injured leg","2010CLE.EVA.regular.comment.csv",20
"CLE201006300",52,"originally scored as E5, changed to hit next day","2010CLE.EVA.regular.comment.csv",21
"CLE201007020",54,"$Mike Redmond hit a line drive to RF that scored Jhonny Peralta from 3B; the other two runners moved up one base; however, Athletics RF Ryan Sweeney grabbed the one-hopper and threw out Redmond at 1B, thus negating the run","2010CLE.EVA.regular.comment.csv",22
"CLE201007040",13,"Athletics center fielder Coco Crisp left the game due to an injured leg","2010CLE.EVA.regular.comment.csv",23
"CLE201007180",1,"Debut game for Jeanmar Gomez","2010CLE.EVA.regular.comment.csv",24
"CLE201007180",8,"$Tigers center fielder Ryan Raburn attempted to catch Jhonny Peralta's fly by leaping at the fence; Raburn hit the bullpen gate, which opened and Raburn fell to the ground; the ball rolled towards center field where it was retrieved by left fielder Brennan Boesch","2010CLE.EVA.regular.comment.csv",25
"CLE201007180",70,"fan interference","2010CLE.EVA.regular.comment.csv",26
"CLE201007230",56,"$Game called for rain","2010CLE.EVA.regular.comment.csv",27
"CLE201007240",36,"replay,5,zobrb001,TBA,everm901,CLE08,O,Y,I,,H $the fly ball by Ben Zobrist hit the railing above the yellow stripe in left center and bounded back onto the field; it was ruled in play but initially neither Indians outfielder chased after the ball, since it had hit over the fence for a home run; Rays manager Joe Maddon asked about the ruling so acting crew chief Mike Everitt watched the replay and overturned the call to a home run","2010CLE.EVA.regular.comment.csv",28
"CLE201007270",1,"Debut game for Josh Tomlin","2010CLE.EVA.regular.comment.csv",29
"CLE201007290",19,"Indians pitcher Mitch Talbot left the game due to an injured back","2010CLE.EVA.regular.comment.csv",30
"CLE201008060",79,"ej,gardr001,M,davig901,Home run replay ruling replay,9,thomj002,MIN,davig901,CLE08,O,N,I,,H $Jim Thome's fly hit the yellow stripe at the top of the left center field wall and caromed back onto the field; the Twins thought it was a home run; crew chief Gerry Davis watched the replay and upheld the call after the crew huddled; Twins manager Ron Gardenhire came on the field after the review and argued violently the about the ruling; Gardenhire was ejected by Davis; this was the first time a manager was ejected arguing about a replay ruling","2010CLE.EVA.regular.comment.csv",31
"CLE201008290",33,"Indians first baseman Matt LaPorta left the game due to an injured hip","2010CLE.EVA.regular.comment.csv",32
"CLE201008300",66,"White Sox second baseman Gordon Beckham left the game due to an injured hand","2010CLE.EVA.regular.comment.csv",33
"CLE201008300",71,"ej,nix-j001,P,welkb901,Called third strike Indians third baseman Jayson Nix ejected by HP umpire Bill Welke","2010CLE.EVA.regular.comment.csv",34
"CLE201009010",38,"White Sox pitcher Freddy Garcia left the game due to an injured back","2010CLE.EVA.regular.comment.csv",35
"CLE201009110",0,"$1:53 rain delay before start of game; umpire Angel Campos, scheduled to work behind the plate, became ill during the delay and was taken to the hospital where he had an emergency appendectomy","2010CLE.EVA.regular.comment.csv",36
"CLE201009110",52,"$Trevor Crowe's bat broke and the barrel struck catcher Joe Mauer on the mask","2010CLE.EVA.regular.comment.csv",37
"CLE201009110",53,"$the pitch hit Jason Donald's finger as he bunted the ball and then the ball bounced up and hit him in fair territory; he was called for interference and both runners sent back to their bases; Travis Hafner had scored what appeared to be the first run of the game","2010CLE.EVA.regular.comment.csv",38
"CLE201009110",54,"Indians shortstop Jason Donald left the game due to an injured hand","2010CLE.EVA.regular.comment.csv",39
"CLE201009110",88,"$Thome's 587th homer to pass Frank Robinson and move into eighth place","2010CLE.EVA.regular.comment.csv",40
"CLE201009120",4,"Indians pitcher Mitch Talbot left the game due to an injured shoulder","2010CLE.EVA.regular.comment.csv",41
"CLE201009160",84,"$five man infield with Kendrick listed as the centerfielder but playing near second base; second baseman Kevin Frandsen covered first to complete DP, pulling in the high throw from catcher Jeff Mathis; this was Kendrick's first 'appearance' as an outfielder","2010CLE.EVA.regular.comment.csv",42
"CLE201009230",76,"Debut game for Vinnie Pestano","2010CLE.EVA.regular.comment.csv",43
"CLE201009270",59,"Tigers first baseman Miguel Cabrera left the game due to an injured ankle","2010CLE.EVA.regular.comment.csv",44
