"BRO193004210",30,"$suspecting a double steal, Al Spohrer threw wildly to 3B","FILENAME_TX","LINE_NUMBER_CT"
"BRO193005110",12,"$lost in the sun","1930BRO.EVN.regular.comment.csv",2
"BRO193005110",49,"$Glenn Wright was blocked by Charlie Hargreaves and fell over the catcher; he was called safe when Hargreaves dropped the ball; Hargreaves ran after Wright and tagged him whereupon HP umpire Charlie Moran called Wright out","1930BRO.EVN.regular.comment.csv",3
"BRO193005250",16,"$Gordon Slade spiked Shanty Hogan","1930BRO.EVN.regular.comment.csv",4
"BRO193005260",49,"$Mel Ott pulled a tendon","1930BRO.EVN.regular.comment.csv",5
"BRO193005270",38,"$Hughie Critz and Ed Marshall ended up at 2B","1930BRO.EVN.regular.comment.csv",6
"BRO193005270",65,"$Rube Bressler injured his leg running out the double last inning","1930BRO.EVN.regular.comment.csv",7
"BRO193005301",37,"$Del Bissonette hit a home run but was called out for passing Babe Herman","1930BRO.EVN.regular.comment.csv",8
"BRO193005302",41,"$bounce HR","1930BRO.EVN.regular.comment.csv",9
"BRO193005302",45,"$Ray Phelps injured by batted ball","1930BRO.EVN.regular.comment.csv",10
"BRO193006030",62,"bounce HR","1930BRO.EVN.regular.comment.csv",11
"BRO193006060",10,"bounce HR","1930BRO.EVN.regular.comment.csv",12
"BRO193006070",20,"bounce HR","1930BRO.EVN.regular.comment.csv",13
"BRO193006070",36,"bounce HR","1930BRO.EVN.regular.comment.csv",14
"BRO193006070",56,"$Bounce HR","1930BRO.EVN.regular.comment.csv",15
"BRO193006220",40,"$Johnny Frederick knocked the ball out of Neal Finn's hands","1930BRO.EVN.regular.comment.csv",16
"BRO193007060",82,"$scheduled second game rained out after 2.5 innings","1930BRO.EVN.regular.comment.csv",17
"BRO193007130",16,"$hit on the left arm","1930BRO.EVN.regular.comment.csv",18
"BRO193007161",53,"$Pat Malone caught in rundown and as he went back to 3B; Footsie Blair arrived from 1B and was tagged then Maline was tagged when he stepped off the bag","1930BRO.EVN.regular.comment.csv",19
"BRO193007161",68,"$Del Bissonette knocked out when he hit his head on HP","1930BRO.EVN.regular.comment.csv",20
"BRO193007162",15,"ej,olsoi101,C,mageg901,Call at 3B Robins Coach Ivy Olson ejected by 1B umpire George Magerkurth","1930BRO.EVN.regular.comment.csv",21
"BRO193007162",57,"bounce HR","1930BRO.EVN.regular.comment.csv",22
"BRO193007162",65,"ej,mccaj802,M,mageg901,Call at 1B ej,burkj104,C,mageg901,Call at 1B Cubs Manager Joe McCarthy and coach Jimmy Burke ejected by 1B umpire George Magerkurth","1930BRO.EVN.regular.comment.csv",23
"BRO193007170",26,"$outfield shifted to LF for Gabby Hartnett","1930BRO.EVN.regular.comment.csv",24
"BRO193007170",59,"$Bounce HR","1930BRO.EVN.regular.comment.csv",25
"BRO193007200",15,"ej,lopea102,P,mcgrt901,Call at HP Al Lopez ejected by HP umpire Ted McGrew","1930BRO.EVN.regular.comment.csv",26
"BRO193007200",30,"ej,rhemf101,P,mcgrt901,Balls and strikes Flint Rhem ejected by HP umpire Ted McGrew","1930BRO.EVN.regular.comment.csv",27
"BRO193007211",87,"$three pinch hit homers tied record set in 1928","1930BRO.EVN.regular.comment.csv",28
"BRO193007242",47,"game called for rain","1930BRO.EVN.regular.comment.csv",29
"BRO193007272",21,"bounce HR","1930BRO.EVN.regular.comment.csv",30
"BRO193007272",40,"bounce HR","1930BRO.EVN.regular.comment.csv",31
"BRO193008040",64,"bounce HR","1930BRO.EVN.regular.comment.csv",32
"BRO193008050",13,"ej,roetw101,P,rearb901,Call at 2B Wally Roettger ejected by 3B umpire Beans Reardon","1930BRO.EVN.regular.comment.csv",33
"BRO193008310",8,"Bounce HR","1930BRO.EVN.regular.comment.csv",34
"BRO193008310",82,"bounce HR","1930BRO.EVN.regular.comment.csv",35
"BRO193009100",10,"$Rube Bressler left with injured finger","1930BRO.EVN.regular.comment.csv",36
"BRO193009120",30,"bounce HR","1930BRO.EVN.regular.comment.csv",37
"BRO193009130",17,"$Harvey Fredrick left with injured leg","1930BRO.EVN.regular.comment.csv",38
"BRO193009150",11,"$the ball bounced into the stands; it looked as if it might be caught so Babe Herman stopped near 2B and Glenn Wright, running with his head down, passed Herman on the base path; Bounce homer became a single","1930BRO.EVN.regular.comment.csv",39
"BRO193009160",38,"$Sparky Adams stole HP on the pitch that hit Chick Hafey","1930BRO.EVN.regular.comment.csv",40
"BRO193009160",57,"$Neal Finn and Charlie Gelbert both hurt in collision; Gelbert's face discolored and eye swollen","1930BRO.EVN.regular.comment.csv",41
"BRO193009210",34,"$Lloyd Waner wrenched a tendon crashing into Hank DeBerry","1930BRO.EVN.regular.comment.csv",42
"BRO193009230",67,"bounce HR","1930BRO.EVN.regular.comment.csv",43
"BRO193009271",19,"bounce HR","1930BRO.EVN.regular.comment.csv",44
