"PHI193504200",78,"DWS: pbp ends here, rest deduced","FILENAME_TX","LINE_NUMBER_CT"
"PHI193504210",54,"$Davis has sore arm","1935PHI.EVN.regular.comment.csv",2
"PHI193504210",89,"Game called for curfew","1935PHI.EVN.regular.comment.csv",3
"PHI193504220",51,"rain starts","1935PHI.EVN.regular.comment.csv",4
"PHI193505112",8,"$Martin fell after making catch then threw wild to second.","1935PHI.EVN.regular.comment.csv",5
"PHI193505112",70,"ej,gonzm101,C,stewb901,HBP non-call $Cardinals coach Gonzalez ejected by HP umpire Stewart for arguing that Whiteside had been hit by pitch that was called a foul","1935PHI.EVN.regular.comment.csv",6
"PHI193506080",43,"play,6,0,koenl101,??,,2/FL play,6,0,lesls101,??,,31 $game called for rain after two batters in the bottom of the fifth; second game scheduled also rainout","1935PHI.EVN.regular.comment.csv",7
"PHI193506122",33,"$Gabby Hartnett injured when struck by bat","1935PHI.EVN.regular.comment.csv",8
"PHI193506140",31,"$Woody English called for interference","1935PHI.EVN.regular.comment.csv",9
"PHI193506140",47,"ej,johnr103,C,morac102,Call at 3B $Augie Galan's throw was ruled to have entered the Cubs dugout allowing the second run to score; the Cubs argued the call by 3B umpire Charlie Moran; Cubs coach Roy Johnson ejected by Moran","1935PHI.EVN.regular.comment.csv",10
"PHI193506210",60,"$Light rain began to fall.","1935PHI.EVN.regular.comment.csv",11
"PHI193506221",23,"$Wilson strained muscle","1935PHI.EVN.regular.comment.csv",12
"PHI193506221",53,"$Medwick strained knee","1935PHI.EVN.regular.comment.csv",13
"PHI193506231",4,"$lost in the sun","1935PHI.EVN.regular.comment.csv",14
"PHI193506232",52,"$game called due to Sunday curfew","1935PHI.EVN.regular.comment.csv",15
"PHI193506260",4,"$Ethan Allen intentionally muffed the ball in CF","1935PHI.EVN.regular.comment.csv",16
"PHI193508020",19,"$Jim Bucher out on appeal for missing 2B on apparent triple","1935PHI.EVN.regular.comment.csv",17
"PHI193508020",73,"$Orville Jorgens injured leg fielding the ball","1935PHI.EVN.regular.comment.csv",18
"PHI193508050",62,"ej,spoha101,P,pineb101,Arguing balls and strikes $Boston catcher Spohrer ejected by plate umpire Pinelli for arguing pitches on walks to Todd and Gomez","1935PHI.EVN.regular.comment.csv",19
"PHI193508081",23,"$Travis Jackson left with injured leg","1935PHI.EVN.regular.comment.csv",20
"PHI193508102",14,"ej,weinp101,P,pfirc901,Balls and strikes Phil Weintraub ejected by HP umpire Cy Pfirman","1935PHI.EVN.regular.comment.csv",21
"PHI193508102",43,"$Dick Bartell's throw to 1B hit George Watkins on the back","1935PHI.EVN.regular.comment.csv",22
"PHI193508281",60,"$Frisch scraped his hand fielding Camilli's grounder in 6th","1935PHI.EVN.regular.comment.csv",23
"PHI193508282",37,"$Durocher knocks ball out of Wilson's hands, and it rolls to the stands allowing Martin to score","1935PHI.EVN.regular.comment.csv",24
