"PHI197404070",32,"$Dave Schneck tried to score when a pitch in the dirt got away from catcher Bob Boone"FILENAME_TX","LINE_NUMBER_CT"

"PHI197404190",34,"$Billy Williams missed the cutoff throw"1974PHI.EVN.regular.comment.csv",2

"PHI197405050",76,"$Tommy John threw to SS Bill Russell but Davey Lopes was covering 2B"1974PHI.EVN.regular.comment.csv",3

"PHI197405100",51,"ej,bretk101,P,dalej901,Throwing bat onto field $Brett ejected by HP umpire Dale after being removed; he threw a bat onto the field"1974PHI.EVN.regular.comment.csv",4

"PHI197405260",1,"Debut game for Dennis Blair"1974PHI.EVN.regular.comment.csv",5

"PHI197406050",1,"Greg Luzinski injured"1974PHI.EVN.regular.comment.csv",6

"PHI197406070",82,"ej,ozard801,M,steld901,Fair/foul call Phillies Manager Danny Ozark ejected by 3B umpire Dick Stello"1974PHI.EVN.regular.comment.csv",7

"PHI197406080",64,"Failed squeeze"1974PHI.EVN.regular.comment.csv",8

"PHI197406090",80,"$George Foster hit safely to CF but Dan Driessen thought it was caught and returned to 1B"1974PHI.EVN.regular.comment.csv",9

"PHI197406180",9,"Dave Roberts injured"1974PHI.EVN.regular.comment.csv",10

"PHI197407310",9,"umpchange,2,umphome,steld901 umpchange,2,ump2b,(None) $HP umpire Peekoudas became ill and left with what was later diagnosed as severe hypertension; 2B Stello went behind the plate and game was finished with 3 umpires"1974PHI.EVN.regular.comment.csv",11

"PHI197408010",59,"$Willie Montanez singled to RF advancing Mike Schmidt to 3B; Schmidt missed 2B and was called out on appeal, negating the hit"1974PHI.EVN.regular.comment.csv",12

"PHI197408070",24,"$Bill Madlock called for interference"1974PHI.EVN.regular.comment.csv",13

"PHI197408130",3,"missing fielding in PHI197408130"1974PHI.EVN.regular.comment.csv",14

"PHI197409130",147,"1:41 rain delay with 1-2 count"1974PHI.EVN.regular.comment.csv",15

"PHI197409180",63,"Debut game for Erskine Thomason"1974PHI.EVN.regular.comment.csv",16

"PHI197409190",8,"ej,ruthd001,P,froeb901,Arguing balls and strikes $Ruthven ejected by HP umpire Froemming for arguing balls and strikes after he was removed"1974PHI.EVN.regular.comment.csv",17

