"DET199304170",1,"Debut game for Mike Hampton"FILENAME_TX","LINE_NUMBER_CT"

"DET199305090",88,"Debut game for Andy Cook"1993DET.EVA.regular.comment.csv",2

"DET199305250",7,"ej,philt001,P,scotd901,Balls and strikes Tony Phillips ejected by HP umpire Dale Scott"1993DET.EVA.regular.comment.csv",3

"DET199306030",31,"ej,andes101,M,fordd901,Balls and strikes Tigers manager Sparky Anderson ejected by HP umpire Dale Ford; Anderson was upset that Ford did not raise his hand to signal a strike while Kirk Gibson was attempting to steal 2B; Gibson thought the pitch was ball four and slowed down"1993DET.EVA.regular.comment.csv",4

"DET199306120",13,"Debut game for Rob Butler"1993DET.EVA.regular.comment.csv",5

"DET199307190",26,"Debut game for Chris Gomez"1993DET.EVA.regular.comment.csv",6

"DET199307220",0,"ej,mcrah001,M,younl901,Checked swing Royals manager Hal McRae ejected by HP umpire Larry Young sometime in game"1993DET.EVA.regular.comment.csv",7

"DET199309070",64,"Debut game for Paul Swingle"1993DET.EVA.regular.comment.csv",8

"DET199309090",13,"Debut game for Jim Edmonds"1993DET.EVA.regular.comment.csv",9

"DET199309140",74,"Debut game for Huck Flener"1993DET.EVA.regular.comment.csv",10

"DET199309150",96,"Debut game for Danny Bautista"1993DET.EVA.regular.comment.csv",11

"DET199309200",61,"Debut game for Mark Kiefer"1993DET.EVA.regular.comment.csv",12

