"TOR201404040",9,"$Masahiro Tanaka surrendered a homer to the first major league batter he faced"FILENAME_TX","LINE_NUMBER_CT"

"TOR201404040",22,"Yankees first baseman Mark Teixeira left the game due to a strained hamstring"2014TOR.EVA.regular.comment.csv",2

"TOR201404040",29,"replay,3,suzui001,NYA,demud901,TOR02,,Y,M,NYA,C $Ichiro Suzuki was ruled out on a close play; Yankees manager Joe Girardi challenged the call, which was overturned"2014TOR.EVA.regular.comment.csv",3

"TOR201404040",47,"previous two plays really one but must be entered separately"2014TOR.EVA.regular.comment.csv",4

"TOR201404040",69,"replay,8,ellsj001,NYA,demud901,TOR02,,N,M,NYA,C $Yankees manager Joe Girardi challenged the out call at 1B, which was confirmed by replay"2014TOR.EVA.regular.comment.csv",5

"TOR201404050",20,"replay,3,ellsj001,NYA,demud901,TOR02,,N,U,,P $the umpires called for a review to see if catcher Josh Thole blocked HP without the ball; the call was confirmed"2014TOR.EVA.regular.comment.csv",6

"TOR201404060",48,"replay,6,gardb001,NYA,demud901,TOR02,,N,M,TOR,A $Blue Jays manager John Gibbons challenged the safe call at 2B, which was confirmed by replay"2014TOR.EVA.regular.comment.csv",7

"TOR201404080",66,"replay,8,fowld001,HOU,laynj901,TOR02,,N,M,HOU,P $crew chief Jerry Layne requested a review on the play at HP, which confirmed by replay that the catcher did not block the plate without the ball"2014TOR.EVA.regular.comment.csv",8

"TOR201404090",56,"originally scored as E5, changed to single on 04-16-2014"2014TOR.EVA.regular.comment.csv",9

"TOR201404090",56,"Astros pitcher Jerome Williams left the game due to an injured groin"2014TOR.EVA.regular.comment.csv",10

"TOR201404100",40,"replay,5,cabrm002,TOR,laynj901,TOR02,,N,M,TOR,C $Melky Cabrera slipped in the batter's box; Matt Dominguez fumbled the grounder but retrieved it and threw out Cabrera; Blue Jays manager John Gibbon challenged the call at 1B, which was upheld by replay"2014TOR.EVA.regular.comment.csv",11

