"NYA193710060",11,"Debut game for Johnny McCarthy","FILENAME_TX","LINE_NUMBER_CT"
"NYA193710060",48,"$Dick Coffman came in from the bullpen but Giants captain Gus Mancuso gave Harry Gumbert's name to HP umpire Red Ormsby","1937WS.EVE.post.comment.csv",2
"NYA193710060",62,"Debut game for Wally Berger","1937WS.EVE.post.comment.csv",3
"NYA193710070",1,"Debut game for Cliff Melton","1937WS.EVE.post.comment.csv",4
"NYA193710070",9,"Debut game for Lou Chiozza","1937WS.EVE.post.comment.csv",5
"NY1193710080",70,"Debut game for Don Brennan","1937WS.EVE.post.comment.csv",6
"NY1193710090",19,"Debut game for Ivy Andrews","1937WS.EVE.post.comment.csv",7
"NY1193710090",68,"Debut game for Kemp Wicker","1937WS.EVE.post.comment.csv",8
